table,sequence_id,column,datatype,description
,,,,
edcare,1,id,int,
edcare,2,oshpd_id,int,OSHPD_ID
edcare,3,medicare_id,int,MEDICARE_ID
edcare,4,hospital_name,str,HOSPITAL NAME
edcare,5,time_in_ed_before_being_admitted_denominator,int,Time in ED before being admitted Denominator
edcare,6,time_in_ed_before_being_admitted_score_minutes,int,Time in ED before being admitted Score [minutes]
edcare,7,time_in_ed_before_being_sent_home_denominator,int,Time in ED before being sent home Denominator
edcare,8,time_in_ed_before_being_sent_home_score_minutes,int,Time in ED before being sent home Score [minutes]
edcare,9,time_in_ed_before_being_seen_denominator,int,Time in ED before being seen Denominator
edcare,10,time_in_ed_before_being_seen_score_minutes,int,Time in ED before being seen Score [minutes]
edcare,11,patients_who_left_ed_without_being_seen_denominator,int,Patients who left ED without being seen Denominator
edcare,12,patients_who_left_ed_without_being_seen_score,int,Patients who left ED without being seen Score [%]
,,,,
experience,1,id,int,
experience,2,oshpd_id,int,OSHPD_ID
experience,3,medicare_id,int,MEDICARE_ID
experience,4,hospital_name,str,HOSPITAL NAME
experience,5,hospital_rating_denominator,str,Hospital Rating Denominator
experience,6,hospital_rating_score,int,Hospital Rating Score [%]
experience,7,hospital_rating_rating,str,Hospital Rating Rating
experience,8,would_recommend_hospital_score,int,Would Recommend Hospital Score [%]
experience,9,received_information_and_education_score,int,Received information and education Score [%]
experience,10,nurses_communicated_well_score,int,Nurses communicated well Score [%]
experience,11,doctors_communicated_well_score,int,Doctors communicated well Score [%]
experience,12,help_received_score,int,Help received Score [%]
experience,13,pain_well_controlled_score,int,Pain well controlled Score [%]
experience,14,staff_explained_medicine_score,int,Staff explained medicine Score [%]
experience,15,patient_room_and_bathroom_was_clean_score,int,Patient room and bathroom was clean Score [%]
experience,16,quiet_at_night_score,int,Quiet at night Score [%]
,,,,
heartcond,1,id,int,
heartcond,2,heart_conditions_oshpd_id,int,Heart Conditions OSHPD_ID
heartcond,3,heart_conditions_medicare_id,int,Heart Conditions MEDICARE_ID
heartcond,4,heart_conditions_hospital_name,str,Heart Conditions HOSPITAL NAME
heartcond,5,heart_attack_death_rate_denominator,int,Heart Attack Death Rate Denominator
heartcond,6,heart_attack_death_rate_score,float,Heart Attack Death Rate Score [%]
heartcond,7,heart_attack_death_rate_rating,str,Heart Attack Death Rate Rating
heartcond,8,heart_attack_quality_of_care_composite_score,int,Heart Attack Quality of Care Composite Score [%]
heartcond,9,heart_attack_quality_of_care_composite_rating,str,Heart Attack Quality of Care Composite Rating
heartcond,10,heart_attack_aspirin_prescribed_at_discharge_denominator,int,Heart Attack Aspirin prescribed at discharge Denominator
heartcond,11,heart_attack_aspirin_prescribed_at_discharge_score,int,Heart Attack Aspirin prescribed at discharge Score [%]
heartcond,12,heart_attack_statins_prescribed_at_discharge_denominator,int,Heart Attack Statins prescribed at discharge Denominator
heartcond,13,heart_attack_statins_prescribed_at_discharge_score,int,Heart Attack Statins prescribed at discharge Score [%]
heartcond,14,heart_attack_timeliness_of_care_composite_score,int,Heart Attack Timeliness of Care Composite Score [%]
heartcond,15,heart_attack_timeliness_of_care_composite_rating,str,Heart Attack Timeliness of Care Composite Rating
heartcond,16,heart_attack_anti_clotting_therapy_within_30_minutes_denominator,str,Heart Attack Anti-clotting therapy within 30 minutes Denominator
heartcond,17,heart_attack_anti_clotting_therapy_within_30_minutes_score,str,Heart Attack Anti-clotting therapy within 30 minutes Score [%]
heartcond,18,heart_attack_pci_within_90_minutes_denominator,int,Heart Attack PCI within 90 minutes Denominator
heartcond,19,heart_attack_pci_within_90_minutes_score,int,Heart Attack PCI within 90 minutes Score [%]
heartcond,20,heart_attack_readmission_rate_denominator,int,Heart Attack Readmission Rate Denominator
heartcond,21,heart_attack_readmission_rate_score,float,Heart Attack Readmission Rate Score [%]
heartcond,22,heart_attack_readmission_rate_rating,str,Heart Attack Readmission Rate Rating
heartcond,23,heart_bypass_surgery_death_rate_denominator,int,Heart Bypass Surgery Death Rate Denominator
heartcond,24,heart_bypass_surgery_death_rate_score,float,Heart Bypass Surgery Death Rate Score [%]
heartcond,25,heart_bypass_surgery_death_rate_rating,str,Heart Bypass Surgery Death Rate Rating
heartcond,26,heart_bypass_surgery_internal_mammary_artery_usage_rate_denominator,int,Heart Bypass Surgery Internal Mammary Artery Usage Rate Denominator
heartcond,27,heart_bypass_surgery_internal_mammary_artery_usage_rate_score,float,Heart Bypass Surgery Internal Mammary Artery Usage Rate Score [%]
heartcond,28,heart_bypass_surgery_internal_mammary_artery_usage_rate_rating,str,Heart Bypass Surgery Internal Mammary Artery Usage Rate Rating
heartcond,29,heart_bypass_surgery_postoperative_stroke_rate_denominator,int,Heart Bypass Surgery Postoperative Stroke Rate Denominator
heartcond,30,heart_bypass_surgery_postoperative_stroke_rate_score,float,Heart Bypass Surgery Postoperative Stroke Rate Score [%]
heartcond,31,heart_bypass_surgery_postoperative_stroke_rate_rating,str,Heart Bypass Surgery Postoperative Stroke Rate Rating
heartcond,32,heart_failure_death_rate_denominator,int,Heart Failure Death Rate Denominator
heartcond,33,heart_failure_death_rate_score,float,Heart Failure Death Rate Score [%]
heartcond,34,heart_failure_death_rate_rating,str,Heart Failure Death Rate Rating
heartcond,35,heart_failure_quality_of_care_composite_score,int,Heart Failure Quality of Care Composite Score [%]
heartcond,36,heart_failure_quality_of_care_composite_rating,str,Heart Failure Quality of Care Composite Rating
heartcond,37,heart_failure_severity_of_heart_failure_evaluated_denominator,int,Heart Failure Severity of heart failure evaluated Denominator
heartcond,38,heart_failure_severity_of_heart_failure_evaluated_score,int,Heart Failure Severity of heart failure evaluated Score [%]
heartcond,39,heart_failure_clear_instructions_given_prior_to_discharge_denominator,int,Heart Failure Clear instructions given prior to discharge Denominator
heartcond,40,heart_failure_clear_instructions_given_prior_to_discharge_score,int,Heart Failure Clear instructions given prior to discharge Score [%]
heartcond,41,heart_failure_ace_arbs_given_denominator,int,Heart Failure ACE/ARBs given Denominator
heartcond,42,heart_failure_ace_arbs_given_score,int,Heart Failure ACE/ARBs given Score [%]
heartcond,43,heart_failure_readmission_rate_denominator,int,Heart Failure Readmission Rate Denominator
heartcond,44,heart_failure_readmission_rate_score,float,Heart Failure Readmission Rate Score [%]
heartcond,45,heart_failure_readmission_rate_rating,str,Heart Failure Readmission Rate Rating
,,,,
hospitals,1,id,int,
hospitals,2,oshpd_id,int,OSHPD ID
hospitals,3,cms_id,int,CMS ID
hospitals,4,hospital_name,str,Hospital Name
hospitals,5,address,str,Address
hospitals,6,city,str,City
hospitals,7,state,str,State
hospitals,8,zip_code,int,Zip Code
hospitals,9,phone,str,Phone
hospitals,10,website,str,Website
,,,,
lung,1,id,int,
lung,2,oshpd_id,int,OSHPD_ID
lung,3,medicare_id,int,MEDICARE_ID
lung,4,hospital_name,str,HOSPITAL NAME
lung,5,pneumonia_death_rate_denominator,int,Pneumonia Death Rate Denominator
lung,6,pneumonia_death_rate_score,float,Pneumonia Death Rate Score [%]
lung,7,pneumonia_death_rate_rating,str,Pneumonia Death Rate Rating
lung,8,quality_of_care_composite_score,int,Quality of Care Composite Score [%]
lung,9,quality_of_care_composite_rating,str,Quality of Care Composite Rating
lung,10,blood_culture_taken_before_antiobiotics_administered_denominator,int,Blood Culture taken before antiobiotics administered Denominator
lung,11,blood_culture_taken_before_antiobiotics_administered_score,int,Blood Culture taken before antiobiotics administered Score [%]
lung,12,initial_antibiotic_consistenet_with_current_recommendations_denominator,int,Initial antibiotic consistenet with current recommendations Denominator
lung,13,initial_antibiotic_consistenet_with_current_recommendations_score,int,Initial antibiotic consistenet with current recommendations Score [%]
lung,14,pneumonia_readmission_rate_denominator,int,Pneumonia Readmission Rate Denominator
lung,15,pneumonia_readmission_rate_score,float,Pneumonia Readmission Rate Score [%]
lung,16,pneumonia_readmission_rate_rating,str,Pneumonia Readmission Rate Rating
,,,,
measures,1,id,int,
measures,2,domain,str,Domain
measures,3,measure_description,str,Measure Description
measures,4,data_source,str,Data Source
measures,5,measure_from_date,int,Measure from Date
measures,6,measure_thru_date,int,Measure thru Date
measures,7,lower_is_better,str,Lower is Better
measures,8,national_average,float,National Average
measures,9,state_average,float,State Average
,,,,
motherbaby,1,id,int,
motherbaby,2,oshpd_id,int,OSHPD_ID
motherbaby,3,medicare_id,int,MEDICARE_ID
motherbaby,4,hospital_name,str,HOSPITAL NAME
motherbaby,5,ntsv_c_section_rate_denominator,int,NTSV C-Section Rate Denominator
motherbaby,6,ntsv_c_section_rate_score,float,NTSV C-Section Rate Score [%]
motherbaby,7,ntsv_c_section_rate_rating,str,NTSV C-Section Rate Rating
motherbaby,8,breastfeeding_rate_denominator,int,Breastfeeding Rate Denominator
motherbaby,9,breastfeeding_rate_score,float,Breastfeeding Rate Score [%]
motherbaby,10,breastfeeding_rate_rating,str,Breastfeeding Rate Rating
motherbaby,11,episiotomy_rate_denominator,int,Episiotomy Rate Denominator
motherbaby,12,episiotomy_rate_score,float,Episiotomy Rate Score [%]
motherbaby,13,episiotomy_rate_rating,str,Episiotomy Rate Rating
motherbaby,14,vbac_rate_denominator,int,VBAC Rate Denominator
motherbaby,15,vbac_rate_score,float,VBAC Rate Score [%]
motherbaby,16,vbac_routinely_available_yes_no,str,VBAC Routinely Available Yes/No
,,,,
other,1,id,int,
other,2,oshpd_id,int,OSHPD_ID
other,3,medicare_id,int,MEDICARE_ID
other,4,hospital_name,str,HOSPITAL NAME
other,5,abdominal_aortic_aneurysm_repair_death_rate_number_of_cases,int,Abdominal Aortic Aneurysm Repair Death Rate Number of Cases
other,6,abdominal_aortic_aneurysm_repair_death_rate_rating,str,Abdominal Aortic Aneurysm Repair Death Rate Rating
other,7,abdominal_aortic_aneurysm_repair_death_rate_score,float,Abdominal Aortic Aneurysm Repair Death Rate Score [%]
other,8,abdominal_aortic_aneurysm_repair_death_rate_rating_2,str,Abdominal Aortic Aneurysm Repair Death Rate Rating (2)
other,9,esophageal_resection_death_rate_number_of_cases,int,Esophageal Resection Death Rate Number of Cases
other,10,esophageal_resection_death_rate_rating,str,Esophageal Resection Death Rate Rating
other,11,esophageal_resection_death_rate_score,float,Esophageal Resection Death Rate Score [%]
other,12,esophageal_resection_death_rate_rating_2,str,Esophageal Resection Death Rate Rating (2)
other,13,pancreatic_resection_death_rate_number_of_cases,int,Pancreatic Resection Death Rate Number of Cases
other,14,pancreatic_resection_death_rate_rating,str,Pancreatic Resection Death Rate Rating
other,15,pancreatic_resection_death_rate_score,float,Pancreatic Resection Death Rate Score [%]
other,16,pancreatic_resection_death_rate_rating_2,str,Pancreatic Resection Death Rate Rating (2)
other,17,percutaneous_coronary_intervention_pci_death_rate_number_of_cases,int,Percutaneous coronary intervention (PCI) - Death Rate Number of Cases
other,18,percutaneous_coronary_intervention_pci_death_rate_rating,str,Percutaneous coronary intervention (PCI) - Death Rate Rating
other,19,percutaneous_coronary_intervention_pci_death_rate_score,float,Percutaneous coronary intervention (PCI) - Death Rate Score [%]
other,20,percutaneous_coronary_intervention_pci_death_rate_rating_2,str,Percutaneous coronary intervention (PCI) - Death Rate Rating (2)
