table,position,source_header,dest_header,datatype,valuetype,has_codes,start,width,size,summary,description
edcare,1,oshpd_id,oshpd_id,int,,False,,,,,OSHPD_ID
edcare,2,medicare_id,medicare_id,int,,False,,,,,MEDICARE_ID
edcare,3,hospital_name,hospital_name,str,,False,,,,,HOSPITAL NAME
edcare,4,time_in_ed_before_being_admitted_denominator,time_in_ed_before_being_admitted_denominator,int,,False,,,,,Time in ED before being admitted Denominator
edcare,5,time_in_ed_before_being_admitted_score_minutes,time_in_ed_before_being_admitted_score_minutes,int,,False,,,,,Time in ED before being admitted Score [minutes]
edcare,6,time_in_ed_before_being_sent_home_denominator,time_in_ed_before_being_sent_home_denominator,int,,False,,,,,Time in ED before being sent home Denominator
edcare,7,time_in_ed_before_being_sent_home_score_minutes,time_in_ed_before_being_sent_home_score_minutes,int,,False,,,,,Time in ED before being sent home Score [minutes]
edcare,8,time_in_ed_before_being_seen_denominator,time_in_ed_before_being_seen_denominator,int,,False,,,,,Time in ED before being seen Denominator
edcare,9,time_in_ed_before_being_seen_score_minutes,time_in_ed_before_being_seen_score_minutes,int,,False,,,,,Time in ED before being seen Score [minutes]
edcare,10,patients_who_left_ed_without_being_seen_denominator,patients_who_left_ed_without_being_seen_denominator,int,,False,,,,,Patients who left ED without being seen Denominator
edcare,11,patients_who_left_ed_without_being_seen_score,patients_who_left_ed_without_being_seen_score,int,,False,,,,,Patients who left ED without being seen Score [%]
experience,1,oshpd_id,oshpd_id,int,,False,,,,,OSHPD_ID
experience,2,medicare_id,medicare_id,int,,False,,,,,MEDICARE_ID
experience,3,hospital_name,hospital_name,str,,False,,,,,HOSPITAL NAME
experience,4,hospital_rating_denominator,hospital_rating_denominator,str,,False,,,,,Hospital Rating Denominator
experience,5,hospital_rating_score,hospital_rating_score,int,,False,,,,,Hospital Rating Score [%]
experience,6,hospital_rating_rating,hospital_rating_rating,str,,False,,,,,Hospital Rating Rating
experience,7,would_recommend_hospital_score,would_recommend_hospital_score,int,,False,,,,,Would Recommend Hospital Score [%]
experience,8,received_information_and_education_score,received_information_and_education_score,int,,False,,,,,Received information and education Score [%]
experience,9,nurses_communicated_well_score,nurses_communicated_well_score,int,,False,,,,,Nurses communicated well Score [%]
experience,10,doctors_communicated_well_score,doctors_communicated_well_score,int,,False,,,,,Doctors communicated well Score [%]
experience,11,help_received_score,help_received_score,int,,False,,,,,Help received Score [%]
experience,12,pain_well_controlled_score,pain_well_controlled_score,int,,False,,,,,Pain well controlled Score [%]
experience,13,staff_explained_medicine_score,staff_explained_medicine_score,int,,False,,,,,Staff explained medicine Score [%]
experience,14,patient_room_and_bathroom_was_clean_score,patient_room_and_bathroom_was_clean_score,int,,False,,,,,Patient room and bathroom was clean Score [%]
experience,15,quiet_at_night_score,quiet_at_night_score,int,,False,,,,,Quiet at night Score [%]
heartcond,1,heart_conditions_oshpd_id,heart_conditions_oshpd_id,int,,False,,,,,Heart Conditions OSHPD_ID
heartcond,2,heart_conditions_medicare_id,heart_conditions_medicare_id,int,,False,,,,,Heart Conditions MEDICARE_ID
heartcond,3,heart_conditions_hospital_name,heart_conditions_hospital_name,str,,False,,,,,Heart Conditions HOSPITAL NAME
heartcond,4,heart_attack_death_rate_denominator,heart_attack_death_rate_denominator,int,,False,,,,,Heart Attack Death Rate Denominator
heartcond,5,heart_attack_death_rate_score,heart_attack_death_rate_score,float,,False,,,,,Heart Attack Death Rate Score [%]
heartcond,6,heart_attack_death_rate_rating,heart_attack_death_rate_rating,str,,False,,,,,Heart Attack Death Rate Rating
heartcond,7,heart_attack_quality_of_care_composite_score,heart_attack_quality_of_care_composite_score,int,,False,,,,,Heart Attack Quality of Care Composite Score [%]
heartcond,8,heart_attack_quality_of_care_composite_rating,heart_attack_quality_of_care_composite_rating,str,,False,,,,,Heart Attack Quality of Care Composite Rating
heartcond,9,heart_attack_aspirin_prescribed_at_discharge_denominator,heart_attack_aspirin_prescribed_at_discharge_denominator,int,,False,,,,,Heart Attack Aspirin prescribed at discharge Denominator
heartcond,10,heart_attack_aspirin_prescribed_at_discharge_score,heart_attack_aspirin_prescribed_at_discharge_score,int,,False,,,,,Heart Attack Aspirin prescribed at discharge Score [%]
heartcond,11,heart_attack_statins_prescribed_at_discharge_denominator,heart_attack_statins_prescribed_at_discharge_denominator,int,,False,,,,,Heart Attack Statins prescribed at discharge Denominator
heartcond,12,heart_attack_statins_prescribed_at_discharge_score,heart_attack_statins_prescribed_at_discharge_score,int,,False,,,,,Heart Attack Statins prescribed at discharge Score [%]
heartcond,13,heart_attack_timeliness_of_care_composite_score,heart_attack_timeliness_of_care_composite_score,int,,False,,,,,Heart Attack Timeliness of Care Composite Score [%]
heartcond,14,heart_attack_timeliness_of_care_composite_rating,heart_attack_timeliness_of_care_composite_rating,str,,False,,,,,Heart Attack Timeliness of Care Composite Rating
heartcond,15,heart_attack_anti_clotting_therapy_within_30_minutes_denominator,heart_attack_anti_clotting_therapy_within_30_minutes_denominator,unknown,,False,,,,,Heart Attack Anti-clotting therapy within 30 minutes Denominator
heartcond,16,heart_attack_anti_clotting_therapy_within_30_minutes_score,heart_attack_anti_clotting_therapy_within_30_minutes_score,unknown,,False,,,,,Heart Attack Anti-clotting therapy within 30 minutes Score [%]
heartcond,17,heart_attack_pci_within_90_minutes_denominator,heart_attack_pci_within_90_minutes_denominator,int,,False,,,,,Heart Attack PCI within 90 minutes Denominator
heartcond,18,heart_attack_pci_within_90_minutes_score,heart_attack_pci_within_90_minutes_score,int,,False,,,,,Heart Attack PCI within 90 minutes Score [%]
heartcond,19,heart_attack_readmission_rate_denominator,heart_attack_readmission_rate_denominator,int,,False,,,,,Heart Attack Readmission Rate Denominator
heartcond,20,heart_attack_readmission_rate_score,heart_attack_readmission_rate_score,float,,False,,,,,Heart Attack Readmission Rate Score [%]
heartcond,21,heart_attack_readmission_rate_rating,heart_attack_readmission_rate_rating,str,,False,,,,,Heart Attack Readmission Rate Rating
heartcond,22,heart_bypass_surgery_death_rate_denominator,heart_bypass_surgery_death_rate_denominator,int,,False,,,,,Heart Bypass Surgery Death Rate Denominator
heartcond,23,heart_bypass_surgery_death_rate_score,heart_bypass_surgery_death_rate_score,float,,False,,,,,Heart Bypass Surgery Death Rate Score [%]
heartcond,24,heart_bypass_surgery_death_rate_rating,heart_bypass_surgery_death_rate_rating,str,,False,,,,,Heart Bypass Surgery Death Rate Rating
heartcond,25,heart_bypass_surgery_internal_mammary_artery_usage_rate_denominator,heart_bypass_surgery_internal_mammary_artery_usage_rate_denominator,int,,False,,,,,Heart Bypass Surgery Internal Mammary Artery Usage Rate Denominator
heartcond,26,heart_bypass_surgery_internal_mammary_artery_usage_rate_score,heart_bypass_surgery_internal_mammary_artery_usage_rate_score,float,,False,,,,,Heart Bypass Surgery Internal Mammary Artery Usage Rate Score [%]
heartcond,27,heart_bypass_surgery_internal_mammary_artery_usage_rate_rating,heart_bypass_surgery_internal_mammary_artery_usage_rate_rating,str,,False,,,,,Heart Bypass Surgery Internal Mammary Artery Usage Rate Rating
heartcond,28,heart_bypass_surgery_postoperative_stroke_rate_denominator,heart_bypass_surgery_postoperative_stroke_rate_denominator,int,,False,,,,,Heart Bypass Surgery Postoperative Stroke Rate Denominator
heartcond,29,heart_bypass_surgery_postoperative_stroke_rate_score,heart_bypass_surgery_postoperative_stroke_rate_score,float,,False,,,,,Heart Bypass Surgery Postoperative Stroke Rate Score [%]
heartcond,30,heart_bypass_surgery_postoperative_stroke_rate_rating,heart_bypass_surgery_postoperative_stroke_rate_rating,str,,False,,,,,Heart Bypass Surgery Postoperative Stroke Rate Rating
heartcond,31,heart_failure_death_rate_denominator,heart_failure_death_rate_denominator,int,,False,,,,,Heart Failure Death Rate Denominator
heartcond,32,heart_failure_death_rate_score,heart_failure_death_rate_score,float,,False,,,,,Heart Failure Death Rate Score [%]
heartcond,33,heart_failure_death_rate_rating,heart_failure_death_rate_rating,str,,False,,,,,Heart Failure Death Rate Rating
heartcond,34,heart_failure_quality_of_care_composite_score,heart_failure_quality_of_care_composite_score,int,,False,,,,,Heart Failure Quality of Care Composite Score [%]
heartcond,35,heart_failure_quality_of_care_composite_rating,heart_failure_quality_of_care_composite_rating,str,,False,,,,,Heart Failure Quality of Care Composite Rating
heartcond,36,heart_failure_severity_of_heart_failure_evaluated_denominator,heart_failure_severity_of_heart_failure_evaluated_denominator,int,,False,,,,,Heart Failure Severity of heart failure evaluated Denominator
heartcond,37,heart_failure_severity_of_heart_failure_evaluated_score,heart_failure_severity_of_heart_failure_evaluated_score,int,,False,,,,,Heart Failure Severity of heart failure evaluated Score [%]
