name,title,dest_table_name,time,space,grain,segment,start_line,end_line,header_lines,ref,state
edcare,edcare,edcare,2014,California,hospital,8,3,348,"1,2",http://ds.civicknowledge.org.s3.amazonaws.com/calqualitycare.org/Public%20Reports%202014Q3.xlsx,ingest_done
experience,experience,experience,2014,California,hospital,1,3,348,"1,2",http://ds.civicknowledge.org.s3.amazonaws.com/calqualitycare.org/Public%20Reports%202014Q3.xlsx,ingest_done
heartcond,heartcond,heartcond,2014,California,hospital,4,3,348,"0,1,2",http://ds.civicknowledge.org.s3.amazonaws.com/calqualitycare.org/Public%20Reports%202014Q3.xlsx,ingest_done
hospitals,hospitals,hospitals,2014,California,hospital,10,3,348,"1,2",http://ds.civicknowledge.org.s3.amazonaws.com/calqualitycare.org/Public%20Reports%202014Q3.xlsx,ingest_done
lung,lung,lung,2014,California,hospital,6,3,348,"1,2",http://ds.civicknowledge.org.s3.amazonaws.com/calqualitycare.org/Public%20Reports%202014Q3.xlsx,ingest_done
measures,measures,measures,2014,California,hospital,9,3,68,"1,2",http://ds.civicknowledge.org.s3.amazonaws.com/calqualitycare.org/Public%20Reports%202014Q3.xlsx,ingest_done
motherbaby,motherbaby,motherbaby,2014,California,hospital,5,3,348,"1,2",http://ds.civicknowledge.org.s3.amazonaws.com/calqualitycare.org/Public%20Reports%202014Q3.xlsx,ingest_done
other,other,other,2014,California,hospital,7,3,348,"1,2",http://ds.civicknowledge.org.s3.amazonaws.com/calqualitycare.org/Public%20Reports%202014Q3.xlsx,ingest_done
perf_sum,perf_sum,perf_sum,2014,California,hospital,0,3,348,"1,2",http://ds.civicknowledge.org.s3.amazonaws.com/calqualitycare.org/Public%20Reports%202014Q3.xlsx,ingest_done
readmissions,readmissions,readmissions,2014,California,hospital,2,3,348,"1,2",http://ds.civicknowledge.org.s3.amazonaws.com/calqualitycare.org/Public%20Reports%202014Q3.xlsx,ingest_done
safety,safety,safety,2014,California,hospital,3,3,348,"1,2",http://ds.civicknowledge.org.s3.amazonaws.com/calqualitycare.org/Public%20Reports%202014Q3.xlsx,ingest_done
