"table","sequence_id","column","datatype","transform","description"
,,,,,
"brfss",1,"id","int",,
"brfss",2,"_state","int",,"State FIPS Code"
"brfss",3,"fmonth","int",,"File Month"
"brfss",4,"imonth","int",,"Interview Month"
"brfss",5,"idate","int",,"Interview Date"
"brfss",6,"iday","int",,"Interview Day"
"brfss",7,"iyear","int",,"Interview Year"
"brfss",8,"dispcode","int",,"Final Disposition"
"brfss",9,"seqno","int",,"Annual Sequence Number"
"brfss",10,"_psu","int",,"Primary Sampling Unit (Equal to Annual Sequence Number)"
"brfss",11,"ctelenum","int",,"Correct Telephone Number?"
"brfss",12,"pvtresd1","int",,"Is this a private residence? [READ ONLY IF NECESSARY: “By private residence, we mean someplace like a"
"brfss",13,"colghous","int",,"Do you live in college housing?"
"brfss",14,"stateres","int",,"Do you reside in ____(state)____?"
"brfss",15,"cellfon3","int",,"Is this a cellular telephone? (Telephone service over the internet counts as landline service (includes Vonage,"
"brfss",16,"ladult","int",,"Are you 18 years of age or older?"
"brfss",17,"numadult","int",,"Number of Adults in Household"
"brfss",18,"nummen","int",,"Number of Adult Men in Household"
"brfss",19,"numwomen","int",,"Number of Adult Women in Household"
"brfss",20,"genhlth","int",,"Would you say that in general your health is:"
"brfss",21,"physhlth","int",,"Now thinking about your physical health, which includes physical illness and injury, for how many days during the"
"brfss",22,"menthlth","int",,"Now thinking about your mental health, which includes stress, depression, and problems with emotions, for how"
"brfss",23,"poorhlth","int",,"During the past 30 days, for about how many days did poor physical or mental health keep you from doing your"
"brfss",24,"hlthpln1","int",,"Do you have any kind of health care coverage, including health insurance, prepaid plans such as HMOs, or"
"brfss",25,"persdoc2","int",,"Do you have one person you think of as your personal doctor or health care provider? (If ""No"" ask ""Is there more"
"brfss",26,"medcost","int",,"Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?"
"brfss",27,"checkup1","int",,"About how long has it been since you last visited a doctor for a routine checkup? [A routine checkup is a general"
"brfss",28,"sleptim1","int",,"On average, how many hours of sleep do you get in a 24-hour period?"
"brfss",29,"bphigh4","int",,"Have you EVER been told by a doctor, nurse or other health professional that you have high blood pressure? (If"
"brfss",30,"bpmeds","int",,"Are you currently taking medicine for your high blood pressure?"
"brfss",31,"bloodcho","int",,"Blood cholesterol is a fatty substance found in the blood. Have you EVER had your blood cholesterol checked?"
"brfss",32,"cholchk","int",,"About how long has it been since you last had your blood cholesterol checked?"
"brfss",33,"toldhi2","int",,"Have you EVER been told by a doctor, nurse or other health professional that your blood cholesterol is high?"
"brfss",34,"cvdinfr4","int",,"(Ever told) you had a heart attack, also called a myocardial infarction?"
"brfss",35,"cvdcrhd4","int",,"(Ever told) you had angina or coronary heart disease?"
"brfss",36,"cvdstrk3","int",,"(Ever told) you had a stroke."
