table,seq,column,is_pk,is_fk,id,type,i1,size,width,description,proto_vid,d_caster,d_start_pos
brfss_county,1,id,1,,t03G01,INTEGER,,,,2012 BRFSS County,,,
brfss_county,2,gvid,,c03x04003001,c03G01002,VARCHAR,1,6,,Gvid for the county,c00104002,,
brfss_county,3,_state,,,c03G01003,INTEGER,,2,2,_state,,dot_caster,1
brfss_county,4,fmonth,,,c03G01004,INTEGER,,2,2,fmonth,,dot_caster,3
brfss_county,5,dispcode,,,c03G01005,INTEGER,,4,4,dispcode,,dot_caster,5
brfss_county,6,seqno,,,c03G01006,INTEGER64,,10,10,seqno,,dot_caster,9
brfss_county,7,_psu,,,c03G01007,INTEGER64,,10,10,_psu,,dot_caster,19
brfss_county,8,genhlth,,,c03G01008,INTEGER,,1,1,genhlth,,dot_caster,29
brfss_county,9,physhlth,,,c03G01009,INTEGER,,2,2,physhlth,,dot_caster,30
brfss_county,10,menthlth,,,c03G0100a,INTEGER,,2,2,menthlth,,dot_caster,32
brfss_county,11,poorhlth,,,c03G0100b,INTEGER,,2,2,poorhlth,,dot_caster,34
brfss_county,12,hlthpln1,,,c03G0100c,INTEGER,,1,1,hlthpln1,,dot_caster,36
brfss_county,13,persdoc2,,,c03G0100d,INTEGER,,1,1,persdoc2,,dot_caster,37
brfss_county,14,medcost,,,c03G0100e,INTEGER,,1,1,medcost,,dot_caster,38
brfss_county,15,checkup1,,,c03G0100f,INTEGER,,1,1,checkup1,,dot_caster,39
brfss_county,16,exerany2,,,c03G0100g,INTEGER,,1,1,exerany2,,dot_caster,40
brfss_county,17,cvdinfr4,,,c03G0100h,INTEGER,,1,1,cvdinfr4,,dot_caster,41
brfss_county,18,cvdcrhd4,,,c03G0100i,INTEGER,,1,1,cvdcrhd4,,dot_caster,42
brfss_county,19,cvdstrk3,,,c03G0100j,INTEGER,,1,1,cvdstrk3,,dot_caster,43
brfss_county,20,asthma3,,,c03G0100k,INTEGER,,1,1,asthma3,,dot_caster,44
brfss_county,21,asthnow,,,c03G0100l,INTEGER,,1,1,asthnow,,dot_caster,45
brfss_county,22,chcscncr,,,c03G0100m,INTEGER,,1,1,chcscncr,,dot_caster,46
brfss_county,23,chcocncr,,,c03G0100n,INTEGER,,1,1,chcocncr,,dot_caster,47
brfss_county,24,chccopd1,,,c03G0100o,INTEGER,,1,1,chccopd1,,dot_caster,48
brfss_county,25,havarth3,,,c03G0100p,INTEGER,,1,1,havarth3,,dot_caster,49
brfss_county,26,addepev2,,,c03G0100q,INTEGER,,1,1,addepev2,,dot_caster,50
brfss_county,27,chckidny,,,c03G0100r,INTEGER,,1,1,chckidny,,dot_caster,51
brfss_county,28,chcvisn1,,,c03G0100s,INTEGER,,1,1,chcvisn1,,dot_caster,52
brfss_county,29,diabete3,,,c03G0100t,INTEGER,,1,1,diabete3,,dot_caster,53
brfss_county,30,lastden3,,,c03G0100u,INTEGER,,1,1,lastden3,,dot_caster,54
brfss_county,31,rmvteth3,,,c03G0100v,INTEGER,,1,1,rmvteth3,,dot_caster,55
brfss_county,32,age,,,c03G0100w,INTEGER,,2,2,age,,dot_caster,56
brfss_county,33,hispanc2,,,c03G0100x,INTEGER,,1,1,hispanc2,,dot_caster,58
brfss_county,34,mrace,,,c03G0100y,INTEGER,,6,6,mrace,,dot_caster,59
brfss_county,35,orace2,,,c03G0100z,INTEGER,,1,1,orace2,,dot_caster,65
brfss_county,36,veteran3,,,c03G0100A,INTEGER,,1,1,veteran3,,dot_caster,66
brfss_county,37,marital,,,c03G0100B,INTEGER,,1,1,marital,,dot_caster,67
brfss_county,38,children,,,c03G0100C,INTEGER,,2,2,children,,dot_caster,68
brfss_county,39,educa,,,c03G0100D,INTEGER,,1,1,educa,,dot_caster,70
brfss_county,40,employ,,,c03G0100E,INTEGER,,1,1,employ,,dot_caster,71
brfss_county,41,income2,,,c03G0100F,INTEGER,,2,2,income2,,dot_caster,72
brfss_county,42,weight2,,,c03G0100G,INTEGER,,4,4,weight2,,dot_caster,74
brfss_county,43,height3,,,c03G0100H,INTEGER,,4,4,height3,,dot_caster,78
brfss_county,44,numhhol2,,,c03G0100I,INTEGER,,1,1,numhhol2,,dot_caster,82
brfss_county,45,renthom1,,,c03G0100J,INTEGER,,1,1,renthom1,,dot_caster,83
brfss_county,46,sex,,,c03G0100K,INTEGER,,1,1,sex,,dot_caster,84
brfss_county,47,pregnant,,,c03G0100L,INTEGER,,1,1,pregnant,,dot_caster,85
brfss_county,48,qlactlm2,,,c03G0100M,INTEGER,,1,1,qlactlm2,,dot_caster,86
brfss_county,49,useequip,,,c03G0100N,INTEGER,,1,1,useequip,,dot_caster,87
brfss_county,50,smoke100,,,c03G0100O,INTEGER,,1,1,smoke100,,dot_caster,88
brfss_county,51,smokday2,,,c03G0100P,INTEGER,,1,1,smokday2,,dot_caster,89
brfss_county,52,stopsmk2,,,c03G0100Q,INTEGER,,1,1,stopsmk2,,dot_caster,90
brfss_county,53,lastsmk2,,,c03G0100R,INTEGER,,2,2,lastsmk2,,dot_caster,91
brfss_county,54,usenow3,,,c03G0100S,INTEGER,,1,1,usenow3,,dot_caster,93
brfss_county,55,alcday5,,,c03G0100T,INTEGER,,3,3,alcday5,,dot_caster,94
brfss_county,56,avedrnk2,,,c03G0100U,INTEGER,,2,2,avedrnk2,,dot_caster,97
brfss_county,57,drnk3ge5,,,c03G0100V,INTEGER,,2,2,drnk3ge5,,dot_caster,99
brfss_county,58,maxdrnks,,,c03G0100W,INTEGER,,2,2,maxdrnks,,dot_caster,101
brfss_county,59,flushot5,,,c03G0100X,INTEGER,,1,1,flushot5,,dot_caster,103
brfss_county,60,flshtmy2,,,c03G0100Y,INTEGER,,6,6,flshtmy2,,dot_caster,104
brfss_county,61,imfvplac,,,c03G0100Z,INTEGER,,2,2,imfvplac,,dot_caster,110
brfss_county,62,pneuvac3,,,c03G01010,INTEGER,,1,1,pneuvac3,,dot_caster,112
brfss_county,63,fall12mn,,,c03G01011,INTEGER,,2,2,fall12mn,,dot_caster,113
brfss_county,64,fallinj2,,,c03G01012,INTEGER,,2,2,fallinj2,,dot_caster,115
brfss_county,65,seatbelt,,,c03G01013,INTEGER,,1,1,seatbelt,,dot_caster,117
brfss_county,66,drnkdri2,,,c03G01014,INTEGER,,2,2,drnkdri2,,dot_caster,118
brfss_county,67,hadmam,,,c03G01015,INTEGER,,1,1,hadmam,,dot_caster,120
brfss_county,68,howlong,,,c03G01016,INTEGER,,1,1,howlong,,dot_caster,121
brfss_county,69,profexam,,,c03G01017,INTEGER,,1,1,profexam,,dot_caster,122
brfss_county,70,lengexam,,,c03G01018,INTEGER,,1,1,lengexam,,dot_caster,123
brfss_county,71,hadpap2,,,c03G01019,INTEGER,,1,1,hadpap2,,dot_caster,124
brfss_county,72,lastpap2,,,c03G0101a,INTEGER,,1,1,lastpap2,,dot_caster,125
brfss_county,73,hadhyst2,,,c03G0101b,INTEGER,,1,1,hadhyst2,,dot_caster,126
brfss_county,74,pcpsaad1,,,c03G0101c,INTEGER,,1,1,pcpsaad1,,dot_caster,127
brfss_county,75,pcpsadi1,,,c03G0101d,INTEGER,,1,1,pcpsadi1,,dot_caster,128
