table,sequence_id,column,datatype
,,,
brfss2013,1,id,int
brfss2013,2,_state,int
brfss2013,3,fmonth,int
brfss2013,4,imonth,int
brfss2013,5,iday,int
brfss2013,6,iyear,int
brfss2013,7,dispcode,int
brfss2013,8,seqno,int
brfss2013,9,ctelenum,int
brfss2013,10,pvtresd1,int
brfss2013,11,colghous,str
brfss2013,12,stateres,int
brfss2013,13,cellfon3,int
brfss2013,14,ladult,str
brfss2013,15,numadult,int
brfss2013,16,nummen,int
brfss2013,17,numwomen,int
brfss2013,18,genhlth,int
brfss2013,19,physhlth,int
brfss2013,20,menthlth,int
brfss2013,21,poorhlth,int
brfss2013,22,hlthpln1,int
brfss2013,23,persdoc2,int
brfss2013,24,medcost,int
brfss2013,25,checkup1,int
brfss2013,26,sleptim1,int
brfss2013,27,bphigh4,int
brfss2013,28,bpmeds,int
brfss2013,29,bloodcho,int
brfss2013,30,cholchk,int
brfss2013,31,toldhi2,int
brfss2013,32,cvdinfr4,int
brfss2013,33,cvdcrhd4,int
brfss2013,34,cvdstrk3,int
brfss2013,35,asthma3,int
brfss2013,36,asthnow,int
brfss2013,37,chcscncr,int
brfss2013,38,chcocncr,int
brfss2013,39,chccopd1,int
brfss2013,40,havarth3,int
brfss2013,41,addepev2,int
brfss2013,42,chckidny,int
brfss2013,43,diabete3,int
brfss2013,44,veteran3,int
brfss2013,45,marital,int
brfss2013,46,children,int
brfss2013,47,educa,int
brfss2013,48,employ1,int
brfss2013,49,income2,int
brfss2013,50,weight2,int
brfss2013,51,height3,int
brfss2013,52,numhhol2,int
brfss2013,53,numphon2,int
brfss2013,54,cpdemo1,int
brfss2013,55,cpdemo4,int
brfss2013,56,internet,int
brfss2013,57,renthom1,int
brfss2013,58,sex,int
brfss2013,59,pregnant,int
brfss2013,60,qlactlm2,int
brfss2013,61,useequip,int
brfss2013,62,blind,int
brfss2013,63,decide,int
brfss2013,64,diffwalk,int
brfss2013,65,diffdres,int
brfss2013,66,diffalon,int
brfss2013,67,smoke100,int
brfss2013,68,smokday2,int
brfss2013,69,stopsmk2,int
brfss2013,70,lastsmk2,int
brfss2013,71,usenow3,int
brfss2013,72,alcday5,int
brfss2013,73,avedrnk2,int
brfss2013,74,drnk3ge5,int
brfss2013,75,maxdrnks,int
brfss2013,76,fruitju1,int
brfss2013,77,fruit1,int
brfss2013,78,fvbeans,int
brfss2013,79,fvgreen,int
brfss2013,80,fvorang,int
brfss2013,81,vegetab1,int
brfss2013,82,exerany2,int
brfss2013,83,exract11,int
brfss2013,84,exeroft1,int
brfss2013,85,exerhmm1,int
brfss2013,86,exract21,int
brfss2013,87,exeroft2,int
brfss2013,88,exerhmm2,int
brfss2013,89,strength,int
brfss2013,90,lmtjoin3,int
brfss2013,91,arthdis2,int
brfss2013,92,arthsocl,int
brfss2013,93,joinpain,int
brfss2013,94,seatbelt,int
brfss2013,95,flushot6,int
brfss2013,96,flshtmy2,int
brfss2013,97,tetanus,int
brfss2013,98,pneuvac3,int
brfss2013,99,hivtst6,int
brfss2013,100,hivtstd3,int
brfss2013,101,whrtst10,int
brfss2013,102,pdiabtst,int
brfss2013,103,prediab1,int
brfss2013,104,diabage2,int
brfss2013,105,insulin,int
brfss2013,106,bldsugar,int
brfss2013,107,feetchk2,int
brfss2013,108,doctdiab,int
brfss2013,109,chkhemo3,int
brfss2013,110,feetchk,int
brfss2013,111,eyeexam,int
brfss2013,112,diabeye,int
brfss2013,113,diabedu,int
brfss2013,114,painact2,str
brfss2013,115,qlmentl2,str
brfss2013,116,qlstres2,str
brfss2013,117,qlhlth2,str
brfss2013,118,medicare,int
brfss2013,119,hlthcvrg,int
brfss2013,120,delaymed,int
brfss2013,121,dlyother,str
brfss2013,122,nocov121,int
brfss2013,123,lstcovrg,int
brfss2013,124,drvisits,int
brfss2013,125,medscost,int
brfss2013,126,carercvd,int
