table,source,dest
cahsee2003,co_code,countycode
cahsee2003,dist_code,districtcode
cahsee2003,charter,charternumber
cahsee2003,sch_code,schoolcode
cahsee2003,county,countyname
cahsee2003,district,districtname
cahsee2003,school,schoolname
cahsee2005,recorttype,recordtype
cahsee2006,recorttype,recordtype
cahsee2007,recorttype,recordtype
cahsee2008,recorttype,recordtype
cahsee2009,recorttype,recordtype
cahsee2001,mtestdate,mathtestdate
cahsee2003,mtestdate,mathtestdate
cahsee2001,menrollment,mathenrollment
cahsee2003,menrollment,mathenrollment
cahsee2001,mpctpscorr,mathpspercentcorrect
cahsee2003,mpctpscorr,mathpspercentcorrect
cahsee2001,mpctnscorr,mathnspercentcorrect
cahsee2003,mpctnscorr,mathnspercentcorrect
cahsee2001,mpctafcorr,mathafpercentcorrect
cahsee2003,mpctafcorr,mathafpercentcorrect
cahsee2001,mpctmgcorr,mathmgpercentcorrect
cahsee2003,mpctmgcorr,mathmgpercentcorrect
cahsee2001,mpcta1corr,matha1percentcorrect
cahsee2003,mpcta1corr,matha1percentcorrect
cahsee2001,etestdate,elatestdate
cahsee2003,etestdate,elatestdate
cahsee2001,eenrollment,elaenrollment
cahsee2003,eenrollment,elaenrollment
cahsee2001,epctwacorr,elawapercentcorrect
cahsee2003,epctwacorr,elawapercentcorrect
cahsee2001,epctrccorr,elarcpercentcorrect
cahsee2003,epctrccorr,elarcpercentcorrect
cahsee2001,epctlacorr,elalapercentcorrect
cahsee2003,epctlacorr,elalapercentcorrect
cahsee2001,epctwscorr,elawspercentcorrect
cahsee2003,epctwscorr,elawspercentcorrect
cahsee2001,epctwccorr,elawcpercentcorrect
cahsee2003,epctwccorr,elawcpercentcorrect
cahsee2001,eessay1wa,elaes1avgscore
cahsee2003,eessay1wa,elaes1avgscore
cahsee2001,eessay2wa,elaes2avgscore
cahsee2003,eessay2wa,elaes2avgscore
cahsee2001,mnumtested,mathnumbertested
cahsee2002,mathnumtested,mathnumbertested
cahsee2003,mnumtested,mathnumbertested
cahsee2001,mnumpassed,mathnumberpassed
cahsee2002,mathnumpassed,mathnumberpassed
cahsee2003,mnumpassed,mathnumberpassed
cahsee2001,mpctpassed,mathpercentpassed
cahsee2002,mathpctpassed,mathpercentpassed
cahsee2003,mpctpassed,mathpercentpassed
cahsee2001,mnumnpassed,mathnumbernotpassed
cahsee2002,mathnumnotpassed,mathnumbernotpassed
cahsee2003,mnumnpassed,mathnumbernotpassed
cahsee2001,mpctnpassed,mathpercentagenotpassed
cahsee2002,mathpctnotpassed,mathpercentagenotpassed
cahsee2003,mpctnpassed,mathpercentagenotpassed
cahsee2005,mathpercetnnotpassed,mathpercentagenotpassed
cahsee2006,mathpercetnnotpassed,mathpercentagenotpassed
cahsee2007,mathpercetnnotpassed,mathpercentagenotpassed
cahsee2008,mathpercetnnotpassed,mathpercentagenotpassed
cahsee2009,mathpercetnnotpassed,mathpercentagenotpassed
cahsee2001,mmeanss,mathmeanscalescore
cahsee2002,mathmeanscaledscore,mathmeanscalescore
cahsee2003,mmeanss,mathmeanscalescore
cahsee2001,enumtested,elanumbertested
cahsee2002,elanumtested,elanumbertested
cahsee2003,enumtested,elanumbertested
cahsee2001,enumpassed,elanumberpassed
cahsee2002,elanumpassed,elanumberpassed
cahsee2003,enumpassed,elanumberpassed
cahsee2001,epctpassed,elapercentpassed
cahsee2002,elapctpassed,elapercentpassed
cahsee2003,epctpassed,elapercentpassed
cahsee2001,enumnpassed,elanumbernotpassed
cahsee2002,elanumnotpassed,elanumbernotpassed
cahsee2003,enumnpassed,elanumbernotpassed
cahsee2001,epctnpassed,elapercentnotpassed
cahsee2002,elapctnotpassed,elapercentnotpassed
cahsee2003,epctnpassed,elapercentnotpassed
cahsee2005,elapercetnnotpassed,elapercentnotpassed
cahsee2006,elapercetnnotpassed,elapercentnotpassed
cahsee2007,elapercetnnotpassed,elapercentnotpassed
cahsee2008,elapercetnnotpassed,elapercentnotpassed
cahsee2009,elapercetnnotpassed,elapercentnotpassed
cahsee2001,emeanss,elameanscalescore
cahsee2002,elameanscaledscore,elameanscalescore
cahsee2003,emeanss,elameanscalescore
cahsee2005,elarapercentcorrect,elalrapercentcorrect
cahsee2006,elarapercentcorrect,elalrapercentcorrect
cahsee2007,elarapercentcorrect,elalrapercentcorrect
cahsee2008,elarapercentcorrect,elalrapercentcorrect
cahsee2009,elarapercentcorrect,elalrapercentcorrect
cahsee2004,system_date,systemdate
cahsee2005,mathgrade10,mathgrade10answersheetsprocessed
cahsee2006,mathgrade10,mathgrade10answersheetsprocessed
cahsee2007,mathgrade10,mathgrade10answersheetsprocessed
cahsee2008,mathgrade10,mathgrade10answersheetsprocessed
cahsee2009,mathgrade10,mathgrade10answersheetsprocessed
cahsee2005,elagrade10,elagrade10answersheetsprocessed
cahsee2006,elagrade10,elagrade10answersheetsprocessed
cahsee2007,elagrade10,elagrade10answersheetsprocessed
cahsee2008,elagrade10,elagrade10answersheetsprocessed
cahsee2009,elagrade10,elagrade10answersheetsprocessed
