"cahsee","cahsee2001","cahsee2002","cahsee2003","cahsee2004","cahsee2005","cahsee2006","cahsee2007","cahsee2008","cahsee2009","cahsee2010","cahsee2011","cahsee2012","cahsee2013","cahsee2014","cahsee2015"
"id",,,,,,,,,,,,,,,
"countycode","countycode","countycode","co_code","countycode","countycode","countycode","countycode","countycode","countycode","countycode","countycode","countycode","countycode","countycode","countycode"
"districtcode","districtcode","districtcode","dist_code","districtcode","districtcode","districtcode","districtcode","districtcode","districtcode","districtcode","districtcode","districtcode","districtcode","districtcode","districtcode"
"charternumber","charternumber","charternumber","charter","charternumber","charternumber","charternumber","charternumber","charternumber","charternumber","charternumber","charternumber","charternumber","charternumber","charternumber","charternumber"
"schoolcode","schoolcode","schoolcode","sch_code","schoolcode","schoolcode","schoolcode","schoolcode","schoolcode","schoolcode","schoolcode","schoolcode","schoolcode","schoolcode","schoolcode","schoolcode"
"countyname","countyname","countyname","county","countyname","countyname","countyname","countyname","countyname","countyname","countyname","countyname","countyname","countyname","countyname","countyname"
"districtname","districtname","districtname","district","districtname","districtname","districtname","districtname","districtname","districtname","districtname","districtname","districtname","districtname","districtname","districtname"
"schoolname","schoolname","schoolname","school","schoolname","schoolname","schoolname","schoolname","schoolname","schoolname","schoolname","schoolname","schoolname","schoolname","schoolname","schoolname"
"recordtype","recordtype","recordtype","recordtype","recordtype","recorttype","recorttype","recorttype","recorttype","recorttype","recordtype","recordtype","recordtype","recordtype","recordtype","recordtype"
"summarytype","summarytype","summarytype","summarytype","summarytype","summarytype","summarytype","summarytype","summarytype","summarytype","summarytype","summarytype","summarytype","summarytype","summarytype","summarytype"
"administration","administration","administration","administration","administration","administration","administration","administration","administration","administration","administration","administration","administration","administration","administration","administration"
"mathtestdate","mtestdate","mathtestdate","mtestdate","mathtestdate","mathtestdate","mathtestdate","mathtestdate","mathtestdate","mathtestdate","mathtestdate","mathtestdate","mathtestdate","mathtestdate","mathtestdate","mathtestdate"
"mathenrollment","menrollment","mathenrollment","menrollment",,,,,,,,,,,,
"mathpspercentcorrect","mpctpscorr","mathpspercentcorrect","mpctpscorr","mathpspercentcorrect","mathpspercentcorrect","mathpspercentcorrect","mathpspercentcorrect","mathpspercentcorrect","mathpspercentcorrect","mathpspercentcorrect","mathpspercentcorrect","mathpspercentcorrect","mathpspercentcorrect","mathpspercentcorrect","mathpspercentcorrect"
"mathnspercentcorrect","mpctnscorr","mathnspercentcorrect","mpctnscorr","mathnspercentcorrect","mathnspercentcorrect","mathnspercentcorrect","mathnspercentcorrect","mathnspercentcorrect","mathnspercentcorrect","mathnspercentcorrect","mathnspercentcorrect","mathnspercentcorrect","mathnspercentcorrect","mathnspercentcorrect","mathnspercentcorrect"
"mathafpercentcorrect","mpctafcorr","mathafpercentcorrect","mpctafcorr","mathafpercentcorrect","mathafpercentcorrect","mathafpercentcorrect","mathafpercentcorrect","mathafpercentcorrect","mathafpercentcorrect","mathafpercentcorrect","mathafpercentcorrect","mathafpercentcorrect","mathafpercentcorrect","mathafpercentcorrect","mathafpercentcorrect"
"mathmgpercentcorrect","mpctmgcorr","mathmgpercentcorrect","mpctmgcorr","mathmgpercentcorrect","mathmgpercentcorrect","mathmgpercentcorrect","mathmgpercentcorrect","mathmgpercentcorrect","mathmgpercentcorrect","mathmgpercentcorrect","mathmgpercentcorrect","mathmgpercentcorrect","mathmgpercentcorrect","mathmgpercentcorrect","mathmgpercentcorrect"
"matha1percentcorrect","mpcta1corr","matha1percentcorrect","mpcta1corr","matha1percentcorrect","matha1percentcorrect","matha1percentcorrect","matha1percentcorrect","matha1percentcorrect","matha1percentcorrect","matha1percentcorrect","matha1percentcorrect","matha1percentcorrect","matha1percentcorrect","matha1percentcorrect","matha1percentcorrect"
"elatestdate","etestdate","elatestdate","etestdate","elatestdate","elatestdate","elatestdate","elatestdate","elatestdate","elatestdate","elatestdate","elatestdate","elatestdate","elatestdate","elatestdate","elatestdate"
"elaenrollment","eenrollment","elaenrollment","eenrollment",,,,,,,,,,,,
"elawapercentcorrect","epctwacorr","elawapercentcorrect","epctwacorr","elawapercentcorrect","elawapercentcorrect","elawapercentcorrect","elawapercentcorrect","elawapercentcorrect","elawapercentcorrect","elawapercentcorrect","elawapercentcorrect","elawapercentcorrect","elawapercentcorrect","elawapercentcorrect","elawapercentcorrect"
"elarcpercentcorrect","epctrccorr","elarcpercentcorrect","epctrccorr","elarcpercentcorrect","elarcpercentcorrect","elarcpercentcorrect","elarcpercentcorrect","elarcpercentcorrect","elarcpercentcorrect","elarcpercentcorrect","elarcpercentcorrect","elarcpercentcorrect","elarcpercentcorrect","elarcpercentcorrect","elarcpercentcorrect"
"elalapercentcorrect","epctlacorr","elalapercentcorrect","epctlacorr",,,,,,,,,,,,
"elawspercentcorrect","epctwscorr","elawspercentcorrect","epctwscorr","elawspercentcorrect","elawspercentcorrect","elawspercentcorrect","elawspercentcorrect","elawspercentcorrect","elawspercentcorrect","elawspercentcorrect","elawspercentcorrect","elawspercentcorrect","elawspercentcorrect","elawspercentcorrect","elawspercentcorrect"
"elawcpercentcorrect","epctwccorr","elawcpercentcorrect","epctwccorr","elawcpercentcorrect","elawcpercentcorrect","elawcpercentcorrect","elawcpercentcorrect","elawcpercentcorrect","elawcpercentcorrect","elawcpercentcorrect","elawcpercentcorrect","elawcpercentcorrect","elawcpercentcorrect","elawcpercentcorrect","elawcpercentcorrect"
"elaes1avgscore","eessay1wa","elaes1avgscore","eessay1wa","elaes1avgscore","elaes1avgscore","elaes1avgscore","elaes1avgscore","elaes1avgscore","elaes1avgscore","elaes1avgscore","elaes1avgscore","elaes1avgscore","elaes1avgscore","elaes1avgscore","elaes1avgscore"
"elaes2avgscore","eessay2wa","elaes2avgscore","eessay2wa",,,,,,,,,,,,
"mathnumbertested","mnumtested","mathnumtested","mnumtested","mathnumbertested","mathnumbertested","mathnumbertested","mathnumbertested","mathnumbertested","mathnumbertested","mathnumbertested","mathnumbertested","mathnumbertested","mathnumbertested","mathnumbertested","mathnumbertested"
"mathnumberpassed","mnumpassed","mathnumpassed","mnumpassed","mathnumberpassed","mathnumberpassed","mathnumberpassed","mathnumberpassed","mathnumberpassed","mathnumberpassed","mathnumberpassed","mathnumberpassed","mathnumberpassed","mathnumberpassed","mathnumberpassed","mathnumberpassed"
"mathpercentpassed","mpctpassed","mathpctpassed","mpctpassed","mathpercentpassed","mathpercentpassed","mathpercentpassed","mathpercentpassed","mathpercentpassed","mathpercentpassed","mathpercentpassed","mathpercentpassed","mathpercentpassed","mathpercentpassed","mathpercentpassed","mathpercentpassed"
"mathnumbernotpassed","mnumnpassed","mathnumnotpassed","mnumnpassed","mathnumbernotpassed","mathnumbernotpassed","mathnumbernotpassed","mathnumbernotpassed","mathnumbernotpassed","mathnumbernotpassed","mathnumbernotpassed","mathnumbernotpassed","mathnumbernotpassed","mathnumbernotpassed","mathnumbernotpassed","mathnumbernotpassed"
"mathpercentagenotpassed","mpctnpassed","mathpctnotpassed","mpctnpassed","mathpercentagenotpassed","mathpercetnnotpassed","mathpercetnnotpassed","mathpercetnnotpassed","mathpercetnnotpassed","mathpercetnnotpassed","mathpercentagenotpassed","mathpercentagenotpassed","mathpercentagenotpassed","mathpercentagenotpassed","mathpercentagenotpassed","mathpercentagenotpassed"
"mathmeanscalescore","mmeanss","mathmeanscaledscore","mmeanss","mathmeanscalescore","mathmeanscalescore","mathmeanscalescore","mathmeanscalescore","mathmeanscalescore","mathmeanscalescore","mathmeanscalescore","mathmeanscalescore","mathmeanscalescore","mathmeanscalescore","mathmeanscalescore","mathmeanscalescore"
"elanumbertested","enumtested","elanumtested","enumtested","elanumbertested","elanumbertested","elanumbertested","elanumbertested","elanumbertested","elanumbertested","elanumbertested","elanumbertested","elanumbertested","elanumbertested","elanumbertested","elanumbertested"
"elanumberpassed","enumpassed","elanumpassed","enumpassed","elanumberpassed","elanumberpassed","elanumberpassed","elanumberpassed","elanumberpassed","elanumberpassed","elanumberpassed","elanumberpassed","elanumberpassed","elanumberpassed","elanumberpassed","elanumberpassed"
"elapercentpassed","epctpassed","elapctpassed","epctpassed","elapercentpassed","elapercentpassed","elapercentpassed","elapercentpassed","elapercentpassed","elapercentpassed","elapercentpassed","elapercentpassed","elapercentpassed","elapercentpassed","elapercentpassed","elapercentpassed"
"elanumbernotpassed","enumnpassed","elanumnotpassed","enumnpassed","elanumbernotpassed","elanumbernotpassed","elanumbernotpassed","elanumbernotpassed","elanumbernotpassed","elanumbernotpassed","elanumbernotpassed","elanumbernotpassed","elanumbernotpassed","elanumbernotpassed","elanumbernotpassed","elanumbernotpassed"
"elapercentnotpassed","epctnpassed","elapctnotpassed","epctnpassed","elapercentnotpassed","elapercetnnotpassed","elapercetnnotpassed","elapercetnnotpassed","elapercetnnotpassed","elapercetnnotpassed","elapercentnotpassed","elapercentnotpassed","elapercentnotpassed","elapercentnotpassed","elapercentnotpassed","elapercentnotpassed"
"elameanscalescore","emeanss","elameanscaledscore","emeanss","elameanscalescore","elameanscalescore","elameanscalescore","elameanscalescore","elameanscalescore","elameanscalescore","elameanscalescore","elameanscalescore","elameanscalescore","elameanscalescore","elameanscalescore","elameanscalescore"
"elalrapercentcorrect",,,,"elalrapercentcorrect","elarapercentcorrect","elarapercentcorrect","elarapercentcorrect","elarapercentcorrect","elarapercentcorrect","elalrapercentcorrect","elalrapercentcorrect","elalrapercentcorrect","elalrapercentcorrect","elalrapercentcorrect","elalrapercentcorrect"
"systemdate",,,,"system_date","systemdate","systemdate","systemdate","systemdate","systemdate","systemdate","systemdate","systemdate","systemdate","systemdate","systemdate"
"gradelevel",,,,,"gradelevel","gradelevel","gradelevel","gradelevel","gradelevel","gradelevel","gradelevel","gradelevel","gradelevel","gradelevel","gradelevel"
"mathgrade10answersheetsprocessed",,,,,"mathgrade10","mathgrade10","mathgrade10","mathgrade10","mathgrade10","mathgrade10answersheetsprocessed","mathgrade10answersheetsprocessed","mathgrade10answersheetsprocessed","mathgrade10answersheetsprocessed","mathgrade10answersheetsprocessed","mathgrade10answersheetsprocessed"
"elagrade10answersheetsprocessed",,,,,"elagrade10","elagrade10","elagrade10","elagrade10","elagrade10","elagrade10answersheetsprocessed","elagrade10answersheetsprocessed","elagrade10answersheetsprocessed","elagrade10answersheetsprocessed","elagrade10answersheetsprocessed","elagrade10answersheetsprocessed"
"filler",,,,,,,,,,"filler","filler","filler","filler","filler","filler"
"mathpercentprofandabove",,,,,,,,,,"mathpercentprofandabove","mathpercentprofandabove","mathpercentprofandabove","mathpercentprofandabove","mathpercentprofandabove","mathpercentprofandabove"
"elapercentprofandabove",,,,,,,,,,"elapercentprofandabove","elapercentprofandabove","elapercentprofandabove","elapercentprofandabove","elapercentprofandabove","elapercentprofandabove"
