name,description,url
CAHSEE2001,CAHSEE2001.zip,http://cahsee.cde.ca.gov/datafiles.asp/datafiles/CAHSEE2001.zip
cahsee2007,CAHSEE2007.zip,http://cahsee.cde.ca.gov/datafiles.asp/datafiles/cahsee2007.zip
cahsee2006,CAHSEE2006.zip,http://cahsee.cde.ca.gov/datafiles.asp/datafiles/cahsee2006.zip
cahsee2003,CAHSEE2003.zip,http://cahsee.cde.ca.gov/datafiles.asp/datafiles/cahsee2003.zip
CAHSEE2002,CAHSEE2002.zip,http://cahsee.cde.ca.gov/datafiles.asp/datafiles/CAHSEE2002.zip
cahsee2012,CAHSEE2012.zip,http://cahsee.cde.ca.gov/datafiles.asp/datafiles/cahsee2012.zip
cahsee2013,CAHSEE2013.zip,http://cahsee.cde.ca.gov/datafiles.asp/datafiles/cahsee2013.zip
cahsee2010,CAHSEE2010.zip,http://cahsee.cde.ca.gov/datafiles.asp/datafiles/cahsee2010.zip
cahsee2011,CAHSEE2011.zip,http://cahsee.cde.ca.gov/datafiles.asp/datafiles/cahsee2011.zip
cahsee2005,CAHSEE2005.zip,http://cahsee.cde.ca.gov/datafiles.asp/datafiles/cahsee2005.zip
cahsee2004,CAHSEE2004.zip,http://cahsee.cde.ca.gov/datafiles.asp/datafiles/cahsee2004.zip
cahsee2014,CAHSEE2014.zip,http://cahsee.cde.ca.gov/datafiles.asp/datafiles/cahsee2014.zip
cahsee2015,CAHSEE2015.zip,http://cahsee.cde.ca.gov/datafiles.asp/datafiles/cahsee2015.zip
cahsee2009,CAHSEE2009.zip,http://cahsee.cde.ca.gov/datafiles.asp/datafiles/cahsee2009.zip
cahsee2008,CAHSEE2008.zip,http://cahsee.cde.ca.gov/datafiles.asp/datafiles/cahsee2008.zip
