"table","column","datatype","description","transform"
,,,,
"cahsee","id","int",,
"cahsee","countycode","census.CensusCountyGeoid","co_code",
"cahsee","districtcode","int","dist_code",
"cahsee","charternumber","int","CharterNumber",
"cahsee","schoolcode","int","sch_code",
"cahsee","countyname","str","county",
"cahsee","districtname","str","district",
"cahsee","schoolname","str","school",
"cahsee","recordtype","int","RecortType",
"cahsee","summarytype","int","SummaryType",
"cahsee","administration","str","Administration",
"cahsee","mathtestdate","date","MathTestDate","^munge_date"
"cahsee","mathenrollment","int","MathEnrollment",
"cahsee","mathgrade10answersheetsprocessed","int","MathGrade10AnswerSheetsProcessed",
"cahsee","mathnumbertested","int","MathNumberTested",
"cahsee","mathnumberpassed","int","MathNumberPassed",
"cahsee","mathpercentpassed","int","MathPercentPassed",
"cahsee","mathnumbernotpassed","int","MathNumberNotPassed",
"cahsee","mathpercentagenotpassed","int","MathPercetnNotPassed",
"cahsee","mathmeanscalescore","int","MathMeanScaledScore",
"cahsee","mathpspercentcorrect","int","MathPSPercentCorrect",
"cahsee","mathnspercentcorrect","int","MathNSPercentCorrect",
"cahsee","mathafpercentcorrect","int","MathAFPercentCorrect",
"cahsee","mathmgpercentcorrect","int","MathMGPercentCorrect",
"cahsee","matha1percentcorrect","int","MathA1PercentCorrect",
"cahsee","elatestdate","date","ELATestDate","^munge_date"
"cahsee","elanumbertested","int","ENumTested",
"cahsee","elaenrollment","int","ELAEnrollment",
"cahsee","elagrade10answersheetsprocessed","int","ELAGrade10AnswerSheetsProcessed",
"cahsee","elanumberpassed","int","ENumPassed",
"cahsee","elapercentpassed","int","EPctPassed",
"cahsee","elanumbernotpassed","int","ENumNPassed",
"cahsee","elapercentnotpassed","int","EPctNPassed",
"cahsee","elameanscalescore","int","EMeanSS",
"cahsee","elawapercentcorrect","int","EPctWACorr",
"cahsee","elarcpercentcorrect","int","EPctRCCorr",
"cahsee","elalrapercentcorrect","int","ELARAPercentCorrect",
"cahsee","elawspercentcorrect","int","EPctWSCorr",
"cahsee","elalapercentcorrect","int","EPctLACorr",
"cahsee","elawcpercentcorrect","int","EPctWCCorr",
"cahsee","elaes1avgscore","float","ELAES1AvgScore",
"cahsee","systemdate","date","SystemDate",
"cahsee","elaes2avgscore","float","ELAES2AvgScore",
"cahsee","gradelevel","str","GradeLevel",
"cahsee","releasedate","datetime","ReleaseDate",
"cahsee","mathpercentprofandabove","int","MathPercentProfAndAbove",
"cahsee","elapercentprofandabove","int","ELAPercentProfAndAbove",
"cahsee","elapercentprofandabove","int","ELAPercentProfAndAbove",
"cahsee","year","int","Release year",
"cahsee","county_givd","census.GVid","Geo identifier","||countycode.gvid"
