"table","position","source_header","dest_header","datatype","valuetype","has_codes","start","width","size","summary","description"
"cahsee2007",1,"countycode","countycode","int",,"False",,,,,"CountyCode"
"cahsee2007",2,"districtcode","districtcode","int",,"False",,,,,"DistrictCode"
"cahsee2007",3,"charternumber","charternumber","int",,"False",,,,,"CharterNumber"
"cahsee2007",4,"schoolcode","schoolcode","int",,"False",,,,,"SchoolCode"
"cahsee2007",5,"countyname","countyname","str",,"False",,,,,"CountyName"
"cahsee2007",6,"districtname","districtname","str",,"False",,,,,"DistrictName"
"cahsee2007",7,"schoolname","schoolname","str",,"False",,,,,"SchoolName"
"cahsee2007",8,"recorttype","recordtype","int",,"False",,,,,"RecortType"
"cahsee2007",9,"summarytype","summarytype","int",,"False",,,,,"SummaryType"
"cahsee2007",10,"administration","administration","str",,"False",,,,,"Administration"
"cahsee2007",11,"mathtestdate","mathtestdate","date",,"False",,,,,"MathTestDate"
"cahsee2007",12,"mathgrade10","mathgrade10answersheetsprocessed","int",,"False",,,,,"MathGrade10"
"cahsee2007",13,"mathnumbertested","mathnumbertested","int",,"False",,,,,"MathNumberTested"
"cahsee2007",14,"mathnumberpassed","mathnumberpassed","int",,"False",,,,,"MathNumberPassed"
"cahsee2007",15,"mathpercentpassed","mathpercentpassed","int",,"False",,,,,"MathPercentPassed"
"cahsee2007",16,"mathnumbernotpassed","mathnumbernotpassed","int",,"False",,,,,"MathNumberNotPassed"
"cahsee2007",17,"mathpercetnnotpassed","mathpercentagenotpassed","int",,"False",,,,,"MathPercetnNotPassed"
"cahsee2007",18,"mathmeanscalescore","mathmeanscalescore","int",,"False",,,,,"MathMeanScaleScore"
"cahsee2007",19,"mathpspercentcorrect","mathpspercentcorrect","int",,"False",,,,,"MathPSPercentCorrect"
"cahsee2007",20,"mathnspercentcorrect","mathnspercentcorrect","int",,"False",,,,,"MathNSPercentCorrect"
"cahsee2007",21,"mathafpercentcorrect","mathafpercentcorrect","int",,"False",,,,,"MathAFPercentCorrect"
"cahsee2007",22,"mathmgpercentcorrect","mathmgpercentcorrect","int",,"False",,,,,"MathMGPercentCorrect"
"cahsee2007",23,"matha1percentcorrect","matha1percentcorrect","int",,"False",,,,,"MathA1PercentCorrect"
