"name","dest_table_name","time","start_line","end_line","header_lines","file","filetype","encoding","ref","state"
"cahsee2001","cahsee",2001,1,122977,0,,"tsv",,"http://cahsee.cde.ca.gov/datafiles/CAHSEE2001.zip","synced"
"cahsee2002","cahsee",2002,1,,0,,"tsv",,"http://cahsee.cde.ca.gov/datafiles/CAHSEE2002.zip","synced"
"cahsee2003","cahsee",2003,1,,0,,"csv",,"http://cahsee.cde.ca.gov/datafiles/cahsee2003.zip","synced"
"cahsee2004","cahsee",2004,1,,0,,"csv",,"http://cahsee.cde.ca.gov/datafiles/cahsee2004.zip","synced"
"cahsee2005","cahsee",2005,1,,0,,"tsv",,"http://cahsee.cde.ca.gov/datafiles/cahsee2005.zip","synced"
"cahsee2006","cahsee",2006,1,,0,"CAHSEE06.txt","tsv",,"http://cahsee.cde.ca.gov/datafiles/cahsee2006.zip","synced"
"cahsee2007","cahsee",2007,1,,0,,"tsv",,"http://cahsee.cde.ca.gov/datafiles/cahsee2007.zip","synced"
"cahsee2008","cahsee",2008,1,,0,,"tsv",,"http://cahsee.cde.ca.gov/datafiles/cahsee2008.zip","synced"
"cahsee2009","cahsee",2009,1,,0,,"tsv",,"http://cahsee.cde.ca.gov/datafiles/cahsee2009.zip","synced"
"cahsee2010","cahsee",2010,1,,0,,"tsv",,"http://cahsee.cde.ca.gov/datafiles/cahsee2010.zip","synced"
"cahsee2011","cahsee",2011,1,,0,,"tsv",,"http://cahsee.cde.ca.gov/datafiles/cahsee2011.zip","synced"
"cahsee2012","cahsee",2012,1,,0,,"tsv",,"http://cahsee.cde.ca.gov/datafiles/cahsee2012.zip","synced"
"cahsee2013","cahsee",2013,1,,0,,"tsv","latin1","http://cahsee.cde.ca.gov/datafiles/cahsee2013.zip","synced"
"cahsee2014","cahsee",2014,1,,0,,"tsv","latin1","http://cahsee.cde.ca.gov/datafiles/cahsee2014.zip","synced"
"cahsee2015","cahsee",2015,1,,0,,"tsv","latin1","http://cahsee.cde.ca.gov/datafiles/cahsee2015.zip","synced"
