table,column,datatype,description
pubschls,id,integer,California public schools
pubschls,cdscode,varchar,"This 14-digit code is the official, unique identification of a school within California. The first two digits identify the county, the next five digits identify the school district, and the last seven digits identify the school. 
Please note that a CDS code ending in '0000000' indicates a district record not a school."
pubschls,ncesdist,varchar,"This field represents the 7-digit National Center for Educational Statistics (NCES) school district identification number. The first 2 digits identify the state and the last 5 digits identify the school district. Combined, they make a unique 7-digit ID for each school district."
pubschls,ncesschool,varchar,This field represents the 5-digit NCES school identification number. The NCESSchool combined with the NCESDist form a unique 12-digit ID for each school.
pubschls,statustype,varchar,"This field identifies the status of the school or district. Definitions of the valid status types are listed below:

Active: The district or school is in operation and providing instructional services.
Closed: The district or school is not in operation and no longer providing instructional services. 
Merged: The district or school has combined with another district or districts, and the schools within the schools within the districts being combined have been reassigned to the newly joined/formed district. 
Pending: The district or school has not opened for operation and instructional services yet, but plans to open within the next 912 months."
pubschls,county,varchar,County name.
pubschls,district,varchar,District or Administrative Authority name.
pubschls,school,varchar,School name.
pubschls,street,varchar,"The unabbreviated street (physical) address of this school, district, or administrative authority. Note: Some entities (primarily closed or retired schools) may not have data in this field."
pubschls,streetabr,varchar,"The abbreviated street address of the school, district, or administrative authoritys physical location. Note: Some records (primarily records of closed or retired schools) may not have data in this field."
pubschls,city,varchar,"The city where the school, district, or administrative authority is physically located. Note: Some records (primarily records of closed or retired schools) may not have data in this field."
pubschls,zip,varchar,"The zip code associated with the street address of the school, district, or administrative authoritys physical location. Note: Some records (primarily records of closed or retired schools) may not have data in this field."
pubschls,state,varchar,"The state in which the school, district, or administrative authority is located."
pubschls,mailstreet,varchar,"The unabbreviated mailing address of the school, district, or administrative authority (i.e., P.O. Box). Note: 1) Some entities (primarily closed or retired schools) may not have data in this field; 2) Many active entities have not provided a mailing street address. For your convenience we have filled the unpopulated MailStreet cells with Street data."
pubschls,mailstrabr,varchar,"The abbreviated mailing street address of the school, district, or administrative authority (i.e., P.O. Box).Note: Many active entities have not provided a mailing street address. For your convenience we have filled the unpopulated MailStrAbr cells with StreetAbr data."
pubschls,mailcity,varchar,"The city associated with the mailing address of the school, district, or administrative authority. Note: Many entities have not provided a mailing address city. For your convenience we have filled the unpopulated MailCity cells with City data."
pubschls,mailzip,varchar,"The zip code associated with the mailing address of the school, district, or administrative authority. Note: Many entities have not provided a mailing address zip code. For your convenience we have filled the unpopulated MailZip cells with Zip data."
pubschls,mailstate,varchar,The state within the mailing address. For your convenience we have filled the unpopulated MailState cells with State data.
pubschls,phone,varchar,"The area code and phone number of the school, district, or administrative authority."
pubschls,ext,integer,"The phone number extension of the school, district, or administrative authority."
pubschls,website,varchar,"The website address of the school, district, or administrative authority."
pubschls,opendate,date,The date the school opened. A blank cell indicates  the record is for a district or county office.
