table,position,source_header,dest_header,datatype,valuetype,start,width,size,summary,description
pubschls,0,cdscode,cdscode,int,,,,,,
pubschls,1,ncesdist,ncesdist,int,,,,,,
pubschls,2,ncesschool,ncesschool,int,,,,,,
pubschls,3,statustype,statustype,str,,,,,,
pubschls,4,county,county,str,,,,,,
pubschls,5,district,district,str,,,,,,
pubschls,6,school,school,str,,,,,,
pubschls,7,street,street,str,,,,,,
pubschls,8,streetabr,streetabr,str,,,,,,
pubschls,9,city,city,str,,,,,,
pubschls,10,zip,zip,str,,,,,,
pubschls,11,state,state,str,,,,,,
pubschls,12,mailstreet,mailstreet,str,,,,,,
pubschls,13,mailstrabr,mailstrabr,str,,,,,,
pubschls,14,mailcity,mailcity,str,,,,,,
pubschls,15,mailzip,mailzip,str,,,,,,
pubschls,16,mailstate,mailstate,str,,,,,,
pubschls,17,phone,phone,str,,,,,,
pubschls,18,ext,ext,int,,,,,,
pubschls,19,website,website,str,,,,,,
pubschls,20,opendate,opendate,date,,,,,,
pubschls,21,closeddate,closeddate,date,,,,,,
pubschls,22,charter,charter,str,,,,,,
pubschls,23,charternum,charternum,int,,,,,,
pubschls,24,fundingtype,fundingtype,str,,,,,,
pubschls,25,doc,doc,int,,,,,,
pubschls,26,doctype,doctype,str,,,,,,
pubschls,27,soc,soc,int,,,,,,
pubschls,28,soctype,soctype,str,,,,,,
pubschls,29,edopscode,edopscode,str,,,,,,
pubschls,30,edopsname,edopsname,str,,,,,,
pubschls,31,eilcode,eilcode,str,,,,,,
pubschls,32,eilname,eilname,str,,,,,,
pubschls,33,gsoffered,gsoffered,str,,,,,,
pubschls,34,gsserved,gsserved,str,,,,,,
pubschls,35,virtual,virtual,str,,,,,,
pubschls,36,latitude,latitude,float,,,,,,
pubschls,37,longitude,longitude,float,,,,,,
pubschls,38,admfname1,admfname1,str,,,,,,
pubschls,39,admlname1,admlname1,str,,,,,,
pubschls,40,admemail1,admemail1,str,,,,,,
pubschls,41,admfname2,admfname2,str,,,,,,
pubschls,42,admlname2,admlname2,str,,,,,,
pubschls,43,admemail2,admemail2,str,,,,,,
pubschls,44,admfname3,admfname3,str,,,,,,
pubschls,45,admlname3,admlname3,str,,,,,,
pubschls,46,admemail3,admemail3,str,,,,,,
pubschls,47,lastupdate,lastupdate,date,,,,,,
