table,position,source_header,dest_header,datatype,valuetype,has_codes,start,width,size,summary,description
districts,1,cd_code,cd_code,int,,False,,,,,CD Code
districts,2,county,county,str,,False,,,,,County 
districts,3,district,district,str,,False,,,,,District 
districts,4,street,street,str,,False,,,,,Street
districts,5,city,city,str,,False,,,,,City 
districts,6,zip,zip,str,,False,,,,,Zip 
districts,7,state,state,str,,False,,,,,State 
districts,8,mailstreet,mailstreet,str,,False,,,,,MailStreet 
districts,9,mailcity,mailcity,str,,False,,,,,MailCity 
districts,10,mailzip,mailzip,str,,False,,,,,MailZip 
districts,11,mailstate,mailstate,str,,False,,,,,MailState 
districts,12,phone,phone,str,,False,,,,,Phone 
districts,13,ext,ext,int,,False,,,,,Ext 
districts,14,admfname,admfname,str,,False,,,,,AdmFName
districts,15,admlname,admlname,str,,False,,,,,AdmLName
districts,16,admemail,admemail,str,,False,,,,,AdmEmail
districts,17,latitude,latitude,float,,False,,,,,Latitude 
districts,18,longitude,longitude,float,,False,,,,,Longitude 
districts,19,doc,doc,int,,False,,,,,DOC 
districts,20,doctype,doctype,str,,False,,,,,DOCType 
districts,21,statustype,statustype,str,,False,,,,,StatusType 
districts,22,lastupdate,lastupdate,date,,False,,,,,LastUpDate
schools,1,cdscode,cdscode,int,,False,,,,,CDSCode
schools,2,ncesdist,ncesdist,int,,False,,,,,NCESDist
schools,3,ncesschool,ncesschool,int,,False,,,,,NCESSchool
schools,4,statustype,statustype,str,,False,,,,,StatusType
schools,5,county,county,str,,False,,,,,County
schools,6,district,district,str,,False,,,,,District
schools,7,school,school,str,,False,,,,,School
schools,8,street,street,str,,False,,,,,Street
schools,9,streetabr,streetabr,str,,False,,,,,StreetAbr
schools,10,city,city,str,,False,,,,,City
schools,11,zip,zip,str,,False,,,,,Zip
schools,12,state,state,str,,False,,,,,State
schools,13,mailstreet,mailstreet,str,,False,,,,,MailStreet
schools,14,mailstrabr,mailstrabr,str,,False,,,,,MailStrAbr
schools,15,mailcity,mailcity,str,,False,,,,,MailCity
schools,16,mailzip,mailzip,str,,False,,,,,MailZip
schools,17,mailstate,mailstate,str,,False,,,,,MailState
schools,18,phone,phone,str,,False,,,,,Phone
schools,19,ext,ext,int,,False,,,,,Ext
schools,20,website,website,str,,False,,,,,Website
schools,21,opendate,opendate,date,,False,,,,,OpenDate
schools,22,closeddate,closeddate,date,,False,,,,,ClosedDate
schools,23,charter,charter,str,,False,,,,,Charter
schools,24,charternum,charternum,int,,True,,,,,CharterNum
schools,25,fundingtype,fundingtype,str,,False,,,,,FundingType
schools,26,doc,doc,int,,False,,,,,DOC
schools,27,doctype,doctype,str,,False,,,,,DOCType
schools,28,soc,soc,int,,False,,,,,SOC
schools,29,soctype,soctype,str,,False,,,,,SOCType
schools,30,edopscode,edopscode,str,,False,,,,,EdOpsCode
schools,31,edopsname,edopsname,str,,False,,,,,EdOpsName
schools,32,eilcode,eilcode,str,,False,,,,,EILCode
schools,33,eilname,eilname,str,,False,,,,,EILName
schools,34,gsoffered,gsoffered,str,,False,,,,,GSoffered
schools,35,gsserved,gsserved,str,,False,,,,,GSserved
schools,36,virtual,virtual,str,,False,,,,,Virtual
schools,37,latitude,latitude,float,,False,,,,,Latitude
schools,38,longitude,longitude,float,,False,,,,,Longitude
schools,39,admfname1,admfname1,str,,False,,,,,AdmFName1
schools,40,admlname1,admlname1,str,,False,,,,,AdmLName1
schools,41,admemail1,admemail1,str,,False,,,,,AdmEmail1
schools,42,admfname2,admfname2,str,,False,,,,,AdmFName2
schools,43,admlname2,admlname2,str,,False,,,,,AdmLName2
schools,44,admemail2,admemail2,str,,False,,,,,AdmEmail2
schools,45,admfname3,admfname3,str,,False,,,,,AdmFName3
schools,46,admlname3,admlname3,str,,False,,,,,AdmLName3
schools,47,admemail3,admemail3,str,,False,,,,,AdmEmail3
schools,48,lastupdate,lastupdate,date,,False,,,,,LastUpdate
joined_districts,1,id,id,int,,False,,,,,id
joined_districts,2,index,index,int,,False,,,,,index
joined_districts,3,ncesdist,ncesdist,float,,False,,,,,ncesdist
joined_districts,4,cd_code,cd_code,int,,False,,,,,cd_code
joined_districts,5,county_sos,county_sos,int,,False,,,,,county_sos
joined_districts,6,county_fips,county_fips,int,,False,,,,,county_fips
joined_districts,7,county_gvid,county_gvid,str,,False,,,,,county_gvid
joined_districts,8,county,county,str,,False,,,,,county
joined_districts,9,district,district,str,,False,,,,,district
joined_districts,10,geoid,geoid,str,,False,,,,,geoid
joined_districts,11,name,name,str,,False,,,,,name
joined_districts,12,gvid,gvid,str,,False,,,,,gvid
