name,title,dest_table_name,time,space,grain,start_line,end_line,comment_lines,header_lines,filetype,reftype,ref,state
births_1989,births_1989,birth_profile,1989,California,zip,7,,"0,1,2,3","4,5,6",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip1989.xls,synced
births_1990,births_1990,birth_profile,1990,California,zip,7,,"0,1,2,3","4,5,6",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip1990.xls,synced
births_1991,births_1991,birth_profile,1991,California,zip,7,,"0,1,2,3","4,5,6",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip1991.xls,synced
births_1992,births_1992,birth_profile,1992,California,zip,7,,"0,1,2,3","4,5,6",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip1992.xls,synced
births_1993,births_1993,birth_profile,1993,California,zip,7,,"0,1,2,3","4,5,6",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip1993.xls,synced
births_1994,births_1994,birth_profile,1994,California,zip,7,,"0,1,2,3","4,5,6",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip1994.xls,synced
births_1995,births_1995,birth_profile,1995,California,zip,7,,"0,1,2,3","4,5,6",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip1995.xls,synced
births_1996,births_1996,birth_profile,1996,California,zip,7,,"0,1,2,3","4,5,6",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip1996.xls,synced
births_1997,births_1997,birth_profile,1997,California,zip,7,,"0,1,2,3","4,5,6",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip1997.xls,synced
births_1998,births_1998,birth_profile,1998,California,zip,7,,"0,1,2,3","4,5,6",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip1998.xls,synced
births_1999,births_1999,birth_profile,1999,California,zip,7,,"0,1,2,3","4,5,6",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip1999.xls,synced
births_2000,births_2000,birth_profile,2000,California,zip,7,1564,"0,1,2,3","4,5,6",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip2000.xls,synced
births_2001,births_2001,birth_profile,2001,California,zip,7,1577,"0,1,2,3","4,5,6",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip2001.xls,synced
births_2002,births_2002,birth_profile,2002,California,zip,7,1569,"0,1,2,3","4,5,6",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip2002.xls,synced
births_2003,births_2003,birth_profile,2003,California,zip,7,1564,"0,1,2,3","4,5,6",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip2003.xls,synced
births_2004,births_2004,birth_profile,2004,California,zip,7,1566,"0,1,2,3","4,5,6",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip2004.xls,synced
births_2005,births_2005,birth_profile,2005,California,zip,7,1578,"0,1,2,3","4,5,6",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip2005.xls,synced
births_2006,births_2006,birth_profile,2006,California,zip,7,1584,"0,1,2,3","4,5,6",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip2006.xls,synced
births_2007,births_2007,birth_profile,2007,California,zip,6,1563,"0,1,2,3","4,5",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip2007.xlsx,synced
births_2008,births_2008,birth_profile,2008,California,zip,6,1551,"0,1,2,3","4,5",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip2008.xlsx,synced
births_2009,births_2009,birth_profile,2009,California,zip,6,1528,"0,1,2,3","4,5",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip2009.xlsx,synced
births_2010,births_2010,birth_profile,2010,California,zip,6,1536,"0,1,2,3","4,5",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip2010.xlsx,synced
births_2011,births_2011,birth_profile,2011,California,zip,6,1536,"0,1,2,3","4,5",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip2011.xlsx,synced
births_2012,births_2012,birth_profile,2012,California,zip,6,1532,"0,1,2,3","4,5",,,http://www.cdph.ca.gov/data/statistics/Documents/birthzip2012.xlsx,synced
zip_county,zip_county,zip_county,1989/2012,California,zip,,,,,partition,ref,huduser.org-zipcross-zip_county-201412,synced
