table,position,source_header,dest_header,datatype,valuetype,start,width,size,summary,description
jobs_housing_ratio,0,ind_id,ind_id,int,,,,,,
jobs_housing_ratio,1,ind_definition,ind_definition,str,,,,,,
jobs_housing_ratio,2,reportyear,reportyear,str,,,,,,
jobs_housing_ratio,3,race_eth_code,race_eth_code,int,,,,,,
jobs_housing_ratio,4,race_eth_name,race_eth_name,str,,,,,,
jobs_housing_ratio,5,geotype,geotype,str,,,,,,
jobs_housing_ratio,6,geotypevalue,geotypevalue,int,,,,,,
jobs_housing_ratio,7,geoname,geoname,str,,,,,,
jobs_housing_ratio,8,county_name,county_name,str,,,,,,
jobs_housing_ratio,9,county_fips,county_fips,int,,,,,,
jobs_housing_ratio,10,msa_name,msa_name,str,,,,,,
jobs_housing_ratio,11,msa_code,msa_code,int,,,,,,
jobs_housing_ratio,12,strata_name_code,strata_name_code,int,,,,,,
jobs_housing_ratio,13,strata_name,strata_name,str,,,,,,
jobs_housing_ratio,14,strata_level_name_code,strata_level_name_code,int,,,,,,
jobs_housing_ratio,15,strata_level_name,strata_level_name,str,,,,,,
jobs_housing_ratio,16,jobs,jobs,int,,,,,,
jobs_housing_ratio,17,housing,housing,int,,,,,,
jobs_housing_ratio,18,ratio,ratio,float,,,,,,
jobs_housing_ratio,19,ll_95ci,ll_95ci,float,,,,,,
jobs_housing_ratio,20,ul_95ci,ul_95ci,float,,,,,,
jobs_housing_ratio,21,ratio_se,ratio_se,float,,,,,,
jobs_housing_ratio,22,ratio_rse,ratio_rse,float,,,,,,
jobs_housing_ratio,23,ratio_decile,ratio_decile,int,,,,,,
jobs_housing_ratio,24,ms_rr,ms_rr,float,,,,,,
jobs_housing_ratio,25,version,version,float,,,,,,
living_wage,0,ind_id,ind_id,unknown,,,,,,
living_wage,1,ind_definition,ind_definition,unknown,,,,,,
living_wage,2,reportyear,reportyear,unknown,,,,,,
living_wage,3,family_type,family_type,unknown,,,,,,
living_wage,4,race_eth_code,race_eth_code,unknown,,,,,,
living_wage,5,race_eth_name,race_eth_name,unknown,,,,,,
living_wage,6,geotype,geotype,unknown,,,,,,
living_wage,7,geotypevalue,geotypevalue,unknown,,,,,,
living_wage,8,geoname,geoname,unknown,,,,,,
living_wage,9,county_name,county_name,unknown,,,,,,
living_wage,10,county_fips,county_fips,unknown,,,,,,
living_wage,11,region_name,region_name,unknown,,,,,,
living_wage,12,region_code,region_code,unknown,,,,,,
living_wage,13,fam_lt_lw,fam_lt_lw,unknown,,,,,,
living_wage,14,families,families,unknown,,,,,,
living_wage,15,pct_lt_lw,pct_lt_lw,unknown,,,,,,
living_wage,16,ll_95ci,ll_95ci,unknown,,,,,,
living_wage,17,ul_95ci,ul_95ci,unknown,,,,,,
living_wage,18,se,se,unknown,,,,,,
living_wage,19,rse,rse,unknown,,,,,,
living_wage,20,family_type_decile,family_type_decile,unknown,,,,,,
living_wage,21,ca_rr,ca_rr,unknown,,,,,,
living_wage,22,livingwage,livingwage,unknown,,,,,,
living_wage,23,version,version,unknown,,,,,,
jobs_employed_ratio,0,ind_id,ind_id,int,,,,,,
jobs_employed_ratio,1,ind_definition,ind_definition,str,,,,,,
jobs_employed_ratio,2,reportyear,reportyear,int,,,,,,
jobs_employed_ratio,3,race_eth_code,race_eth_code,int,,,,,,
jobs_employed_ratio,4,race_eth_name,race_eth_name,str,,,,,,
jobs_employed_ratio,5,geotype,geotype,str,,,,,,
jobs_employed_ratio,6,geotypevalue,geotypevalue,int,,,,,,
jobs_employed_ratio,7,geoname,geoname,str,,,,,,
jobs_employed_ratio,8,county_name,county_name,str,,,,,,
jobs_employed_ratio,9,county_fips,county_fips,int,,,,,,
jobs_employed_ratio,10,msa_name,msa_name,str,,,,,,
jobs_employed_ratio,11,msa_code,msa_code,int,,,,,,
jobs_employed_ratio,12,strata_name_code,strata_name_code,int,,,,,,
jobs_employed_ratio,13,strata_name,strata_name,str,,,,,,
jobs_employed_ratio,14,strata_level_name_code,strata_level_name_code,int,,,,,,
jobs_employed_ratio,15,strata_level_name,strata_level_name,str,,,,,,
jobs_employed_ratio,16,jobs,jobs,int,,,,,,
jobs_employed_ratio,17,employed_res,employed_res,int,,,,,,
jobs_employed_ratio,18,ratio,ratio,float,,,,,,
jobs_employed_ratio,19,ll_95ci,ll_95ci,str,,,,,,
jobs_employed_ratio,20,ul_95ci,ul_95ci,str,,,,,,
jobs_employed_ratio,21,ratio_se,ratio_se,str,,,,,,
jobs_employed_ratio,22,ratio_rse,ratio_rse,str,,,,,,
jobs_employed_ratio,23,ratio_decile,ratio_decile,int,,,,,,
jobs_employed_ratio,24,ms_rr,ms_rr,float,,,,,,
jobs_employed_ratio,25,version,version,float,,,,,,
