name,title,dest_table_name,time,space,grain,segment,start_line,end_line,comment_lines,header_lines,description,filetype,reftype,ref,state
2000-2001_kinder,2000-2001_kinder,kinder,2000,California,school,0,5,7423,"0,1","3,4",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2000-2001%20CA%20Kindergarten%20Data.xls,synced
2001-2002_kinder,2001-2002_kinder,kinder,2001,California,school,0,5,7507,"0,1","3,4",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2001-2002CAKindergartenData.xls,synced
2002-2003_kinder,2002-2003_kinder,kinder,2002,California,school,0,5,7433,"0,1","3,4",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2002-2003CAKindergartenData.xls,synced
2003-2004_kinder,2003-2004_kinder,kinder,2003,California,school,0,5,7357,"0,1","3,4",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2003-2004CAKindergartenData.xls,synced
2004-2005_kinder,2004-2005_kinder,kinder,2004,California,school,0,5,7366,"0,1","3,4",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2004-2005CAKindergartenData.xls,synced
2005-2006_kinder,2005-2006_kinder,kinder,2005,California,school,0,5,7376,"0,1","3,4",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2005-2006CAKindergartenData.xls,synced
2006-2007_kinder,2006-2007_kinder,kinder,2006,California,school,0,5,7369,"0,1","3,4",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2006-2007CAKindergartenData.xls,synced
2007-2008_kinder,2007-2008_kinder,kinder,2007,California,school,0,5,7314,"0,1","3,4",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2007-2008%20CA%20Kindergarten%20Data.xls,synced
2008-2009_kinder,2008-2009_kinder,kinder,2008,California,school,0,5,7179,"0,1","3,4",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2008-2009CAKindergartenData.xls,synced
2009-2010_kinder,2009-2010_kinder,kinder,2009,California,school,0,5,7130,"0,1","3,4",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2009-2010CAKindergartenData.xls,synced
2010-2011_child_care,2010-2011_child_care,child_care,2010,California,school,0,6,,"0,1,2","4,5",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2010-2011%20Child%20Care%20Data.xls,synced
2010-2011_kinder,2010-2011_kinder,kinder,2010,California,school,0,5,7170,"0,1","3,4",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2010-2011CAKindergartenData%20(2).xls,synced
2011-2012_12th,2011-2012_12th,g12,2011,California,school,0,5,17564,"0,1","3,4",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2011-2012%20CA%207-12th%20Grade%20Data.xls,synced
2011-2012_child_care,2011-2012_child_care,child_care,2011,California,school,0,6,,"0,1,2","4,5",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/CAChildCareData2011-2012.xls,synced
2011-2012_kinder,2011-2012_kinder,kinder,2011,California,school,0,5,7332,"0,1","3,4",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2011-2012%20CA%20Kindergarten%20Data.xls,synced
2012-2013_7th,2012-2013_7th,g7,2012,California,school,3,5,3854,"0,1","3,4",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2012-2013%20CA%20Seventh%20Grade%20Data.xls,synced
2012-2013_child_care,2012-2013_child_care,child_care,2012,California,school,0,6,,"0,1,2","4,5",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2012-2013%20CA%20Child%20Care%20Data.xls,synced
2012-2013_kinder,2012-2013_kinder,kinder,2012,California,school,2,5,7642,"0,1","3,4",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2012-2013%20California%20Kindergarten%20Data.xls,synced
2013-2014_7th,2013-2014_7th,g7,2013,California,school,3,5,3848,"0,1","3,4",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2013-2014%20CA%20Seventh%20Grade%20Data.xls,synced
2013-2014_child_care,2013-2014_child_care,child_care,2013,California,school,0,6,,"0,1,2","4,5",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2013-2014%20CA%20Child%20Care%20Data.xls,synced
2013-2014_kinder,2013-2014_kinder,kinder,2013,California,school,2,5,7386,"0,1","3,4",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2013-2014%20CA%20Kindergarten%20Data.xls,synced
2014-2015_7th,2014-2015_7th,g7,2014,California,school,2,5,4038,"0,1","3,4",None,,,http://www.cdph.ca.gov/programs/immunize/Documents/2014-2015%20CA%20Seventh%20Grade%20Data.xls,synced
2014-2015_child_care,2014-2015_child_care,child_care,2014,California,school,0,6,,"0,1,2","4,5",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2014-2015%20CA%20Child%20Care%20Data.xlsx,synced
2014-2015_kinder,2014-2015_kinder,kinder,2014,California,school,0,5,7469,"0,1","3,4",xls,,,http://www.cdph.ca.gov/programs/immunize/Documents/2014-15%20CA%20Kindergarten%20Data.xlsx,synced
counties,counties,counties,,California,school,,,,,,,partition,ref,census.gov-index-counties,synced
districts,districts,districts,,California,school,,,,,,,partition,ref,cde.ca.gov-schools-school_index,synced
schools,schools,schools,,California,school,,,,,,,partition,ref,cde.ca.gov-schools-dist_index,synced
