table,datatype,caster,column,description
,,,,
geofile352,int,,id,Geofile for: New England City and Town Area-State-Principal City
geofile352,str,,fileid,Always equal to ACS Summary File identification
geofile352,str,,stusab,State Postal Abbreviation
geofile352,int,,sumlevel,Summary Level
geofile352,str,,component,Geographic Component
geofile352,int,,logrecno,Logical Record Number
geofile352,int,,state,State (FIPS Code)
geofile352,int,,place,Place (FIPS Code)
geofile352,int,,necta,New England City and Town Area
geofile352,str,,geoid,Geographic Identifier
geofile352,str,,name,Area Name
,,,,
geofile80,int,,id,Geofile for: County Subdivision-Place/Remainder-Census Tract
geofile80,str,,fileid,Always equal to ACS Summary File identification
geofile80,str,,stusab,State Postal Abbreviation
geofile80,int,,sumlevel,Summary Level
geofile80,str,,component,Geographic Component
geofile80,int,,logrecno,Logical Record Number
geofile80,int,,state,State (FIPS Code)
geofile80,int,,county,County of current residence
geofile80,int,,cousub,County Subdivision (FIPS)
geofile80,int,,place,Place (FIPS Code)
geofile80,int,,tract,Census Tract
geofile80,str,,geoid,Geographic Identifier
geofile80,str,,name,Area Name
,,,,
geofile332,int,,id,Geofile for: Combined Statistical Area-CBSA
geofile332,str,,fileid,Always equal to ACS Summary File identification
geofile332,str,,stusab,State Postal Abbreviation
geofile332,int,,sumlevel,Summary Level
geofile332,str,,component,Geographic Component
geofile332,int,,logrecno,Logical Record Number
geofile332,int,,cbsa,Metropolitan and Micropolitan Statistical Area
geofile332,int,,csa,Combined Statistical Area
geofile332,str,,geoid,Geographic Identifier
geofile332,str,,name,Area Name
,,,,
geofile351,int,,id,Geofile for: New England City and Town Area-State
geofile351,str,,fileid,Always equal to ACS Summary File identification
geofile351,str,,stusab,State Postal Abbreviation
geofile351,int,,sumlevel,Summary Level
geofile351,str,,component,Geographic Component
geofile351,int,,logrecno,Logical Record Number
geofile351,int,,state,State (FIPS Code)
geofile351,int,,necta,New England City and Town Area
geofile351,str,,geoid,Geographic Identifier
geofile351,str,,name,Area Name
,,,,
geofile324,int,,id,Geofile for: State- Metropolitan Statistical Area/Metropolitan Division-County
geofile324,str,,fileid,Always equal to ACS Summary File identification
geofile324,str,,stusab,State Postal Abbreviation
geofile324,int,,sumlevel,Summary Level
geofile324,str,,component,Geographic Component
geofile324,int,,logrecno,Logical Record Number
geofile324,int,,state,State (FIPS Code)
geofile324,int,,county,County of current residence
geofile324,int,,cbsa,Metropolitan and Micropolitan Statistical Area
geofile324,int,,metdiv,Metropolitan Statistical Area- Metropolitan Division
geofile324,int,,memi,Metropolitan/Micropolitan Indicator Flag
geofile324,str,,geoid,Geographic Identifier
geofile324,str,,name,Area Name
,,,,
geofile550,int,,id,Geofile for: Congressional District-American IndianArea/Alaska NativeArea/Hawaiian Home Land
geofile550,str,,fileid,Always equal to ACS Summary File identification
geofile550,str,,stusab,State Postal Abbreviation
geofile550,int,,sumlevel,Summary Level
geofile550,str,,component,Geographic Component
geofile550,int,,logrecno,Logical Record Number
geofile550,int,,state,State (FIPS Code)
geofile550,int,,aianhh,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile550,int,,cdcurr,Current Congressional District ***
geofile550,str,,geoid,Geographic Identifier
geofile550,str,,name,Area Name
,,,,
geofile322,int,,id,Geofile for: State- CBSA -County
geofile322,str,,fileid,Always equal to ACS Summary File identification
geofile322,str,,stusab,State Postal Abbreviation
geofile322,int,,sumlevel,Summary Level
geofile322,str,,component,Geographic Component
geofile322,int,,logrecno,Logical Record Number
geofile322,int,,state,State (FIPS Code)
geofile322,int,,county,County of current residence
geofile322,int,,cbsa,Metropolitan and Micropolitan Statistical Area
geofile322,str,,geoid,Geographic Identifier
geofile322,str,,name,Area Name
,,,,
geofile336,int,,id,Geofile for: Combined New England City and Town Area -State
geofile336,str,,fileid,Always equal to ACS Summary File identification
geofile336,str,,stusab,State Postal Abbreviation
geofile336,int,,sumlevel,Summary Level
geofile336,str,,component,Geographic Component
geofile336,int,,logrecno,Logical Record Number
geofile336,int,,state,State (FIPS Code)
geofile336,int,,cnecta,New England City and Town Combined Statistical Area
geofile336,str,,geoid,Geographic Identifier
geofile336,str,,name,Area Name
,,,,
geofile314,int,,id,Geofile for: Metropolitan Statistical Area/Metropolitan Division
geofile314,str,,fileid,Always equal to ACS Summary File identification
geofile314,str,,stusab,State Postal Abbreviation
geofile314,int,,sumlevel,Summary Level
geofile314,str,,component,Geographic Component
geofile314,int,,logrecno,Logical Record Number
