table,position,source_header,dest_header,datatype,valuetype,start,width,size,summary,description
geoschema,1,fileid,fileid,str,,1,6,,,Always equal to ACS Summary File identification 
geoschema,2,stusab,stusab,str,,7,2,,,State Postal Abbreviation 
geoschema,3,sumlevel,sumlevel,int,,9,3,,,Summary Level 
geoschema,4,component,component,int,,12,2,,,Geographic Component 
geoschema,5,logrecno,logrecno,int,,14,7,,,Logical Record Number 
geoschema,6,us,us,unknown,,21,1,,,US  
geoschema,7,region,region,unknown,,22,1,,,Census Region 
geoschema,8,division,division,unknown,,23,1,,,Census Division 
geoschema,9,statece,statece,unknown,,24,2,,,State (Census Code) 
geoschema,10,state,state,int,,26,2,,,State (FIPS Code) 
geoschema,11,county,county,int,,28,3,,,County of current residence 
geoschema,12,cousub,cousub,int,,31,5,,,County Subdivision (FIPS) 
geoschema,13,place,place,int,,36,5,,,Place (FIPS Code) 
geoschema,14,tract,tract,int,,41,6,,,Census Tract 
geoschema,15,blkgrp,blkgrp,int,,47,1,,,Block Group 
geoschema,16,concit,concit,unknown,,48,5,,,Consolidated City 
geoschema,17,aianhh,aianhh,int,,53,4,,,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geoschema,18,aianhhfp,aianhhfp,unknown,,57,5,,,American Indian Area/Alaska Native Area/ Hawaiian Home Land (FIPS) 
geoschema,19,aihhtli,aihhtli,str,,62,1,,,American Indian Trust Land/ Hawaiian Home Land Indicator 
geoschema,20,aitsce,aitsce,int,,63,3,,,American Indian Tribal Subdivision (Census)  
geoschema,21,aits,aits,unknown,,66,5,,,American Indian Tribal Subdivision (FIPS) 
geoschema,22,anrc,anrc,int,,71,5,,,Alaska Native Regional Corporation (FIPS) 
geoschema,23,cbsa,cbsa,int,,76,5,,,Metropolitan and Micropolitan Statistical Area 
geoschema,24,csa,csa,unknown,,81,3,,,Combined Statistical Area 
geoschema,25,metdiv,metdiv,unknown,,84,5,,,Metropolitan Statistical Area- Metropolitan Division 
geoschema,26,macc,macc,unknown,,89,1,,,Metropolitan Area Central City 
geoschema,27,memi,memi,int,,90,1,,,Metropolitan/Micropolitan Indicator Flag  
geoschema,28,necta,necta,unknown,,91,5,,,New England City and Town Area 
geoschema,29,cnecta,cnecta,unknown,,96,3,,,New England City and Town Combined Statistical Area 
geoschema,30,nectadiv,nectadiv,unknown,,99,5,,,New England City and Town Area Division 
geoschema,31,ua,ua,unknown,,104,5,,,Urban Area 
geoschema,33,cdcurr,cdcurr,int,,114,2,,,Current Congressional District *** 
geoschema,34,sldu,sldu,str,,116,3,,,State Legislative District Upper 
geoschema,35,sldl,sldl,int,,119,3,,,State Legislative District Lower 
geoschema,39,submcd,submcd,unknown,,136,5,,,Subminor Civil Division (FIPS) 
geoschema,40,sdelm,sdelm,int,,141,5,,,State-School District (Elementary) 
geoschema,41,sdsec,sdsec,int,,146,5,,,State-School District (Secondary) 
geoschema,42,sduni,sduni,int,,151,5,,,State-School District (Unified) 
geoschema,43,ur,ur,str,,156,1,,,Urban/Rural 
geoschema,44,pci,pci,str,,157,1,,,Principal City Indicator 
geoschema,47,puma5,puma5,int,,169,5,,,Public Use Microdata Area 5% File 
geoschema,49,geoid,geoid,str,,179,40,,,Geographic Identifier 
geoschema,50,name,name,str,,219,200,,,Area Name 
