table,position,source_header,dest_header,datatype,valuetype,start,width,size,summary,description
b07401,1,stusab,stusab,str,,,,,,
b07401,2,chariter,chariter,int,,,,,,
b07401,3,sequence,sequence,int,,,,,,
b07401,4,logrecno,logrecno,int,,,,,,
b07401,5,b07401001,b07401001,int,,,,,,
b07401,6,b07401001_m90,b07401001_m90,int,,,,,,
b07401,7,b07401002,b07401002,int,,,,,,
b07401,8,b07401002_m90,b07401002_m90,int,,,,,,
b07401,9,b07401003,b07401003,int,,,,,,
b07401,10,b07401003_m90,b07401003_m90,int,,,,,,
b07401,11,b07401004,b07401004,int,,,,,,
b07401,12,b07401004_m90,b07401004_m90,int,,,,,,
b07401,13,b07401005,b07401005,int,,,,,,
b07401,14,b07401005_m90,b07401005_m90,int,,,,,,
b07401,15,b07401006,b07401006,int,,,,,,
b07401,16,b07401006_m90,b07401006_m90,int,,,,,,
b07401,17,b07401007,b07401007,int,,,,,,
b07401,18,b07401007_m90,b07401007_m90,int,,,,,,
b07401,19,b07401008,b07401008,int,,,,,,
b07401,20,b07401008_m90,b07401008_m90,int,,,,,,
b07401,21,b07401009,b07401009,int,,,,,,
b07401,22,b07401009_m90,b07401009_m90,int,,,,,,
b07401,23,b07401010,b07401010,int,,,,,,
b07401,24,b07401010_m90,b07401010_m90,int,,,,,,
b07401,25,b07401011,b07401011,int,,,,,,
b07401,26,b07401011_m90,b07401011_m90,int,,,,,,
b07401,27,b07401012,b07401012,int,,,,,,
b07401,28,b07401012_m90,b07401012_m90,int,,,,,,
b07401,29,b07401013,b07401013,int,,,,,,
b07401,30,b07401013_m90,b07401013_m90,int,,,,,,
b07401,31,b07401014,b07401014,int,,,,,,
b07401,32,b07401014_m90,b07401014_m90,int,,,,,,
b07401,33,b07401015,b07401015,int,,,,,,
b07401,34,b07401015_m90,b07401015_m90,int,,,,,,
b07401,35,b07401016,b07401016,int,,,,,,
b07401,36,b07401016_m90,b07401016_m90,int,,,,,,
b07401,37,b07401017,b07401017,int,,,,,,
b07401,38,b07401017_m90,b07401017_m90,int,,,,,,
b07401,39,b07401018,b07401018,int,,,,,,
b07401,40,b07401018_m90,b07401018_m90,int,,,,,,
b07401,41,b07401019,b07401019,int,,,,,,
b07401,42,b07401019_m90,b07401019_m90,int,,,,,,
b07401,43,b07401020,b07401020,int,,,,,,
b07401,44,b07401020_m90,b07401020_m90,int,,,,,,
b07401,45,b07401021,b07401021,int,,,,,,
b07401,46,b07401021_m90,b07401021_m90,int,,,,,,
b07401,47,b07401022,b07401022,int,,,,,,
b07401,48,b07401022_m90,b07401022_m90,int,,,,,,
b07401,49,b07401023,b07401023,int,,,,,,
b07401,50,b07401023_m90,b07401023_m90,int,,,,,,
b07401,51,b07401024,b07401024,int,,,,,,
b07401,52,b07401024_m90,b07401024_m90,int,,,,,,
b07401,53,b07401025,b07401025,int,,,,,,
b07401,54,b07401025_m90,b07401025_m90,int,,,,,,
b07401,55,b07401026,b07401026,int,,,,,,
b07401,56,b07401026_m90,b07401026_m90,int,,,,,,
b07401,57,b07401027,b07401027,int,,,,,,
b07401,58,b07401027_m90,b07401027_m90,int,,,,,,
b07401,59,b07401028,b07401028,int,,,,,,
b07401,60,b07401028_m90,b07401028_m90,int,,,,,,
b07401,61,b07401029,b07401029,int,,,,,,
b07401,62,b07401029_m90,b07401029_m90,int,,,,,,
b07401,63,b07401030,b07401030,int,,,,,,
b07401,64,b07401030_m90,b07401030_m90,int,,,,,,
b07401,65,b07401031,b07401031,int,,,,,,
b07401,66,b07401031_m90,b07401031_m90,int,,,,,,
b07401,67,b07401032,b07401032,int,,,,,,
b07401,68,b07401032_m90,b07401032_m90,int,,,,,,
b07401,69,b07401033,b07401033,int,,,,,,
b07401,70,b07401033_m90,b07401033_m90,int,,,,,,
b07401,71,b07401034,b07401034,int,,,,,,
b07401,72,b07401034_m90,b07401034_m90,int,,,,,,
b07401,73,b07401035,b07401035,int,,,,,,
b07401,74,b07401035_m90,b07401035_m90,int,,,,,,
b07401,75,b07401036,b07401036,int,,,,,,
b07401,76,b07401036_m90,b07401036_m90,int,,,,,,
b07401,77,b07401037,b07401037,int,,,,,,
b07401,78,b07401037_m90,b07401037_m90,int,,,,,,
b07401,79,b07401038,b07401038,int,,,,,,
b07401,80,b07401038_m90,b07401038_m90,int,,,,,,
b07401,81,b07401039,b07401039,int,,,,,,
b07401,82,b07401039_m90,b07401039_m90,int,,,,,,
b07401,83,b07401040,b07401040,int,,,,,,
b07401,84,b07401040_m90,b07401040_m90,int,,,,,,
b07401,85,b07401041,b07401041,int,,,,,,
b07401,86,b07401041_m90,b07401041_m90,int,,,,,,
b07401,87,b07401042,b07401042,int,,,,,,
b07401,88,b07401042_m90,b07401042_m90,int,,,,,,
b07401,89,b07401043,b07401043,int,,,,,,
b07401,90,b07401043_m90,b07401043_m90,int,,,,,,
b07401,91,b07401044,b07401044,int,,,,,,
b07401,92,b07401044_m90,b07401044_m90,int,,,,,,
b07401,93,b07401045,b07401045,int,,,,,,
b07401,94,b07401045_m90,b07401045_m90,int,,,,,,
b07401,95,b07401046,b07401046,int,,,,,,
b07401,96,b07401046_m90,b07401046_m90,int,,,,,,
b07401,97,b07401047,b07401047,int,,,,,,
b07401,98,b07401047_m90,b07401047_m90,int,,,,,,
b07401,99,b07401048,b07401048,int,,,,,,
b07401,100,b07401048_m90,b07401048_m90,int,,,,,,
b07401,101,b07401049,b07401049,int,,,,,,
b07401,102,b07401049_m90,b07401049_m90,int,,,,,,
b07401,103,b07401050,b07401050,int,,,,,,
