table,position,source_header,dest_header,datatype,valuetype,start,width,size,summary,description
2009,0,seq,seq,int,,,,,,
2009,1,name,name,str,,,,,,
2009,2,description,description,str,,,,,,
2009,3,width,width,int,,,,,,
2009,4,start,start,int,,,,,,
2009,5,geolevels,geolevels,str,,,,,,
2010,0,seq,seq,int,,,,,,
2010,1,name,name,str,,,,,,
2010,2,width,width,int,,,,,,
2010,3,start,start,int,,,,,,
2010,4,description,description,str,,,,,,
2010,5,geolevels,geolevels,str,,,,,,
2011,0,seq,seq,int,,,,,,
2011,1,name,name,str,,,,,,
2011,2,width,width,int,,,,,,
2011,3,start,start,int,,,,,,
2011,4,description,description,str,,,,,,
2011,5,geolevels,geolevels,str,,,,,,
2012,0,seq,seq,int,,,,,,
2012,1,name,name,str,,,,,,
2012,2,width,width,int,,,,,,
2012,3,start,start,int,,,,,,
2012,4,description,description,str,,,,,,
2013,0,seq,seq,int,,,,,,
2013,1,name,name,str,,,,,,
2013,2,description,description,str,,,,,,
2013,3,width,width,int,,,,,,
2013,4,start,start,int,,,,,,
