sequence_id,name,dest_table_name,time,grain,segment,url
1,2007_1_column_meta,column_meta,2007,1,,s3://public.source.civicknowledge.com/censusreporter/acs2007_1yr/census_column_metadata.csv
2,2007_1_table_meta,table_meta,2007,1,,s3://public.source.civicknowledge.com/censusreporter/acs2007_1yr/census_table_metadata.csv
3,2007_3_column_meta,column_meta,2007,3,,s3://public.source.civicknowledge.com/censusreporter/acs2007_3yr/census_column_metadata.csv
4,2007_3_table_meta,table_meta,2007,3,,s3://public.source.civicknowledge.com/censusreporter/acs2007_3yr/census_table_metadata.csv
5,2008_1_column_meta,column_meta,2008,1,,s3://public.source.civicknowledge.com/censusreporter/acs2008_1yr/census_column_metadata.csv
6,2008_1_table_meta,table_meta,2008,1,,s3://public.source.civicknowledge.com/censusreporter/acs2008_1yr/census_table_metadata.csv
7,2008_3_column_meta,column_meta,2008,3,,s3://public.source.civicknowledge.com/censusreporter/acs2008_3yr/census_column_metadata.csv
8,2008_3_table_meta,table_meta,2008,3,,s3://public.source.civicknowledge.com/censusreporter/acs2008_3yr/census_table_metadata.csv
9,2009-1-shell,table_shells,2009,1,,http://www2.census.gov/acs2009_1yr/summaryfile/ACS2009TableShells.xls
10,2009-3-sequence,table_sequence,2009,3,,http://www2.census.gov/acs2009_3yr/summaryfile/Sequence_Number_and_Table_Number_Lookup.xls
11,2009-3-shell,table_shells,2009,3,,http://www2.census.gov/acs2009_3yr/summaryfile/ACS2009_3-Year_TableShells.xls
12,2009-5-sequence,table_sequence,2009,5,,http://www2.census.gov/acs2009_5yr/summaryfile/Sequence_Number_and_Table_Number_Lookup.xls
13,2009-5-shell,table_shells,2009,5,,http://www2.census.gov/acs2009_5yr/summaryfile/ACS2009_5-Year_TableShells.xls
14,2009-gs,geofile_schema,2009,,2009,gs://1lKkKVBu0sHSwyuyuGRPMfmNqG8FIjVw2RYMLYgr2GX4
15,2009_1_column_meta,column_meta,2009,1,,s3://public.source.civicknowledge.com/censusreporter/acs2009_1yr/census_column_metadata.csv
16,2009_1_table_meta,table_meta,2009,1,,s3://public.source.civicknowledge.com/censusreporter/acs2009_1yr/census_table_metadata.csv
17,2009_3_column_meta,column_meta,2009,3,,s3://public.source.civicknowledge.com/censusreporter/acs2009_3yr/census_column_metadata.csv
18,2009_3_table_meta,table_meta,2009,3,,s3://public.source.civicknowledge.com/censusreporter/acs2009_3yr/census_table_metadata.csv
19,2010-1-sequence,table_sequence,2010,1,,http://www2.census.gov/acs2010_1yr/summaryfile/Sequence_Number_and_Table_Number_Lookup.xls
20,2010-1-shell,table_shells,2010,1,,http://www2.census.gov/acs2010_1yr/summaryfile/ACS2010_1-Year_TableShells.xls
21,2010-3-sequence,table_sequence,2010,3,,http://www2.census.gov/acs2010_3yr/summaryfile/Sequence_Number_and_Table_Number_Lookup.xls
22,2010-3-shell,table_shells,2010,3,,http://www2.census.gov/acs2010_3yr/summaryfile/ACS2010_3-Year_TableShells.xls
23,2010-5-sequence,table_sequence,2010,5,,http://www2.census.gov/acs2010_5yr/summaryfile/Sequence_Number_and_Table_Number_Lookup.xls
24,2010-5-shell,table_shells,2010,5,,http://www2.census.gov/acs2010_5yr/summaryfile/ACS2010_5-Year_TableShells.xls
25,2010-gs,geofile_schema,2010,,2010,gs://1lKkKVBu0sHSwyuyuGRPMfmNqG8FIjVw2RYMLYgr2GX4
26,2010_1_column_meta,column_meta,2010,1,,s3://public.source.civicknowledge.com/censusreporter/acs2010_1yr/census_column_metadata.csv
27,2010_1_table_meta,table_meta,2010,1,,s3://public.source.civicknowledge.com/censusreporter/acs2010_1yr/census_table_metadata.csv
28,2010_3_column_meta,column_meta,2010,3,,s3://public.source.civicknowledge.com/censusreporter/acs2010_3yr/census_column_metadata.csv
29,2010_3_table_meta,table_meta,2010,3,,s3://public.source.civicknowledge.com/censusreporter/acs2010_3yr/census_table_metadata.csv
30,2010_5_column_meta,column_meta,2010,5,,s3://public.source.civicknowledge.com/censusreporter/acs2010_5yr/census_column_metadata.csv
31,2010_5_table_meta,table_meta,2010,5,,s3://public.source.civicknowledge.com/censusreporter/acs2010_5yr/census_table_metadata.csv
32,2011-1-sequence,table_sequence,2011,1,,http://www2.census.gov/acs2011_1yr/summaryfile/Sequence_Number_and_Table_Number_Lookup.xls
33,2011-1-shell,table_shells,2011,1,,http://www2.census.gov/acs2011_1yr/summaryfile/ACS2011_1-Year_TableShells.xls
34,2011-3-sequence,table_sequence,2011,3,,http://www2.census.gov/acs2011_3yr/summaryfile/Sequence_Number_and_Table_Number_Lookup.xls
35,2011-3-shell,table_shells,2011,3,,http://www2.census.gov/acs2011_3yr/summaryfile/ACS2011_3-Year_TableShells.xls
