table,id,sequence_id,t_vid,column,datatype,description
geoschema,chWL41AmAO01000,0,thWL41AmAO01001,id,integer,
geoschema,chWL41AmAO01001,1,thWL41AmAO01001,fileid,varchar,Always equal to ACS Summary File identification 
geoschema,chWL41AmAO01002,2,thWL41AmAO01001,stusab,varchar,State Postal Abbreviation 
geoschema,chWL41AmAO01003,3,thWL41AmAO01001,sumlevel,varchar,Summary Level 
geoschema,chWL41AmAO01004,4,thWL41AmAO01001,component,varchar,Geographic Component 
geoschema,chWL41AmAO01005,5,thWL41AmAO01001,logrecno,varchar,Logical Record Number 
geoschema,chWL41AmAO01006,6,thWL41AmAO01001,us,varchar,US  
geoschema,chWL41AmAO01007,7,thWL41AmAO01001,region,varchar,Census Region 
geoschema,chWL41AmAO01008,8,thWL41AmAO01001,division,varchar,Census Division 
geoschema,chWL41AmAO01009,9,thWL41AmAO01001,statece,varchar,State (Census Code) 
geoschema,chWL41AmAO0100a,10,thWL41AmAO01001,state,varchar,State (FIPS Code) 
geoschema,chWL41AmAO0100b,11,thWL41AmAO01001,county,varchar,County of current residence 
geoschema,chWL41AmAO0100c,12,thWL41AmAO01001,cousub,varchar,County Subdivision (FIPS) 
geoschema,chWL41AmAO0100d,13,thWL41AmAO01001,place,varchar,Place (FIPS Code) 
geoschema,chWL41AmAO0100e,14,thWL41AmAO01001,tract,varchar,Census Tract 
geoschema,chWL41AmAO0100f,15,thWL41AmAO01001,blkgrp,varchar,Block Group 
geoschema,chWL41AmAO0100g,16,thWL41AmAO01001,concit,varchar,Consolidated City 
geoschema,chWL41AmAO0100h,17,thWL41AmAO01001,aianhh,varchar,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geoschema,chWL41AmAO0100i,18,thWL41AmAO01001,aianhhfp,varchar,American Indian Area/Alaska Native Area/ Hawaiian Home Land (FIPS) 
geoschema,chWL41AmAO0100j,19,thWL41AmAO01001,aihhtli,varchar,American Indian Trust Land/ Hawaiian Home Land Indicator 
geoschema,chWL41AmAO0100k,20,thWL41AmAO01001,aitsce,varchar,American Indian Tribal Subdivision (Census)  
geoschema,chWL41AmAO0100l,21,thWL41AmAO01001,aits,varchar,American Indian Tribal Subdivision (FIPS) 
geoschema,chWL41AmAO0100m,22,thWL41AmAO01001,anrc,varchar,Alaska Native Regional Corporation (FIPS) 
geoschema,chWL41AmAO0100n,23,thWL41AmAO01001,cbsa,varchar,Metropolitan and Micropolitan Statistical Area 
geoschema,chWL41AmAO0100o,24,thWL41AmAO01001,csa,varchar,Combined Statistical Area 
geoschema,chWL41AmAO0100p,25,thWL41AmAO01001,metdiv,varchar,Metropolitan Statistical Area- Metropolitan Division 
geoschema,chWL41AmAO0100q,26,thWL41AmAO01001,macc,varchar,Metropolitan Area Central City 
geoschema,chWL41AmAO0100r,27,thWL41AmAO01001,memi,varchar,Metropolitan/Micropolitan Indicator Flag  
geoschema,chWL41AmAO0100s,28,thWL41AmAO01001,necta,varchar,New England City and Town Area 
geoschema,chWL41AmAO0100t,29,thWL41AmAO01001,cnecta,varchar,New England City and Town Combined Statistical Area 
geoschema,chWL41AmAO0100u,30,thWL41AmAO01001,nectadiv,varchar,New England City and Town Area Division 
geoschema,chWL41AmAO0100v,31,thWL41AmAO01001,ua,varchar,Urban Area 
geoschema,chWL41AmAO0100w,32,thWL41AmAO01001,cdcurr,varchar,Current Congressional District *** 
geoschema,chWL41AmAO0100x,33,thWL41AmAO01001,sldu,varchar,State Legislative District Upper 
geoschema,chWL41AmAO0100y,34,thWL41AmAO01001,sldl,varchar,State Legislative District Lower 
geoschema,chWL41AmAO0100z,35,thWL41AmAO01001,submcd,varchar,Subminor Civil Division (FIPS) 
geoschema,chWL41AmAO0100A,36,thWL41AmAO01001,sdelm,varchar,State-School District (Elementary) 
geoschema,chWL41AmAO0100B,37,thWL41AmAO01001,sdsec,varchar,State-School District (Secondary) 
geoschema,chWL41AmAO0100C,38,thWL41AmAO01001,sduni,varchar,State-School District (Unified) 
geoschema,chWL41AmAO0100D,39,thWL41AmAO01001,ur,varchar,Urban/Rural 
geoschema,chWL41AmAO0100E,40,thWL41AmAO01001,pci,varchar,Principal City Indicator 
geoschema,chWL41AmAO0100F,41,thWL41AmAO01001,puma5,varchar,Public Use Microdata Area 5% File 
geoschema,chWL41AmAO0100G,42,thWL41AmAO01001,geoid,varchar,Geographic Identifier 
geoschema,chWL41AmAO0100H,43,thWL41AmAO01001,name,varchar,Area Name 
,,,,,,
