table,position,source_header,dest_header,datatype,valuetype,start,width,size,summary,description
counties,0,id,id,int,,,,,,
counties,1,fileid,fileid,str,,,,,,
counties,2,stusab,stusab,str,,,,,,
counties,3,sumlevel,sumlevel,int,,,,,,
counties,4,component,component,int,,,,,,
counties,5,logrecno,logrecno,int,,,,,,
counties,6,state,state,int,,,,,,
counties,7,county,county,int,,,,,,
counties,8,geoid,geoid,str,,,,,,
counties,9,name,name,str,,,,,,
states,0,id,id,int,,,,,,
states,1,fileid,fileid,str,,,,,,
states,2,stusab,stusab,str,,,,,,
states,3,sumlevel,sumlevel,int,,,,,,
states,4,component,component,str,,,,,,
states,5,logrecno,logrecno,int,,,,,,
states,6,state,state,int,,,,,,
states,7,memi,memi,int,,,,,,
states,8,ur,ur,str,,,,,,
states,9,pci,pci,str,,,,,,
states,10,geoid,geoid,str,,,,,,
states,11,name,name,str,,,,,,
