table,position,source_header,dest_header,datatype,valuetype,has_codes,start,width,size,summary,description
ind_descr,1,id,id,int,,False,,,,,ID
ind_descr,2,datatype,datatype,str,,False,,,,,Datatype
ind_descr,3,datatype_3,datatype_3,str,,False,,,,,DataType
ind_descr,4,shortdescription,shortdescription,str,,False,,,,,ShortDescription
ind_descr,5,fulldescription,fulldescription,str,,False,,,,,FullDescription
ind_descr,6,geographiclevels,geographiclevels,str,,False,,,,,GeographicLevels
ind_descr,7,unlabeledshortdescription,unlabeledshortdescription,str,,False,,,,,UnlabeledShortDescription
ind_descr,8,availabledimensions,availabledimensions,str,,False,,,,,AvailableDimensions
ind_descr,9,modifydate,modifydate,unknown,,False,,,,,ModifyDate
ind_descr,10,valuelabelid,valuelabelid,int,,False,,,,,ValueLabelID
ind_descr,11,numeratordescription,numeratordescription,str,,False,,,,,NumeratorDescription
ind_descr,12,denominatordescription,denominatordescription,str,,False,,,,,DenominatorDescription
ind_descr,13,caveatsandlimitations,caveatsandlimitations,str,,False,,,,,CaveatsAndLimitations
ind_descr,14,maxdecimal,maxdecimal,int,,False,,,,,MaxDecimal
ind_descr,15,trendissues,trendissues,str,,False,,,,,TrendIssues
ind_descr,16,modificationdate,modificationdate,unknown,,False,,,,,ModificationDate
ind_descr,17,otherdatasource,otherdatasource,unknown,,False,,,,,OtherDataSource
ind_descr,18,minimumcachevalue,minimumcachevalue,float,,False,,,,,MinimumCacheValue
ind_descr,19,maximumcachevalue,maximumcachevalue,float,,False,,,,,MaximumCacheValue
ind_descr,20,isdevelopmental,isdevelopmental,str,,False,,,,,isDevelopmental
ind_descr,21,showme,showme,str,,False,,,,,ShowMe
timeframes,1,id,id,int,,False,,,,,ID
timeframes,2,name,name,str,,False,,,,,Name
timeframes,3,firstyear,firstyear,int,,False,,,,,FirstYear
timeframes,4,twodigitfirstyear,twodigitfirstyear,int,,False,,,,,TwoDigitFirstYear
timeframes,5,lastyear,lastyear,int,,False,,,,,LastYear
timeframes,6,twodigitlastyear,twodigitlastyear,int,,False,,,,,TwoDigitLastYear
timeframes,7,sortorder,sortorder,int,,False,,,,,SortOrder
locales,1,id,id,int,,False,,,,,ID
locales,2,abbreviation,abbreviation,str,,False,,,,,Abbreviation
locales,3,localelevelid,localelevelid,int,,False,,,,,LocaleLevelID
locales,4,parentlocaleid,parentlocaleid,int,,False,,,,,ParentLocaleID
locales,5,statefipscode,statefipscode,int,,False,,,,,StateFIPSCode
locales,6,countyfipscode,countyfipscode,int,,False,,,,,CountyFIPSCode
locales,7,countyssacode,countyssacode,int,,False,,,,,CountySSACode
locales,8,hrrcode,hrrcode,int,,False,,,,,HRRCode
locales,9,fips_int,fips_int,int,,False,,,,,FIPS_int
locales,10,sortorder,sortorder,int,,False,,,,,SortOrder
locales,11,name,name,str,,False,,,,,Name
locales,12,fullname,fullname,str,,False,,,,,FullName
indicator,1,id,id,int,,False,,,,,ID
indicator,2,indicatordescriptionid,indicatordescriptionid,int,,False,,,,,IndicatorDescriptionID
indicator,3,timeframeid,timeframeid,int,,False,,,,,TimeframeID
indicator,4,localeid,localeid,int,,False,,,,,LocaleID
indicator,5,modifiergraphid,modifiergraphid,int,,False,,,,,ModifierGraphID
indicator,6,dimensiongraphid,dimensiongraphid,int,,False,,,,,DimensionGraphID
indicator,7,dimensiongraphsortorder,dimensiongraphsortorder,int,,False,,,,,DimensionGraphSortOrder
indicator,8,modifiergraphsortorder,modifiergraphsortorder,int,,False,,,,,ModifierGraphSortOrder
indicator,9,dimensiongraphlabel,dimensiongraphlabel,str,,False,,,,,DimensionGraphLabel
indicator,10,dimensiongraphheader,dimensiongraphheader,str,,False,,,,,DimensionGraphHeader
indicator,11,textualvalue,textualvalue,str,,False,,,,,TextualValue
indicator,12,floatvalue,floatvalue,float,,False,,,,,FloatValue
indicator,13,formattedvalue,formattedvalue,str,,False,,,,,FormattedValue
indicator,14,graphvalue,graphvalue,str,,False,,,,,GraphValue
indicator,15,numerator,numerator,int,,False,,,,,Numerator
indicator,16,denominator,denominator,int,,False,,,,,Denominator
indicator,17,confidenceintervallow,confidenceintervallow,float,,False,,,,,ConfidenceIntervalLow
indicator,18,confidenceintervallowformatted,confidenceintervallowformatted,str,,False,,,,,ConfidenceIntervalLowFormatted
indicator,19,graphcilowvalue,graphcilowvalue,float,,False,,,,,GraphCILowValue
indicator,20,confidenceintervalhigh,confidenceintervalhigh,float,,False,,,,,ConfidenceIntervalHigh
indicator,21,confidenceintervalhighformatted,confidenceintervalhighformatted,str,,False,,,,,ConfidenceIntervalHighFormatted
indicator,22,graphcihighvalue,graphcihighvalue,float,,False,,,,,GraphCIHighValue
indicator,23,standarderror,standarderror,float,,False,,,,,StandardError
indicator,24,standarderrorformatted,standarderrorformatted,float,,False,,,,,StandardErrorFormatted
indicator,25,standarderrorgraphvalue,standarderrorgraphvalue,float,,False,,,,,StandardErrorGraphValue
indicator,26,integraltarget,integraltarget,unknown,,False,,,,,IntegralTarget
indicator,27,floattarget,floattarget,unknown,,False,,,,,FloatTarget
indicator,28,formattedtarget,formattedtarget,unknown,,False,,,,,FormattedTarget
indicator,29,fipscode,fipscode,int,,False,,,,,FIPSCode
indicator,30,ssacode,ssacode,int,,False,,,,,SSACode
indicator,31,hrrcode,hrrcode,int,,False,,,,,HRRCode
