name,title,source_table_name,dest_table_name,stage,start_line,end_line,header_lines,description,reftype,ref,state
api,API Root Url,,,0,,,,,ref,http://services.healthindicators.gov/v5/REST.svc/,synced
indicator_50115,,indicator,indicator,2,,,,Aspirin use for secondary prevention (percent),generator,GenerateIndicator;50115,synced
ind_descr,IndicatorDescriptions,,,1,1,1292,0,,generator,GenerateDescriptions,built
indicator_1000,,indicator,indicator,2,,,,Hepatitis A vaccination: children 19-35 months,generator,GenerateIndicator;1000,synced
indicator_10000,,indicator,indicator,2,,,,Population estimates (number),generator,GenerateIndicator;10000,synced
indicator_10001,,indicator,indicator,2,,,,Population density (per square mile),generator,GenerateIndicator;10001,synced
indicator_10002,,indicator,indicator,2,,,,Population distributions (percent),generator,GenerateIndicator;10002,synced
indicator_10003,,indicator,indicator,2,,,,Median Household Income (dollars),generator,GenerateIndicator;10003,synced
indicator_10004,,indicator,indicator,2,,,,Estimated Poverty (percent) (Source: SAIPE),generator,GenerateIndicator;10004,synced
indicator_10005,,indicator,indicator,2,,,,Free school lunch eligibility (percent),generator,GenerateIndicator;10005,synced
indicator_10008,,indicator,indicator,2,,,,"Preterm births, 32-36 weeks of gestation (percent)",generator,GenerateIndicator;10008,synced
indicator_1001,,indicator,indicator,2,,,,"HepB vaccination, birth dose",generator,GenerateIndicator;1001,waiting
indicator_10014,,indicator,indicator,2,,,,Medicaid beneficiaries (number in thousands),generator,GenerateIndicator;10014,synced
indicator_10015,,indicator,indicator,2,1,525,0,Medicaid managed care beneficiaries (percent),generator,GenerateIndicator;10015,synced
indicator_10016,,indicator,indicator,2,,,,"Drug poisoning deaths (per 100,000)",generator,GenerateIndicator;10016,synced
indicator_10017,,indicator,indicator,2,,,,Medicaid payments per beneficiary (dollars),generator,GenerateIndicator;10017,synced
indicator_10018,,indicator,indicator,2,,,,"HIV prevalence (per 100,000)",generator,GenerateIndicator;10018,synced
indicator_10019,,indicator,indicator,2,,,,Physician use delayed due to cost (percent) (Source: BRFSS),generator,GenerateIndicator;10019,synced
indicator_1002,,indicator,indicator,2,,,,Rotavirus vaccination: children 19-35 months,generator,GenerateIndicator;1002,synced
indicator_10020,,indicator,indicator,2,,,,Medicare managed care beneficiaries (percent),generator,GenerateIndicator;10020,synced
indicator_10026,,indicator,indicator,2,,,,Salmonellosis (number),generator,GenerateIndicator;10026,synced
indicator_10027,,indicator,indicator,2,,,,Shigellosis (number),generator,GenerateIndicator;10027,synced
indicator_10028,,indicator,indicator,2,,,,Spotted Fever Rickettsiosis (number),generator,GenerateIndicator;10028,synced
indicator_1003,,indicator,indicator,2,,,,DTaP vaccination: kindergarteners,generator,GenerateIndicator;1003,synced
indicator_10033,,indicator,indicator,2,,,,Ambulatory Surgical Centers (number),generator,GenerateIndicator;10033,synced
indicator_10034,,indicator,indicator,2,,,,Children’s Hospitals (number),generator,GenerateIndicator;10034,synced
indicator_10035,,indicator,indicator,2,,,,Clinical Laboratory Improvement Act (CLIA) Providers (number),generator,GenerateIndicator;10035,synced
indicator_10036,,indicator,indicator,2,,,,Community Mental Health Centers (number),generator,GenerateIndicator;10036,synced
indicator_10037,,indicator,indicator,2,,,,Comprehensive Outpatient Rehabilitation Facilities (number),generator,GenerateIndicator;10037,synced
indicator_10038,,indicator,indicator,2,,,,Critical Access Hospitals (number),generator,GenerateIndicator;10038,synced
indicator_10039,,indicator,indicator,2,,,,End Stage Renal Disease Facilities (number),generator,GenerateIndicator;10039,synced
indicator_1004,,indicator,indicator,2,,,,MMR vaccination: kindergarteners,generator,GenerateIndicator;1004,synced
indicator_10040,,indicator,indicator,2,,,,Federally Qualified Health Centers (number),generator,GenerateIndicator;10040,synced
indicator_10041,,indicator,indicator,2,,,,Home Health Agencies (number),generator,GenerateIndicator;10041,synced
indicator_10042,,indicator,indicator,2,,,,Hospice Facilities (number),generator,GenerateIndicator;10042,synced
indicator_10043,,indicator,indicator,2,,,,Long-Term Care Hospitals (number),generator,GenerateIndicator;10043,synced
indicator_10044,,indicator,indicator,2,,,,Organ Procurement Organizations (number),generator,GenerateIndicator;10044,synced
indicator_10045,,indicator,indicator,2,,,,Outpatient physical therapy/speech pathology facilities (number),generator,GenerateIndicator;10045,synced
indicator_10046,,indicator,indicator,2,,,,Portable X-Ray providers (number),generator,GenerateIndicator;10046,synced
indicator_10047,,indicator,indicator,2,,,,Psychiatric  hospitals (number),generator,GenerateIndicator;10047,synced
indicator_10048,,indicator,indicator,2,,,,Rehabilitation Hospitals (number),generator,GenerateIndicator;10048,synced
indicator_10049,,indicator,indicator,2,,,,Religious Nonmedical Health Care Institutions (number),generator,GenerateIndicator;10049,synced
indicator_1005,,indicator,indicator,2,,,,Polio vaccination: kindergarteners,generator,GenerateIndicator;1005,synced
indicator_10050,,indicator,indicator,2,,,,Rural Health Clinics (number),generator,GenerateIndicator;10050,synced
indicator_10051,,indicator,indicator,2,,,,Short stay  hospitals (number),generator,GenerateIndicator;10051,synced
indicator_10052,,indicator,indicator,2,,,,Skilled Nursing Home Title 18 Facilities (number),generator,GenerateIndicator;10052,synced
indicator_10053,,indicator,indicator,2,,,,Nursing home (Title 18/19) facilities (number),generator,GenerateIndicator;10053,synced
indicator_1006,,indicator,indicator,2,,,,Hepatitis B vaccination: kindergarteners,generator,GenerateIndicator;1006,synced
indicator_10062,,indicator,indicator,2,,,,"Gonorrhea rate (per 100,000)",generator,GenerateIndicator;10062,synced
indicator_10065,,indicator,indicator,2,,,,Sweetened beverages not offered: schools,generator,GenerateIndicator;10065,synced
indicator_10066,,indicator,indicator,2,,,,Fruit/vegetable availability required: school districts,generator,GenerateIndicator;10066,synced
