"name","title","time","dest_table","description","filetype","url"
"animals",,2015,,,"tsv","ftp://ftp.nass.usda.gov/quickstats/qs.animals_products_20151222.txt.gz"
"census02",,2002,,,"tsv","ftp://ftp.nass.usda.gov/quickstats/qs.census2002.txt.gz"
"census07",,2007,,,"tsv","ftp://ftp.nass.usda.gov/quickstats/qs.census2007.txt.gz"
"census07zip",,2007,,,"tsv","ftp://ftp.nass.usda.gov/quickstats/qs.census2007zipcode.txt.gz"
"census12",,2012,,,"tsv","ftp://ftp.nass.usda.gov/quickstats/qs.census2012.txt.gz"
"crops15",,2015,,,"tsv","ftp://ftp.nass.usda.gov/quickstats/qs.crops_20151222.txt.gz"
"demo15",,2015,,,"tsv","ftp://ftp.nass.usda.gov/quickstats/qs.demographics_20151222.txt.gz"
"econ15",,2015,,,"tsv","ftp://ftp.nass.usda.gov/quickstats/qs.economics_20151222.txt.gz"
"enviro15",,2015,,,"tsv","ftp://ftp.nass.usda.gov/quickstats/qs.environmental_20151222.txt.gz"
"sample",,2015,,,"tsv","ftp://ftp.nass.usda.gov/quickstats/qs.sample.txt"
