table,datatype,column
,,
gps,int,id
gps,int,inthvsid
gps,int,intvid
gps,str,strvname
gps,int,strvalias
gps,str,strgroupname
gps,datetime,dttime
gps,datetime,dttimefix
gps,float,dbllat
gps,float,dbllon
gps,float,dblalt
gps,float,dblspeed
gps,int,dblheading
gps,str,strheading
gps,str,strlocation
gps,str,strlmgflocation
gps,int,intlocationtype
gps,str,strdescription
gps,int,strvstatus
gps,int,tintgpsstatus
gps,int,tintdop
gps,int,tintfixstatus
gps,int,tintunitstatus
,,
top_blocks,int,id
top_blocks,int,rank
top_blocks,str,block
top_blocks,int,tickets
,,
tickets,int,id
tickets,int,issueno
tickets,date,issuedate
tickets,time,issuetime
tickets,str,locationdesc1
tickets,str,city
tickets,str,sector1
tickets,str,licplate
tickets,str,location
tickets,str,licstateprov
tickets,str,viocode
tickets,int,streetno_real
tickets,str,viodescription
tickets,str,street
tickets,int,streetnox
tickets,str,access_add
tickets,str,st
,,
gps_schema,int,id
gps_schema,str,column_id
gps_schema,str,sample
gps_schema,str,description
