table,position,source_header,dest_header,datatype,valuetype,start,width,size,summary,description
2015-0650_ss_cy_2014_2015.csv,0,issueno,issueno,int,,,,,,
2015-0650_ss_cy_2014_2015.csv,1,issuedate,issuedate,date,,,,,,
2015-0650_ss_cy_2014_2015.csv,2,issuetime,issuetime,time,,,,,,
2015-0650_ss_cy_2014_2015.csv,3,locationdesc1,locationdesc1,str,,,,,,
2015-0650_ss_cy_2014_2015.csv,4,sector1,sector1,str,,,,,,
2015-0650_ss_cy_2014_2015.csv,5,licplate,licplate,str,,,,,,
2015-0650_ss_cy_2014_2015.csv,6,licstateprov,licstateprov,str,,,,,,
2015-0650_ss_cy_2014_2015.csv,7,viocode,viocode,str,,,,,,
2015-0650_ss_cy_2014_2015.csv,8,viodescription,viodescription,str,,,,,,
gps,0,inthvsid,inthvsid,int,,,,,,
gps,1,intvid,intvid,int,,,,,,
gps,2,strvname,strvname,int,,,,,,
gps,3,strvalias,strvalias,int,,,,,,
gps,4,strgroupname,strgroupname,str,,,,,,
gps,5,dttime,dttime,datetime,,,,,,
gps,6,dttimefix,dttimefix,datetime,,,,,,
gps,7,dbllat,dbllat,float,,,,,,
gps,8,dbllon,dbllon,float,,,,,,
gps,9,dblalt,dblalt,float,,,,,,
gps,10,dblspeed,dblspeed,float,,,,,,
gps,11,dblheading,dblheading,int,,,,,,
gps,12,strheading,strheading,str,,,,,,
gps,13,strlocation,strlocation,str,,,,,,
gps,14,strlmgflocation,strlmgflocation,str,,,,,,
gps,15,intlocationtype,intlocationtype,int,,,,,,
gps,16,strdescription,strdescription,str,,,,,,
gps,17,strvstatus,strvstatus,int,,,,,,
gps,18,tintgpsstatus,tintgpsstatus,int,,,,,,
gps,19,tintdop,tintdop,int,,,,,,
gps,20,tintfixstatus,tintfixstatus,int,,,,,,
gps,21,tintunitstatus,tintunitstatus,int,,,,,,
tickets,0,issueno,issueno,int,,,,,,
tickets,1,issuedate,issuedate,date,,,,,,
tickets,2,issuetime,issuetime,time,,,,,,
tickets,3,locationdesc1,locationdesc1,str,,,,,,
tickets,4,city,city,str,,,,,,
tickets,5,location,location,str,,,,,,
tickets,6,sector1,sector1,str,,,,,,
tickets,7,licplate,licplate,str,,,,,,
tickets,8,streetno_real,licstateprov,int,,,,,,
tickets,9,street,viocode,str,,,,,,
tickets,10,streetnox,viodescription,int,,,,,,
tickets,11,access_add,access_add,str,,,,,,
tickets,13,st,st,str,,,,,,
STREETSWEEPINGTICKETS.csv,0,issueno,issueno,int,,,,,,
STREETSWEEPINGTICKETS.csv,1,issuedate,issuedate,date,,,,,,
STREETSWEEPINGTICKETS.csv,2,issuetime,issuetime,time,,,,,,
STREETSWEEPINGTICKETS.csv,3,locationdesc1,locationdesc1,str,,,,,,
STREETSWEEPINGTICKETS.csv,4,city,city,str,,,,,,
STREETSWEEPINGTICKETS.csv,5,location,location,str,,,,,,
STREETSWEEPINGTICKETS.csv,6,sector1,sector1,str,,,,,,
STREETSWEEPINGTICKETS.csv,7,licplate,licplate,str,,,,,,
STREETSWEEPINGTICKETS.csv,8,licstateprov,licstateprov,str,,,,,,
STREETSWEEPINGTICKETS.csv,9,viocode,viocode,str,,,,,,
STREETSWEEPINGTICKETS.csv,10,viodescription,viodescription,str,,,,,,
top_blocks,0,rank,rank,int,,,,,,
top_blocks,1,block,block,str,,,,,,
top_blocks,2,tickets,tickets,int,,,,,,
tickets2,0,issueno,issueno,int,,,,,,
tickets2,1,issuedate,issuedate,date,,,,,,
tickets2,2,issuetime,issuetime,time,,,,,,
tickets2,3,locationdesc1,locationdesc1,str,,,,,,
tickets2,4,sector1,sector1,str,,,,,,
tickets2,5,licplate,licplate,str,,,,,,
tickets2,6,licstateprov,licstateprov,str,,,,,,
tickets2,7,viocode,viocode,str,,,,,,
tickets2,8,viodescription,viodescription,str,,,,,,
sweep.csv,0,issueno,issueno,int,,,,,,
sweep.csv,1,issuedate,issuedate,date,,,,,,
sweep.csv,2,issuetime,issuetime,time,,,,,,
sweep.csv,3,locationdesc1,locationdesc1,str,,,,,,
sweep.csv,4,sector1,sector1,str,,,,,,
sweep.csv,5,licplate,licplate,str,,,,,,
sweep.csv,6,licstateprov,licstateprov,str,,,,,,
sweep.csv,7,viocode,viocode,str,,,,,,
sweep.csv,8,streetno_real,streetno_real,int,,,,,,
sweep.csv,9,street,street,str,,,,,,
sweep.csv,10,streetnox,streetnox,int,,,,,,
sweep.csv,11,access_add,access_add,str,,,,,,
sweep.csv,12,city,city,str,,,,,,
sweep.csv,13,st,st,str,,,,,,
gps_schema,0,column_id,column_id,str,,,,,,
gps_schema,1,sample,sample,float,,,,,,
gps_schema,2,description,description,str,,,,,,
