name,source_table_name,dest_table_name,start_line,end_line,header_lines,url
2015-0650_ss_cy_2014_2015.csv,,tickets,14,147296,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/2015-0650_ss_cy_2014_2015.csv
717004.csv,gps,,19,192558,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/717004.csv
717005.csv,gps,,65,651207,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/717005.csv
717006.csv,gps,,81,812646,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/717006.csv
717007.csv,gps,,67,673918,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/717007.csv
717008.csv,gps,,7,72771,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/717008.csv
718048.csv,gps,,13,139763,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718048.csv
718057.csv,gps,,70,706455,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718057.csv
718059.csv,gps,,42,422673,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718059.csv
718060.csv,gps,,104,1049097,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718060.csv
718061.csv,gps,,74,746957,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718061.csv
718062.csv,gps,,34,347908,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718062.csv
718063.csv,gps,,1,12033,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718063.csv
718063_OLD.csv,gps,,39,398994,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718063_OLD.csv
718064.csv,gps,,88,884693,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718064.csv
718065.csv,gps,,79,790771,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718065.csv
718066.csv,gps,,91,912144,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718066.csv
718067.csv,gps,,93,932662,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718067.csv
718068.csv,gps,,45,457840,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718068.csv
718069.csv,gps,,1,402239,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718069.csv
718070.csv,gps,,1,10899,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718070.csv
718071.csv,gps,,3,30575,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718071.csv
718072.csv,gps,,1,18127,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718072.csv
718073.csv,gps,,5,56083,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718073.csv
718074.csv,gps,,20,204122,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718074.csv
718075.csv,gps,,17,171263,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718075.csv
718076.csv,gps,,17,179722,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718076.csv
718077.csv,gps,,17,179600,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/718077.csv
719005.csv,gps,,17,177778,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/719005.csv
GPS_ColumnHeader_Description.xlsx,gps_schema,,1,23,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/GPS_ColumnHeader_Description.xlsx
STREETSWEEPINGTICKETS.csv,,tickets,14,147296,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/STREETSWEEPINGTICKETS.csv
sweep.csv,,tickets,14,147203,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/sweep.csv
top_blocks.xlsx,top_blocks,,1,2902,0,http://public.source.civicknowledge.com.s3.amazonaws.com/nbcuni.com/street_sweep/top_blocks.xlsx
