"date","number","street","tickets"
2014-01-02,1800,1840,1
2014-01-02,1000," ",1
2014-01-02,1500,"2Nd Ave",1
2014-01-02,1700,"2Nd Ave",1
2014-01-02,1400,"3Rd Ave",1
2014-01-02,1700,"3Rd Ave",1
2014-01-02,43684000,"40Th St",1
2014-01-02,1400,"4Th Ave",1
2014-01-02,1500,"4Th Ave",1
2014-01-02,1700,"5Th Ave",1
2014-01-02,1600,"6Th Ave",1
2014-01-02,1700,"6Th Ave",1
2014-01-02,100,"Beech St",1
2014-01-02,200,"Beech St",1
2014-01-02,400,"Beech St",1
2014-01-02,500,"Beech St",1
2014-01-02,3900,"Boundary St",1
2014-01-02,1900,"Broadway Mtr 1910 ",1
2014-01-02,200,"Cedar St",1
2014-01-02,2000,"Columbia St",1
2014-01-02,2100,"Columbia St",1
2014-01-02,200,"Date St",1
2014-01-02,300,"Date St",1
2014-01-02,400,"Date St",1
2014-01-02,100,"Elm St",1
2014-01-02,400,"Elm St",1
2014-01-02,500,"Elm St",1
2014-01-02,400,"Fir St",1
2014-01-02,600,"Fir St",1
2014-01-02,1500,"Front St",1
2014-01-02,500,"Grape St",1
2014-01-02,600,"Hawthorn St",1
2014-01-02,700,"Hawthorn St",1
2014-01-02,1500,"India St",1
2014-01-02,2000,"India St",1
2014-01-02,2100,"India St",1
2014-01-02,700,"Ivy St",1
2014-01-02,7900,"Lowry Ter",1
2014-01-02,9000,"Opal St",1
2014-01-02,1200,"Parker Pl",1
2014-01-02,8000,"Paseo Del Ocaso ",1
2014-01-02,8100,"Paseo Del Ocaso ",1
2014-01-02,8300,"Paseo Del Ocaso ",1
2014-01-02,2000,"Paseo Dorado ",1
2014-01-02,1400,"Roosevelt Ave",1
2014-01-02,1400,"State St",1
2014-01-02,1500,"State St",1
2014-01-02,1600,"State St",1
2014-01-02,1700,"State St",1
2014-01-02,1800,"State St",1
2014-01-02,1900,"State St",1
2014-01-02,2300,"State St",1
2014-01-02,1500,"Union St",1
2014-01-02,1600,"Union St",1
2014-01-03,300,"11Th Ave",1
2014-01-03,1300,"8Th Ave",1
2014-01-03,1500,"Bacon St",1
2014-01-03,1000,"G St",1
2014-01-03,100,"J St",1
2014-01-03,500,"J St",1
2014-01-03,600,"J St",1
2014-01-03,900,"Kettner Blvd",1
2014-01-03,1000,"Kettner Blvd",1
2014-01-03,4600,"Ocean Blvd",1
2014-01-03,700,"Pacific Beach Dr",1
2014-01-03,5600,"Voltaire St",1
2014-01-06,3300,2912,1
2014-01-06,900,"15Th St",1
2014-01-06,-1,"17Th St",1
2014-01-06,3500,"35Th St",1
2014-01-06,1000,"Columbia St",1
2014-01-06,1200,"Columbia St",1
2014-01-06,1100,"India St",1
2014-01-06,600,"Island Ave",1
2014-01-06,800,"Island Ave",1
2014-01-06,1500,"Island Ave",1
2014-01-06,600,"Kettner Blvd",1
2014-01-06,600,"Union St",1
2014-01-06,1300,"Union St",1
2014-01-07,5400,"55Th St",1
2014-01-07,800,"Beech St",1
2014-01-07,500,"E St",1
2014-01-07,5500,"Hardy Ave",1
2014-01-07,1000,"India St",1
2014-01-07,600,"Island Ave",1
2014-01-07,5500,"Lindo Paseo ",1
2014-01-07,5600,"Lindo Paseo ",1
2014-01-07,5800,"Lindo Paseo ",1
2014-01-07,5100,"Montezuma Pl",1
2014-01-07,5500,"Montezuma Rd",1
2014-01-07,5600,"Montezuma Rd",1
2014-01-07,5700,"Montezuma Rd",1
