"table","sequence_id","column","datatype","size","description"
,,,,,
"facility_cross",1,"id","int",,"Crosswalk between OSHPD and CDPH health care facility numbers"
"facility_cross",2,"oshpd_license_number","int",9,"The facility license number assigned by
the California Department of Public Health (CDPH), Licensing & Certification section to the person, persons, firm, partnership, association, corporation, political subdivision of the State, or other governmental agency to whom a license has been issued to operate a health facility or agency.OSHPD collects and stores the information from the license in its Licensed Facility Information System (LFIS).This identifier may or may not match the L&C License Number column."
"facility_cross",3,"oshpd_id","int",9,"A unique ninedigit identifier assigned to each facility by the Office of Statewide Health Planning and Development (OSHPD).The first three digits indicate the type of facility, the next two digits indicate the county in which the facility is located.The last fourdigits are unique within each county."
"facility_cross",4,"oshpd_facility_number","int",6,"A unique sixdigit identifier assigned to each facility by the Office of Statewide Health Planning and Development (OSHPD).The first two digits indicate the county in which the facility is located. The last fourdigits are unique within each county."
"facility_cross",5,"oshpd_perm_id","int",5,"A unique fivedigit identifier assigned to each facility by the Office of Statewide Health Planning and Development (OSHPD).The first digit indicates the type of facility.The last fourdigits are unique within each type."
"facility_cross",6,"oshpd_facility_level","str",22,"Designated on the facility license as level of business operation: Parent Facility, Consolidated Facility, Distinct Part Facility, Branch"
"facility_cross",7,"parent_oshpd_id","int",9,"A unique ninedigit identifier assigned to each facility by the Office of Statewide Health Planning and Development (OSHPD).The first three digits indicate the type of facility, the next two digits indicate the county in which the facility is located.The last fourdigits are unique within each county.These may be different from the OSHPD ID based on OSHPD Facility Level."
"facility_cross",8,"oshpd_facility_status","str",18,"Status of facility: Open, Closed, Suspense, Under Construction"
"facility_cross",9,"l_c_license_number","str",9,"The facility license number assigned by the California Department of Public Health (CDPH) to the person, persons, firm, partnership, association, corporation, political subdivision of the State, or other governmental agency to whom a license has been issued to operate a health facility or agency. (Used to verify match with OSHPD License Number).This identifier may or may not match the OSHPD License Number column."
"facility_cross",10,"l_c_facility_id","int",9,"A unique identifier assigned by the California Department of Public Health (CDPH), Licensing & Certification section. FACID is the primary key from the FACILITY table used to track facility information for all facilities stored in the Electronic Licensing Management System (ELMS) for CDPH Center of Healthcare Quality, Licensing and Certification Program.FACID can be used to link this file's facility attributes to the following Open Data files: Healthcare Facility Services and Healthcare Facility Bed Types and Counts. This identifier may or may not match the CDPH_OD_FACID column."
"facility_cross",11,"cdph_od_facid","str",9,"A unique identifier assigned by the California Department of Public Health (CDPH). (Used to verify match with L&C Facility ID). Derived from the Healthcare Facility Locations dataset available at: https://cdph.data.ca.gov/FacilitiesandServices/HealthcareFacility Locations/n8juifrh This identifier is may or may not match the L&C Facility ID column."
"facility_cross",12,"l_c_provider_number","str",7,"A unique identifier assigned by the California Department of Public Health (CDPH), Licensing & Certification section."
"facility_cross",13,"license_type","str",,"License Type.The descriptions of License Categories into broad License Types: Hospital, Long-term Care Facility, Clinic, Home Health Agency/Hospice."
"facility_cross",14,"license_category","str",,"License Category.The facility description on the licenses issued by the California Department of Public Health (CDPH) and Mental Health Services Oversight and Accountability Commission (MHSOAC). License category is defined in law (Section 1250, Health and Safety Code)."
"facility_cross",15,"licensee_name","str",,"Licensee Name.The name of the person or entity of record on the license."
"facility_cross",16,"npi_primary","int",,"NPI (Primary).A National Provider Identifier (NPI) is a unique 10-digit identification number issued to health care providers in the United States by the Centers for Medicare and Medicaid Services (CMS). The NPI is the required identifier for Medicare services, and is used by other payers, including commercial healthcare insurers. The ""Primary"" NPI is the NPI provided to CDPH, if one is available, when a facility submits an application for licensure."
"facility_cross",17,"facility_name_oshpd","str",,"Facility Name (OSHPD).The name of the facility as reported on the license, may be modified per the Office of Statewide Health Planning and Development (OSHPD) specifications."
"facility_cross",18,"facility_name_cdph","str",,"Facility Name (CDPH).The name of the facility as reported on the license by the California Department of Public Health (CDPH)."
"facility_cross",19,"consolidated_name","str",,"Consolidated Name.The name used, if different from the facility name (OSHPD), to report consolidated facilities."
"facility_cross",20,"address","str",,"Address.The address of the facility."
"facility_cross",21,"city","str",,"City.The city where the facility is located."
"facility_cross",22,"zip_code","str",,"ZIP Code.The ZIP Code the facility resides within."
"facility_cross",23,"county_name","str",,"County Name.The county the facility resides within."
"facility_cross",24,"county_fips_code","int",,"County FIPS Code.County Federal Information Processing Standards (FIPS) Code - for California there are 58 unique codes for each county. Code assigned by the U.S. government to standardize identification of geographic locations."
"facility_cross",25,"la_county_spa","int",,"LA County SPA.The Los Angeles County Health Department specified Service Planning Area."
"facility_cross",26,"congressional_district","int",,"Congressional District.The number of the congressional district the facility reside within."
"facility_cross",27,"assembly_district","int",,"Assembly District.The number of the assembly district the facility reside within."
"facility_cross",28,"senate_district","int",,"Senate District.The number of the senate district the facility reside within."
"facility_cross",29,"mssa_id","str",,"MSSA ID.Medical Service Study Area Identifier used by the Health Resources and Services Administration (HRSA) "
"facility_cross",30,"mssa_definition","str",,"MSSA Definition.MSSA Rural Definition - Urban, Rural or Frontier [Rural = population density < 250 population/sq.mi] Frontier = population density < 11 population/sq.mi. Urban = anything not Rural or Frontier]"
"facility_cross",31,"census_tract_code","str",,"Census Tract Code.U.S. Census tract code used in composite key"
"facility_cross",32,"census_block","str",,"Census Block.The the smallest geographic unit used by the United States Census Bureau for tabulation of 100-percent data (data collected from all houses, rather than a sample of houses)."
"facility_cross",33,"hyperlink_to_atlas","str",,"Hyperlink to ATLAS.Links to the Facility Profile page within the ATLAS tool. Provides additional information regarding the facility, including but not limited to, facility identifiers, shortage area designations, market area, financial information, associated reports and information on surrounding areas, populations, and geography."
"facility_cross",34,"longitude","float",,"Longitude.The longitude, if known, where the facility is located."
"facility_cross",35,"latitude","float",,"Latitude.The latitude, if known, where the facility is located."
