table,position,source_header,dest_header,datatype,valuetype,has_codes,start,width,size,summary,description
facility_cross,1,license_type,license_type,str,,False,,,,,"License Type.The descriptions of License Categories into broad License Types: Hospital, Long-term Care Facility, Clinic, Home Health Agency/Hospice."
facility_cross,2,license_category,license_category,str,,False,,,,,"License Category.The facility description on the licenses issued by the California Department of Public Health (CDPH) and Mental Health Services Oversight and Accountability Commission (MHSOAC). License category is defined in law (Section 1250, Health and Safety Code)."
facility_cross,3,oshpd_facility_status,oshpd_facility_status,str,,False,,,,,"OSHPD Facility Status.Status of facility: Open, Closed, Suspense, Under Construction"
facility_cross,4,oshpd_license_number,oshpd_license_number,int,,False,,,,,"OSHPD License Number.The facility license number assigned by the California Department of Public Health (CDPH), Licensing & Certification section to the person, persons, firm, partnership, association, corporation, political subdivision of the State, or other governmental agency to whom a license has been issued to operate a health facility or agency.  OSHPD collects and stores the information from the license in its Licensed Facility Information System (LFIS).  This identifier may or may not match the L&C License Number column."
facility_cross,5,licensee_name,licensee_name,str,,False,,,,,Licensee Name.The name of the person or entity of record on the license.
facility_cross,6,npi_primary,npi_primary,int,,False,,,,,"NPI (Primary).A National Provider Identifier (NPI) is a unique 10-digit identification number issued to health care providers in the United States by the Centers for Medicare and Medicaid Services (CMS). The NPI is the required identifier for Medicare services, and is used by other payers, including commercial healthcare insurers. The ""Primary"" NPI is the NPI provided to CDPH, if one is available, when a facility submits an application for licensure."
facility_cross,7,parent_oshpd_id,parent_oshpd_id,int,,False,,,,,"Parent OSHPD ID.A unique nine-digit identifier assigned to each facility by the Office of Statewide Health Planning and Development (OSHPD).  The first three digits indicate the type of facility, the next two digits indicate the county in which the facility is located.  The last four-digits are unique within each county.  These may be different from the OSHPD ID based on OSHPD Facility Level."
facility_cross,8,oshpd_id,oshpd_id,int,,False,,,,,"OSHPD ID.A unique nine‐digit identifier assigned to each facility by the Office of Statewide Health Planning and Development 
(OSHPD).  The first three digits indicate the type of facility, the next two digits indicate the county in which the facility is located.  The last four‐digits are unique within each county. "
facility_cross,9,oshpd_perm_id,oshpd_perm_id,int,,False,,,,,OSHPD PERM ID.A unique five-digit identifier assigned to each facility by the Office of Statewide Health Planning and Development (OSHPD).  The first digit indicates the type of facility.  The last four-digits are unique within each type.
facility_cross,10,oshpd_facility_number,oshpd_facility_number,int,,False,,,,,OSHPD Facility Number.A unique six-digit identifier assigned to each facility by the Office of Statewide Health Planning and Development (OSHPD).  The first two digits indicate the county in which the facility is located.  The last four-digits are unique within each county.
