"table","sequence_id","column","datatype","size","description","transform"
,,,,,,
"facilities",1,"id","int",,"California health care facilities.",
"facilities",2,"year","int",4,,"^source.time"
"facilities",3,"type","str",10,,"^source.grain"
"facilities",4,"oshpd_id","str",9,,
"facilities",5,"facility_name","str",60,,
"facilities",6,"dba_address1","str",40,,
"facilities",7,"dba_city","str",21,,
"facilities",8,"dba_zip_code","int",5,,
"facilities",9,"county_code","str",2,,
"facilities",10,"county_name","str",15,,
"facilities",11,"facility_status_desc","str",8,,
"facilities",12,"facility_status_date","date",,,"^excel_dt_1900"
"facilities",13,"license_type_desc","str",26,,
"facilities",14,"license_category_desc","str",33,,
"facilities",15,"hyperlink_to_atlas","str",55,,
"facilities",16,"er_service_level_desc","str",25,,
"facilities",17,"total_number_beds","int",4,,
