table,position,source_header,dest_header,datatype,valuetype,has_codes,start,width,size,summary,description
primary_2014,1,oshpd_id,oshpd_id,int,,False,,,,,OSHPD_ID
primary_2014,2,facility_name,facility_name,str,,False,,,,,FACILITY_NAME
primary_2014,3,dba_address1,dba_address1,str,,False,,,,,DBA_ADDRESS1
primary_2014,4,dba_city,dba_city,str,,False,,,,,DBA_CITY
primary_2014,5,dba_zip_code,dba_zip_code,int,,False,,,,,DBA_ZIP_CODE
primary_2014,6,county_code,county_code,int,,False,,,,,COUNTY_CODE
primary_2014,7,county_name,county_name,str,,False,,,,,COUNTY_NAME
primary_2014,8,facility_status_desc,facility_status_desc,str,,False,,,,,FACILITY_STATUS_DESC
primary_2014,9,facility_status_date,facility_status_date,int,,False,,,,,FACILITY_STATUS_DATE
primary_2014,10,license_type_desc,license_type_desc,str,,False,,,,,LICENSE_TYPE_DESC
primary_2014,11,license_category_desc,license_category_desc,str,,False,,,,,LICENSE_CATEGORY_DESC
primary_2014,12,hyperlink_to_atlas,hyperlink_to_atlas,str,,False,,,,,HYPERLINK TO ATLAS
hospice_2014,1,oshpd_id,oshpd_id,int,,False,,,,,OSHPD_ID
hospice_2014,2,facility_name,facility_name,str,,False,,,,,FACILITY_NAME
hospice_2014,3,dba_address1,dba_address1,str,,False,,,,,DBA_ADDRESS1
hospice_2014,4,dba_city,dba_city,str,,False,,,,,DBA_CITY
hospice_2014,5,dba_zip_code,dba_zip_code,int,,False,,,,,DBA_ZIP_CODE
hospice_2014,6,county_code,county_code,int,,False,,,,,COUNTY_CODE
hospice_2014,7,county_name,county_name,str,,False,,,,,COUNTY_NAME
hospice_2014,8,facility_status_desc,facility_status_desc,str,,False,,,,,FACILITY_STATUS_DESC
hospice_2014,9,facility_status_date,facility_status_date,int,,False,,,,,FACILITY_STATUS_DATE
hospice_2014,10,license_type_desc,license_type_desc,str,,False,,,,,LICENSE_TYPE_DESC
hospice_2014,11,license_category_desc,license_category_desc,str,,False,,,,,LICENSE_CATEGORY_DESC
hospice_2014,12,hyperlink_to_atlas,hyperlink_to_atlas,str,,False,,,,,HYPERLINK TO ATLAS
speciality_2013,1,oshpd_id,oshpd_id,int,,False,,,,,OSHPD_ID
speciality_2013,2,facility_name,facility_name,str,,False,,,,,FACILITY_NAME
speciality_2013,3,dba_address1,dba_address1,str,,False,,,,,DBA_ADDRESS1
speciality_2013,4,dba_city,dba_city,str,,False,,,,,DBA_CITY
speciality_2013,5,dba_zip_code,dba_zip_code,int,,False,,,,,DBA_ZIP_CODE
speciality_2013,6,county_code,county_code,int,,False,,,,,COUNTY_CODE
speciality_2013,7,county_name,county_name,str,,False,,,,,COUNTY_NAME
speciality_2013,8,facility_status_desc,facility_status_desc,str,,False,,,,,FACILITY_STATUS_DESC
speciality_2013,9,facility_status_date,facility_status_date,int,,False,,,,,FACILITY_STATUS_DATE
speciality_2013,10,license_type_desc,license_type_desc,str,,False,,,,,LICENSE_TYPE_DESC
speciality_2013,11,license_category_desc,license_category_desc,str,,False,,,,,LICENSE_CATEGORY_DESC
speciality_2013,12,hyperlink_to_atlas,hyperlink_to_atlas,str,,False,,,,,HYPERLINK TO ATLAS
hospice_2013,1,oshpd_id,oshpd_id,int,,False,,,,,OSHPD_ID
hospice_2013,2,facility_name,facility_name,str,,False,,,,,FACILITY_NAME
hospice_2013,3,dba_address1,dba_address1,str,,False,,,,,DBA_ADDRESS1
hospice_2013,4,dba_city,dba_city,str,,False,,,,,DBA_CITY
hospice_2013,5,dba_zip_code,dba_zip_code,int,,False,,,,,DBA_ZIP_CODE
hospice_2013,6,county_code,county_code,int,,False,,,,,COUNTY_CODE
