"name","title","dest_table_name","time","grain","start_line","header_lines","description","filetype","reftype","ref","state"
"hospice_2013","hospice_2013","facilities",2013,"hospice",1,0,"Hospices licensed as of December 31, 2013",,,"http://www.oshpd.ca.gov/HID/Products/FacilityList/HHAListing_Dec2013.xlsx","ingest_done"
"hospice_2014","hospice_2014","facilities",2014,"hospice",1,0,"Hospices licensed as of June 30, 2014",,,"http://www.oshpd.ca.gov/HID/Products/FacilityList/HHAListing_Dec2014.xlsx","ingest_done"
"hospice_2015","hospice_2015","facilities",2015,"hospice",1,0,"Hospices licensed as of December 31, 2015",,,"http://www.oshpd.ca.gov/HID/Products/FacilityList/HHAListing_Dec2015.xlsx","ingest_done"
"hospitals_2013","hospitals_2013","facilities",2013,"hospital",1,0,"Hospitals licensed as of December 31, 2013",,,"http://www.oshpd.ca.gov/HID/Products/FacilityList/HospitalListing_Dec2013.xlsx","ingest_done"
"hospitals_2014","hospitals_2014","facilities",2014,"hospital",1,0,"Hospitals licensed as of June 30, 2014",,,"http://www.oshpd.ca.gov/HID/Products/FacilityList/HospitalListing_Dec2014.xlsx","ingest_done"
"hospitals_2015","hospitals_2015","facilities",2015,"hospital",1,0,"Hospitals licensed as of December 31, 2015",,,"http://www.oshpd.ca.gov/HID/Products/FacilityList/HospitalListing_Dec2015.xlsx","ingest_done"
"longterm_2013","longterm_2013","facilities",2013,"longterm",1,0,"Long term crare facilities icensed as of December 31, 2013",,,"http://www.oshpd.ca.gov/HID/Products/FacilityList/LTCListing_Dec2013.xlsx","ingest_done"
"longterm_2014","longterm_2014","facilities",2014,"longterm",1,0,"Long term care facilities licensed as of June 30, 2014",,,"http://www.oshpd.ca.gov/HID/Products/FacilityList/LTCListing_Dec2014.xlsx","ingest_done"
"longterm_2015","longterm_2015","facilities",2015,"longterm",1,0,"Long term care facilities licensed as of December 31, 2015",,,"http://www.oshpd.ca.gov/HID/Products/FacilityList/LTCListing_Dec2015.xlsx","ingest_done"
"primary_2013","primary_2013","facilities",2013,"primary",1,0,"Primary care facilities licensed as of December 31, 2013",,,"http://www.oshpd.ca.gov/HID/Products/FacilityList/PCListing_Dec2013.xlsx","ingest_done"
"primary_2014","primary_2014","facilities",2014,"primary",1,0,"Primary care facilities licensed as of June 30, 2014",,,"http://www.oshpd.ca.gov/HID/Products/FacilityList/PCListing_Dec2014.xlsx","ingest_done"
"primary_2015","primary_2015","facilities",2015,"primary",1,0,"Primary care facilities licensed as of December 31, 2015",,,"http://www.oshpd.ca.gov/HID/Products/FacilityList/PCListing_Dec2015.xlsx","ingest_done"
"speciality_2013","speciality_2013","facilities",2013,"speciality",1,0,"Speciality care facilities icensed as of December 31, 2013",,,"http://www.oshpd.ca.gov/HID/Products/FacilityList/SCListing_Dec2013.xlsx","ingest_done"
"speciality_2014","speciality_2014","facilities",2014,"speciality",1,0,"Speciality care facilities licensed as of June 30, 2014",,,"http://www.oshpd.ca.gov/HID/Products/FacilityList/SCListing_Dec2014.xlsx","ingest_done"
"speciality_2015","speciality_2015","facilities",2015,"speciality",1,0,"Speciality care facilities licensed as of December 31, 2015",,,"http://www.oshpd.ca.gov/HID/Products/FacilityList/SCListing_Dec2015.xlsx","ingest_done"
