table,sequence_id,column,datatype,size,description
,,,,,
procedures,1,id,int,,2012 Inpatient Mortality Indicators: Procedures
procedures,2,year,int,4,year
procedures,3,county_gvid,str,6,county_gvid
procedures,4,oshpd_id,str,9,oshpd_id
procedures,5,county,str,15,county
procedures,6,hospital,str,84,hospital
procedures,7,comment_letters,str,19,comment_letters
procedures,8,aaa_repair_unruptured_risk_adjusted_mortality_rate,float,,aaa_repair_unruptured_risk_adjusted_mortality_rate
procedures,9,aaa_repair_unruptured_of_deaths,int,4,aaa_repair_unruptured_of_deaths
procedures,10,aaa_repair_unruptured_of_cases,int,6,aaa_repair_unruptured_of_cases
procedures,11,aaa_repair_unruptured_outlier_ratings,str,5,aaa_repair_unruptured_outlier_ratings
procedures,12,carotid_endarterectomy_risk_adjusted_mortality_rate,float,,carotid_endarterectomy_risk_adjusted_mortality_rate
procedures,13,carotid_endarterectomy_of_deaths,int,4,carotid_endarterectomy_of_deaths
procedures,14,carotid_endarterectomy_of_cases,int,6,carotid_endarterectomy_of_cases
procedures,15,carotid_endarterectomy_outlier_ratings,str,5,carotid_endarterectomy_outlier_ratings
procedures,16,craniotomy_risk_adjusted_mortality_rate,float,,craniotomy_risk_adjusted_mortality_rate
procedures,17,craniotomy_of_deaths,int,6,craniotomy_of_deaths
procedures,18,craniotomy_of_cases,int,7,craniotomy_of_cases
procedures,19,craniotomy_outlier_ratings,str,6,craniotomy_outlier_ratings
procedures,20,esophageal_resection_risk_adjusted_mortality_rate,float,4,esophageal_resection_risk_adjusted_mortality_rate
procedures,21,esophageal_resection_of_deaths,int,4,esophageal_resection_of_deaths
procedures,22,esophageal_resection_of_cases,int,5,esophageal_resection_of_cases
procedures,23,esophageal_resection_outlier_ratings,str,0,esophageal_resection_outlier_ratings
procedures,24,pancreatic_resection_total_risk_adjusted_mortality_rate,float,4,pancreatic_resection_total_risk_adjusted_mortality_rate
procedures,25,pancreatic_resection_total_of_deaths,int,4,pancreatic_resection_total_of_deaths
procedures,26,pancreatic_resection_total_of_cases,int,6,pancreatic_resection_total_of_cases
procedures,27,pancreatic_resection_total_outlier_ratings,str,5,pancreatic_resection_total_outlier_ratings
procedures,28,pancreatic_resection_cancer_risk_adjusted_mortality_rate,float,4,pancreatic_resection_cancer_risk_adjusted_mortality_rate
procedures,29,pancreatic_resection_cancer_of_deaths,int,4,pancreatic_resection_cancer_of_deaths
procedures,30,pancreatic_resection_cancer_of_cases,int,5,pancreatic_resection_cancer_of_cases
procedures,31,pancreatic_resection_cancer_outlier_ratings,str,0,pancreatic_resection_cancer_outlier_ratings
procedures,32,pancreatic_resection_other_risk_adjusted_mortality_rate,float,4,pancreatic_resection_other_risk_adjusted_mortality_rate
procedures,33,pancreatic_resection_other_of_deaths,int,4,pancreatic_resection_other_of_deaths
procedures,34,pancreatic_resection_other_of_cases,int,5,pancreatic_resection_other_of_cases
procedures,35,pancreatic_resection_other_outlier_ratings,str,5,pancreatic_resection_other_outlier_ratings
procedures,36,percutaneous_coronary_intervention_risk_adjusted_mortality_rate,float,,percutaneous_coronary_intervention_risk_adjusted_mortality_rate
procedures,37,percutaneous_coronary_intervention_of_deaths,int,6,percutaneous_coronary_intervention_of_deaths
procedures,38,percutaneous_coronary_intervention_of_cases,int,7,percutaneous_coronary_intervention_of_cases
procedures,39,percutaneous_coronary_intervention_outlier_ratings,str,6,percutaneous_coronary_intervention_outlier_ratings
,,,,,
conditions,1,id,int,,2012 Inpatient Mortality Indicators: Conditions
conditions,2,year,int,4,year
conditions,3,county_gvid,str,6,county_gvid
conditions,4,oshpd_id,str,9,oshpd_id
conditions,5,county,str,15,county
conditions,6,hospital,str,84,hospital
