table,sequence_id,column,datatype,size,description
,,,,,
pdd_mdc_23,1,id,int,,"MSDRGs counts per hosiptal, per year, for MDC 23"
pdd_mdc_23,2,oshpd_id,str,9,OSHPD facility id
pdd_mdc_23,3,year,int,4,Year of discharge
pdd_mdc_23,4,msdrg_003,int,1,Counts for MS-DRG 003
pdd_mdc_23,5,msdrg_004,int,1,Counts for MS-DRG 004
pdd_mdc_23,6,msdrg_939,int,2,Counts for MS-DRG 939
pdd_mdc_23,7,msdrg_940,int,2,Counts for MS-DRG 940
pdd_mdc_23,8,msdrg_941,int,2,Counts for MS-DRG 941
pdd_mdc_23,9,msdrg_945,int,4,Counts for MS-DRG 945
pdd_mdc_23,10,msdrg_946,int,3,Counts for MS-DRG 946
pdd_mdc_23,11,msdrg_947,int,2,Counts for MS-DRG 947
pdd_mdc_23,12,msdrg_948,int,3,Counts for MS-DRG 948
pdd_mdc_23,13,msdrg_949,int,3,Counts for MS-DRG 949
pdd_mdc_23,14,msdrg_950,int,2,Counts for MS-DRG 950
pdd_mdc_23,15,msdrg_951,int,3,Counts for MS-DRG 951
,,,,,
pdd_mdc_08,1,id,int,,"MSDRGs counts per hosiptal, per year, for MDC 08"
pdd_mdc_08,2,oshpd_id,str,9,OSHPD facility id
pdd_mdc_08,3,year,int,4,Year of discharge
pdd_mdc_08,4,msdrg_003,int,1,Counts for MS-DRG 003
pdd_mdc_08,5,msdrg_004,int,1,Counts for MS-DRG 004
pdd_mdc_08,6,msdrg_012,int,1,Counts for MS-DRG 012
pdd_mdc_08,7,msdrg_013,int,1,Counts for MS-DRG 013
pdd_mdc_08,8,msdrg_453,int,1,Counts for MS-DRG 453
pdd_mdc_08,9,msdrg_454,int,2,Counts for MS-DRG 454
pdd_mdc_08,10,msdrg_455,int,2,Counts for MS-DRG 455
pdd_mdc_08,11,msdrg_456,int,2,Counts for MS-DRG 456
pdd_mdc_08,12,msdrg_457,int,2,Counts for MS-DRG 457
pdd_mdc_08,13,msdrg_458,int,2,Counts for MS-DRG 458
pdd_mdc_08,14,msdrg_459,int,2,Counts for MS-DRG 459
pdd_mdc_08,15,msdrg_460,int,3,Counts for MS-DRG 460
pdd_mdc_08,16,msdrg_461,int,1,Counts for MS-DRG 461
pdd_mdc_08,17,msdrg_462,int,3,Counts for MS-DRG 462
pdd_mdc_08,18,msdrg_463,int,2,Counts for MS-DRG 463
pdd_mdc_08,19,msdrg_464,int,2,Counts for MS-DRG 464
pdd_mdc_08,20,msdrg_465,int,1,Counts for MS-DRG 465
pdd_mdc_08,21,msdrg_466,int,2,Counts for MS-DRG 466
pdd_mdc_08,22,msdrg_467,int,2,Counts for MS-DRG 467
pdd_mdc_08,23,msdrg_468,int,2,Counts for MS-DRG 468
pdd_mdc_08,24,msdrg_469,int,2,Counts for MS-DRG 469
pdd_mdc_08,25,msdrg_470,int,4,Counts for MS-DRG 470
pdd_mdc_08,26,msdrg_471,int,2,Counts for MS-DRG 471
pdd_mdc_08,27,msdrg_472,int,2,Counts for MS-DRG 472
pdd_mdc_08,28,msdrg_473,int,2,Counts for MS-DRG 473
pdd_mdc_08,29,msdrg_474,int,2,Counts for MS-DRG 474
pdd_mdc_08,30,msdrg_475,int,1,Counts for MS-DRG 475
pdd_mdc_08,31,msdrg_476,int,1,Counts for MS-DRG 476
pdd_mdc_08,32,msdrg_477,int,1,Counts for MS-DRG 477
pdd_mdc_08,33,msdrg_478,int,2,Counts for MS-DRG 478
pdd_mdc_08,34,msdrg_479,int,1,Counts for MS-DRG 479
pdd_mdc_08,35,msdrg_480,int,2,Counts for MS-DRG 480
pdd_mdc_08,36,msdrg_481,int,3,Counts for MS-DRG 481
pdd_mdc_08,37,msdrg_482,int,2,Counts for MS-DRG 482
pdd_mdc_08,38,msdrg_483,int,2,Counts for MS-DRG 483
pdd_mdc_08,39,msdrg_484,int,2,Counts for MS-DRG 484
pdd_mdc_08,40,msdrg_485,int,1,Counts for MS-DRG 485
pdd_mdc_08,41,msdrg_486,int,2,Counts for MS-DRG 486
pdd_mdc_08,42,msdrg_487,int,1,Counts for MS-DRG 487
pdd_mdc_08,43,msdrg_488,int,2,Counts for MS-DRG 488
pdd_mdc_08,44,msdrg_489,int,2,Counts for MS-DRG 489
pdd_mdc_08,45,msdrg_490,int,3,Counts for MS-DRG 490
pdd_mdc_08,46,msdrg_491,int,3,Counts for MS-DRG 491
pdd_mdc_08,47,msdrg_492,int,2,Counts for MS-DRG 492
pdd_mdc_08,48,msdrg_493,int,2,Counts for MS-DRG 493
pdd_mdc_08,49,msdrg_494,int,3,Counts for MS-DRG 494
pdd_mdc_08,50,msdrg_495,int,1,Counts for MS-DRG 495
pdd_mdc_08,51,msdrg_496,int,2,Counts for MS-DRG 496
pdd_mdc_08,52,msdrg_497,int,2,Counts for MS-DRG 497
pdd_mdc_08,53,msdrg_498,int,1,Counts for MS-DRG 498
pdd_mdc_08,54,msdrg_499,int,1,Counts for MS-DRG 499
pdd_mdc_08,55,msdrg_500,int,1,Counts for MS-DRG 500
pdd_mdc_08,56,msdrg_501,int,2,Counts for MS-DRG 501
pdd_mdc_08,57,msdrg_502,int,2,Counts for MS-DRG 502
pdd_mdc_08,58,msdrg_503,int,1,Counts for MS-DRG 503
pdd_mdc_08,59,msdrg_504,int,2,Counts for MS-DRG 504
pdd_mdc_08,60,msdrg_505,int,2,Counts for MS-DRG 505
pdd_mdc_08,61,msdrg_506,int,1,Counts for MS-DRG 506
pdd_mdc_08,62,msdrg_507,int,1,Counts for MS-DRG 507
pdd_mdc_08,63,msdrg_508,int,1,Counts for MS-DRG 508
pdd_mdc_08,64,msdrg_509,int,1,Counts for MS-DRG 509
pdd_mdc_08,65,msdrg_510,int,1,Counts for MS-DRG 510
pdd_mdc_08,66,msdrg_511,int,2,Counts for MS-DRG 511
pdd_mdc_08,67,msdrg_512,int,2,Counts for MS-DRG 512
pdd_mdc_08,68,msdrg_513,int,1,Counts for MS-DRG 513
pdd_mdc_08,69,msdrg_514,int,2,Counts for MS-DRG 514
pdd_mdc_08,70,msdrg_515,int,2,Counts for MS-DRG 515
pdd_mdc_08,71,msdrg_516,int,2,Counts for MS-DRG 516
pdd_mdc_08,72,msdrg_517,int,2,Counts for MS-DRG 517
pdd_mdc_08,73,msdrg_533,int,1,Counts for MS-DRG 533
pdd_mdc_08,74,msdrg_534,int,2,Counts for MS-DRG 534
pdd_mdc_08,75,msdrg_535,int,2,Counts for MS-DRG 535
pdd_mdc_08,76,msdrg_536,int,2,Counts for MS-DRG 536
pdd_mdc_08,77,msdrg_537,int,1,Counts for MS-DRG 537
pdd_mdc_08,78,msdrg_538,int,1,Counts for MS-DRG 538
pdd_mdc_08,79,msdrg_539,int,2,Counts for MS-DRG 539
pdd_mdc_08,80,msdrg_540,int,1,Counts for MS-DRG 540
pdd_mdc_08,81,msdrg_541,int,1,Counts for MS-DRG 541
pdd_mdc_08,82,msdrg_542,int,2,Counts for MS-DRG 542
pdd_mdc_08,83,msdrg_543,int,2,Counts for MS-DRG 543
pdd_mdc_08,84,msdrg_544,int,1,Counts for MS-DRG 544
pdd_mdc_08,85,msdrg_545,int,2,Counts for MS-DRG 545
pdd_mdc_08,86,msdrg_546,int,2,Counts for MS-DRG 546
pdd_mdc_08,87,msdrg_547,int,2,Counts for MS-DRG 547
pdd_mdc_08,88,msdrg_548,int,1,Counts for MS-DRG 548
pdd_mdc_08,89,msdrg_549,int,1,Counts for MS-DRG 549
pdd_mdc_08,90,msdrg_550,int,1,Counts for MS-DRG 550
pdd_mdc_08,91,msdrg_551,int,2,Counts for MS-DRG 551
pdd_mdc_08,92,msdrg_552,int,3,Counts for MS-DRG 552
pdd_mdc_08,93,msdrg_553,int,1,Counts for MS-DRG 553
pdd_mdc_08,94,msdrg_554,int,2,Counts for MS-DRG 554
pdd_mdc_08,95,msdrg_555,int,1,Counts for MS-DRG 555
pdd_mdc_08,96,msdrg_556,int,2,Counts for MS-DRG 556
pdd_mdc_08,97,msdrg_557,int,1,Counts for MS-DRG 557
pdd_mdc_08,98,msdrg_558,int,2,Counts for MS-DRG 558
pdd_mdc_08,99,msdrg_559,int,2,Counts for MS-DRG 559
pdd_mdc_08,100,msdrg_560,int,2,Counts for MS-DRG 560
pdd_mdc_08,101,msdrg_561,int,2,Counts for MS-DRG 561
pdd_mdc_08,102,msdrg_562,int,2,Counts for MS-DRG 562
pdd_mdc_08,103,msdrg_563,int,2,Counts for MS-DRG 563
pdd_mdc_08,104,msdrg_564,int,1,Counts for MS-DRG 564
pdd_mdc_08,105,msdrg_565,int,1,Counts for MS-DRG 565
pdd_mdc_08,106,msdrg_566,int,2,Counts for MS-DRG 566
pdd_mdc_08,107,msdrg_981,int,1,Counts for MS-DRG 981
pdd_mdc_08,108,msdrg_982,int,1,Counts for MS-DRG 982
