table,sequence_id,column,datatype,size,description
,,,,,
pdd_puf,1,id,int,,"Public Discharge Data, Public Use File"
pdd_puf,2,year,int,,Year
pdd_puf,3,oshpd_id,str,6,"Hospital Identification Number. A unique six-digit identifier assigned to each facility by the Office of Statewide Health Planning and Development. The first two digits indicate the county in which the facility is located. The last four digits are unique within each county. Appendix F - Counts by Facility (Discharges) (PDD) lists facility ID number, name, and number of discharges."
pdd_puf,4,typ_care,str,33,"Type of Care. Defined by the California Health and Safety Code, this refers to thelicensure of the bed occupied by an inpatient. The types ofcare aredocumented on the official license issued by CDPH Licensing andCertification Division."
pdd_puf,5,los,int,5,Length of Stay. Total number of days from admission date to discharge date. Patients admitted and discharged on the same day are assigned a length of stay of 0 days.
pdd_puf,6,adm_src,str,3,"Source of Admission. The site and licensure where the patient originated and the route by which the patient was admitted. For more information, see the documentation provided by the MIRCal (data submission) system: http://www.oshpd.ca.gov/HID/MIRCal/Text_pdfs/ManualsGuides/IPManual/SourceAdmission.pdf."
pdd_puf,7,adm_type,str,21,Type of Admission. When the patients admission was arranged.
pdd_puf,8,disp,str,44,"Disposition. The consequent arrangement or event ending a patients stay in the hospital. For more information, see the documentation provided by the MIRCal (data submission) system: http://www.oshpd.ca.gov/HID/MIRCal/Text_pdfs/ManualsGuides/IPManual/Disposition.pdf."
pdd_puf,9,pay_cat,str,23,"Expected Source of Payment  Payer Category. The type of entity or organization expected to pay the greatest share of the patients bill. For more information, see the documentation provided by the MIRCal (data submission) system: http://www.oshpd.ca.gov/HID/MIRCal/Text_pdfs/ManualsGuides/IPManual/ExpectedSourcePayment.pdf."
pdd_puf,10,pay_type,str,30,"Expected Source of Payment  Type of Coverage. Indicates the type of coverage (HMO, non-HMO managed care, or Fee-for-Service) for the following reported categories: Medicare, Medi-Cal, Private Coverage, Workers' Compensation, County Indigent Programs, and Other Government. Type of coverage is not reported for the following categories: Other Indigent, Self Pay, or Other Payer. For more information, see the documentation provided by the MIRCal (data submission) system: http://www.oshpd.ca.gov/HID/MIRCal/Text_pdfs/ManualsGuides/IPManual/ExpectedSourcePayment.pdf."
pdd_puf,11,ecode_p,str,5,"External Cause of Injury  Principal E-Code. The external cause of injury or poisoning or adverse effect code (E800-E999) which describes the mechanism that resulted in the most severe injury, poisoning, or adverse effect related to the admission. An E-Code is to be reported on the record for the first episode of care reportable to OSHPD during which the injury, poisoning, and/or adverse effect was diagnosed and/or treated. They are coded according to the ICD-9-CM. This variable is masked (*) on records where only one instance of a Principal Diagnosis, Principal Procedure, or Principal E-Code was reported for a facility."
