table,position,source_header,dest_header,datatype,valuetype,has_codes,start,width,size,summary,description
puf_10_la,1,oshpd_id,oshpd_id,int,,False,,,,,oshpd_id
puf_10_la,2,typ_care,typ_care,str,,False,,,,,typ_care
puf_10_la,3,los,los,int,,False,,,,,los
puf_10_la,4,adm_src,adm_src,int,,False,,,,,adm_src
puf_10_la,5,adm_type,adm_type,str,,False,,,,,adm_type
puf_10_la,6,disp,disp,str,,False,,,,,disp
puf_10_la,7,pay_cat,pay_cat,str,,False,,,,,pay_cat
puf_10_la,8,pay_type,pay_type,str,,False,,,,,pay_type
puf_10_la,9,charge,charge,int,,False,,,,,charge
puf_10_la,10,ecode_p,ecode_p,str,,False,,,,,ecode_p
puf_10_la,11,epoa_p,epoa_p,str,,False,,,,,epoa_p
puf_10_la,12,ecode1,ecode1,str,,False,,,,,ecode1
puf_10_la,13,epoa1,epoa1,str,,False,,,,,epoa1
puf_10_la,14,ecode2,ecode2,str,,False,,,,,ecode2
puf_10_la,15,epoa2,epoa2,str,,False,,,,,epoa2
puf_10_la,16,ecode3,ecode3,str,,False,,,,,ecode3
puf_10_la,17,epoa3,epoa3,str,,False,,,,,epoa3
puf_10_la,18,ecode4,ecode4,str,,False,,,,,ecode4
puf_10_la,19,epoa4,epoa4,str,,False,,,,,epoa4
puf_10_la,20,mdc,mdc,int,,False,,,,,MDC
puf_10_la,21,msdrg,msdrg,int,,False,,,,,MSDRG
puf_10_la,22,diag_p,diag_p,str,,False,,,,,diag_p
puf_10_la,23,poa_p,poa_p,str,,False,,,,,poa_p
puf_10_la,24,proc_p,proc_p,int,,False,,,,,proc_p
puf_10_la,25,proc_pdy,proc_pdy,int,,False,,,,,proc_pdy
puf_10_la,26,odiag1,odiag1,str,,False,,,,,odiag1
puf_10_la,27,opoa1,opoa1,str,,False,,,,,opoa1
puf_10_la,28,odiag2,odiag2,str,,False,,,,,odiag2
puf_10_la,29,opoa2,opoa2,str,,False,,,,,opoa2
puf_10_la,30,odiag3,odiag3,str,,False,,,,,odiag3
puf_10_la,31,opoa3,opoa3,str,,False,,,,,opoa3
puf_10_la,32,odiag4,odiag4,str,,False,,,,,odiag4
puf_10_la,33,opoa4,opoa4,str,,False,,,,,opoa4
puf_10_la,34,odiag5,odiag5,str,,False,,,,,odiag5
puf_10_la,35,opoa5,opoa5,str,,False,,,,,opoa5
puf_10_la,36,odiag6,odiag6,str,,False,,,,,odiag6
puf_10_la,37,opoa6,opoa6,str,,False,,,,,opoa6
puf_10_la,38,odiag7,odiag7,str,,False,,,,,odiag7
puf_10_la,39,opoa7,opoa7,str,,False,,,,,opoa7
puf_10_la,40,odiag8,odiag8,str,,False,,,,,odiag8
puf_10_la,41,opoa8,opoa8,str,,False,,,,,opoa8
puf_10_la,42,odiag9,odiag9,str,,False,,,,,odiag9
puf_10_la,43,opoa9,opoa9,str,,False,,,,,opoa9
puf_10_la,44,odiag10,odiag10,str,,False,,,,,odiag10
puf_10_la,45,opoa10,opoa10,str,,False,,,,,opoa10
puf_10_la,46,odiag11,odiag11,str,,False,,,,,odiag11
puf_10_la,47,opoa11,opoa11,str,,False,,,,,opoa11
puf_10_la,48,odiag12,odiag12,str,,False,,,,,odiag12
puf_10_la,49,opoa12,opoa12,str,,False,,,,,opoa12
puf_10_la,50,odiag13,odiag13,int,,True,,,,,odiag13
puf_10_la,51,opoa13,opoa13,str,,False,,,,,opoa13
puf_10_la,52,odiag14,odiag14,int,,True,,,,,odiag14
puf_10_la,53,opoa14,opoa14,str,,False,,,,,opoa14
puf_10_la,54,odiag15,odiag15,int,,True,,,,,odiag15
puf_10_la,55,opoa15,opoa15,str,,False,,,,,opoa15
puf_10_la,56,odiag16,odiag16,int,,True,,,,,odiag16
puf_10_la,57,opoa16,opoa16,str,,False,,,,,opoa16
puf_10_la,58,odiag17,odiag17,int,,True,,,,,odiag17
puf_10_la,59,opoa17,opoa17,str,,False,,,,,opoa17
puf_10_la,60,odiag18,odiag18,int,,True,,,,,odiag18
puf_10_la,61,opoa18,opoa18,str,,False,,,,,opoa18
puf_10_la,62,odiag19,odiag19,int,,True,,,,,odiag19
puf_10_la,63,opoa19,opoa19,str,,False,,,,,opoa19
puf_10_la,64,odiag20,odiag20,int,,True,,,,,odiag20
puf_10_la,65,opoa20,opoa20,str,,False,,,,,opoa20
puf_10_la,66,odiag21,odiag21,int,,True,,,,,odiag21
puf_10_la,67,opoa21,opoa21,str,,False,,,,,opoa21
puf_10_la,68,odiag22,odiag22,int,,True,,,,,odiag22
puf_10_la,69,opoa22,opoa22,str,,False,,,,,opoa22
puf_10_la,70,odiag23,odiag23,int,,True,,,,,odiag23
puf_10_la,71,opoa23,opoa23,str,,False,,,,,opoa23
puf_10_la,72,odiag24,odiag24,int,,True,,,,,odiag24
puf_10_la,73,opoa24,opoa24,str,,False,,,,,opoa24
puf_10_la,74,oproc1,oproc1,int,,True,,,,,oproc1
puf_10_la,75,procdy1,procdy1,int,,False,,,,,procdy1
puf_10_la,76,oproc2,oproc2,int,,True,,,,,oproc2
puf_10_la,77,procdy2,procdy2,int,,False,,,,,procdy2
puf_10_la,78,oproc3,oproc3,int,,True,,,,,oproc3
puf_10_la,79,procdy3,procdy3,int,,False,,,,,procdy3
puf_10_la,80,oproc4,oproc4,int,,True,,,,,oproc4
puf_10_la,81,procdy4,procdy4,int,,False,,,,,procdy4
puf_10_la,82,oproc5,oproc5,int,,True,,,,,oproc5
puf_10_la,83,procdy5,procdy5,int,,False,,,,,procdy5
puf_10_la,84,oproc6,oproc6,int,,True,,,,,oproc6
puf_10_la,85,procdy6,procdy6,int,,False,,,,,procdy6
puf_10_la,86,oproc7,oproc7,int,,True,,,,,oproc7
puf_10_la,87,procdy7,procdy7,int,,False,,,,,procdy7
puf_10_la,88,oproc8,oproc8,int,,True,,,,,oproc8
puf_10_la,89,procdy8,procdy8,int,,False,,,,,procdy8
puf_10_la,90,oproc9,oproc9,int,,True,,,,,oproc9
puf_10_la,91,procdy9,procdy9,int,,False,,,,,procdy9
puf_10_la,92,oproc10,oproc10,int,,True,,,,,oproc10
puf_10_la,93,procdy10,procdy10,int,,False,,,,,procdy10
puf_10_la,94,oproc11,oproc11,int,,True,,,,,oproc11
puf_10_la,95,procdy11,procdy11,int,,False,,,,,procdy11
puf_10_la,96,oproc12,oproc12,int,,True,,,,,oproc12
puf_10_la,97,procdy12,procdy12,int,,False,,,,,procdy12
puf_10_la,98,oproc13,oproc13,int,,True,,,,,oproc13
puf_10_la,99,procdy13,procdy13,int,,False,,,,,procdy13
puf_10_la,100,oproc14,oproc14,int,,True,,,,,oproc14
puf_10_la,101,procdy14,procdy14,int,,False,,,,,procdy14
puf_10_la,102,oproc15,oproc15,int,,True,,,,,oproc15
puf_10_la,103,procdy15,procdy15,int,,False,,,,,procdy15
puf_10_la,104,oproc16,oproc16,int,,True,,,,,oproc16
puf_10_la,105,procdy16,procdy16,int,,False,,,,,procdy16
puf_10_la,106,oproc17,oproc17,int,,True,,,,,oproc17
puf_10_la,107,procdy17,procdy17,int,,False,,,,,procdy17
puf_10_la,108,oproc18,oproc18,int,,True,,,,,oproc18
puf_10_la,109,procdy18,procdy18,int,,False,,,,,procdy18
puf_10_la,110,oproc19,oproc19,int,,True,,,,,oproc19
puf_10_la,111,procdy19,procdy19,int,,False,,,,,procdy19
puf_10_la,112,oproc20,oproc20,int,,True,,,,,oproc20
puf_10_la,113,procdy20,procdy20,int,,False,,,,,procdy20
puf_10_la,114,sev_code,sev_code,str,,False,,,,,sev_code
puf_10_la,115,cat_code,cat_code,str,,False,,,,,cat_code
puf_10_la,116,grouper,grouper,int,,False,,,,,grouper
puf_10_la,117,oshpd_id2,oshpd_id2,int,,False,,,,,oshpd_id2
puf_10_la,118,dschyear,dschyear,int,,False,,,,,dschyear
puf_10_la,119,patzip3,patzip3,int,,True,,,,,patzip3
puf_10_la,120,oshpd_name,oshpd_name,str,,False,,,,,oshpd_name
puf_10_la,121,msdrg_name,msdrg_name,str,,False,,,,,msdrg_name
puf_10_la,122,mdc_name,mdc_name,str,,False,,,,,mdc_name
