"table","column","datatype","size","description","transform"
,,,,,
"pqi","id","int",,"Multi-year PQI file.",
"pqi","gvid","str",6,"gvid","^extract_county"
"pqi","year","int",4,"Year",
"pqi","county","str",15,"County",
"pqi","pqi_1_diabetes_short_term_complications_cases","int",5,"PQI #1 Diabetes Short-term Complications # Cases",
"pqi","pqi_1_diabetes_short_term_complications_population","int",8,"PQI #1 Diabetes Short-term Complications Population",
"pqi","pqi_1_diabetes_short_term_complications_observed_rate","float",,"PQI #1 Diabetes Short-term Complications Observed Rate",
"pqi","pqi_1_diabetes_short_term_complications_risk_adjusted_rate","float",,"PQI #1 Diabetes Short-term Complications Risk-Adjusted Rate",
"pqi","pqi_2_perforated_appendix_cases","int",4,"PQI #2 Perforated Appendix # Cases",
"pqi","pqi_2_perforated_appendix_population","int",5,"PQI #2 Perforated Appendix Population",
"pqi","pqi_2_perforated_appendix_observed_rate","float",,"PQI #2 Perforated Appendix Observed Rate",
"pqi","pqi_2_perforated_appendix_risk_adjusted_rate","float",,"PQI #2 Perforated Appendix Risk-Adjusted Rate",
"pqi","pqi_3_diabetes_long_term_complications_cases","int",5,"PQI #3 Diabetes Long-term Complications # Cases",
"pqi","pqi_3_diabetes_long_term_complications_population","int",8,"PQI #3 Diabetes Long-term Complications Population",
"pqi","pqi_3_diabetes_long_term_complications_observed_rate","float",,"PQI #3 Diabetes Long-term Complications Observed Rate",
"pqi","pqi_3_diabetes_long_term_complications_risk_adjusted_rate","float",,"PQI #3 Diabetes Long-term Complications Risk-Adjusted Rate",
"pqi","pqi_5_copd_or_asthma_in_older_adults_cases","int",5,"PQI #5 COPD or Asthma in Older Adults # Cases",
"pqi","pqi_5_copd_or_asthma_in_older_adults_population","int",8,"PQI #5 COPD or Asthma in Older Adults Population",
"pqi","pqi_5_copd_or_asthma_in_older_adults_observed_rate","float",,"PQI #5 COPD or Asthma in Older Adults Observed Rate",
"pqi","pqi_5_copd_or_asthma_in_older_adults_risk_adjusted_rate","float",,"PQI #5 COPD or Asthma in Older Adults Risk-Adjusted Rate",
"pqi","pqi_7_hypertension_cases","int",4,"PQI #7 Hypertension # Cases",
"pqi","pqi_7_hypertension_population","int",8,"PQI #7 Hypertension Population",
"pqi","pqi_7_hypertension_observed_rate","float",,"PQI #7 Hypertension Observed Rate",
"pqi","pqi_7_hypertension_risk_adjusted_rate","float",,"PQI #7 Hypertension Risk-Adjusted Rate",
"pqi","pqi_8_heart_failure_cases","int",5,"PQI #8 Heart Failure # Cases",
"pqi","pqi_8_heart_failure_population","int",8,"PQI #8 Heart Failure Population",
"pqi","pqi_8_heart_failure_observed_rate","float",,"PQI #8 Heart Failure Observed Rate",
"pqi","pqi_8_heart_failure_risk_adjusted_rate","float",,"PQI #8 Heart Failure Risk-Adjusted Rate",
"pqi","pqi_10_dehydration_cases","int",5,"PQI #10 Dehydration # Cases",
"pqi","pqi_10_dehydration_population","int",8,"PQI #10 Dehydration Population",
"pqi","pqi_10_dehydration_observed_rate","float",,"PQI #10 Dehydration Observed Rate",
"pqi","pqi_10_dehydration_risk_adjusted_rate","float",,"PQI #10 Dehydration Risk-Adjusted Rate",
"pqi","pqi_11_bacterial_pneumonia_cases","int",5,"PQI #11 Bacterial Pneumonia # Cases",
"pqi","pqi_11_bacterial_pneumonia_population","int",8,"PQI #11 Bacterial Pneumonia Population",
"pqi","pqi_11_bacterial_pneumonia_observed_rate","float",,"PQI #11 Bacterial Pneumonia Observed Rate",
"pqi","pqi_11_bacterial_pneumonia_risk_adjusted_rate","float",,"PQI #11 Bacterial Pneumonia Risk-Adjusted Rate",
"pqi","pqi_12_urinary_tract_infection_cases","int",5,"PQI #12 Urinary Tract Infection # Cases",
"pqi","pqi_12_urinary_tract_infection_population","int",8,"PQI #12 Urinary Tract Infection Population",
"pqi","pqi_12_urinary_tract_infection_observed_rate","float",,"PQI #12 Urinary Tract Infection Observed Rate",
"pqi","pqi_12_urinary_tract_infection_risk_adjusted_rate","float",,"PQI #12 Urinary Tract Infection Risk-Adjusted Rate",
"pqi","pqi_13_angina_without_procedure_cases","int",4,"PQI #13 Angina without Procedure # Cases",
"pqi","pqi_13_angina_without_procedure_population","int",8,"PQI #13 Angina without Procedure Population",
"pqi","pqi_13_angina_without_procedure_observed_rate","float",,"PQI #13 Angina without Procedure Observed Rate",
"pqi","pqi_13_angina_without_procedure_risk_adjusted_rate","float",,"PQI #13 Angina without Procedure Risk-Adjusted Rate",
"pqi","pqi_14_uncontrolled_diabetes_cases","int",4,"PQI #14 Uncontrolled Diabetes # Cases",
