table,position,source_header,dest_header,datatype,valuetype,has_codes,start,width,size,summary,description
pqi,1,year,year,int,,False,,,,,
pqi,2,county,county,str,,False,,,,,
pqi,3,pqi_1_diabetes_short_term_complications_cases,pqi_1_diabetes_short_term_complications_cases,int,,False,,,,,
pqi,4,pqi_1_diabetes_short_term_complications_population,pqi_1_diabetes_short_term_complications_population,int,,False,,,,,
pqi,5,pqi_1_diabetes_short_term_complications_observed_rate,pqi_1_diabetes_short_term_complications_observed_rate,float,,False,,,,,
pqi,6,pqi_1_diabetes_short_term_complications_risk_adjusted_rate,pqi_1_diabetes_short_term_complications_risk_adjusted_rate,float,,False,,,,,
pqi,7,pqi_2_perforated_appendix_cases,pqi_2_perforated_appendix_cases,int,,False,,,,,
pqi,8,pqi_2_perforated_appendix_population,pqi_2_perforated_appendix_population,int,,False,,,,,
pqi,9,pqi_2_perforated_appendix_observed_rate,pqi_2_perforated_appendix_observed_rate,float,,False,,,,,
pqi,10,pqi_2_perforated_appendix_risk_adjusted_rate,pqi_2_perforated_appendix_risk_adjusted_rate,float,,False,,,,,
pqi,11,pqi_3_diabetes_long_term_complications_cases,pqi_3_diabetes_long_term_complications_cases,int,,False,,,,,
pqi,12,pqi_3_diabetes_long_term_complications_population,pqi_3_diabetes_long_term_complications_population,int,,False,,,,,
pqi,13,pqi_3_diabetes_long_term_complications_observed_rate,pqi_3_diabetes_long_term_complications_observed_rate,float,,False,,,,,
pqi,14,pqi_3_diabetes_long_term_complications_risk_adjusted_rate,pqi_3_diabetes_long_term_complications_risk_adjusted_rate,float,,False,,,,,
pqi,15,pqi_5_copd_or_asthma_in_older_adults_cases,pqi_5_copd_or_asthma_in_older_adults_cases,int,,False,,,,,
pqi,16,pqi_5_copd_or_asthma_in_older_adults_population,pqi_5_copd_or_asthma_in_older_adults_population,int,,False,,,,,
pqi,17,pqi_5_copd_or_asthma_in_older_adults_observed_rate,pqi_5_copd_or_asthma_in_older_adults_observed_rate,float,,False,,,,,
pqi,18,pqi_5_copd_or_asthma_in_older_adults_risk_adjusted_rate,pqi_5_copd_or_asthma_in_older_adults_risk_adjusted_rate,float,,False,,,,,
pqi,19,pqi_7_hypertension_cases,pqi_7_hypertension_cases,int,,False,,,,,
pqi,20,pqi_7_hypertension_population,pqi_7_hypertension_population,int,,False,,,,,
pqi,21,pqi_7_hypertension_observed_rate,pqi_7_hypertension_observed_rate,float,,False,,,,,
pqi,22,pqi_7_hypertension_risk_adjusted_rate,pqi_7_hypertension_risk_adjusted_rate,float,,False,,,,,
pqi,23,pqi_8_heart_failure_cases,pqi_8_heart_failure_cases,int,,False,,,,,
pqi,24,pqi_8_heart_failure_population,pqi_8_heart_failure_population,int,,False,,,,,
pqi,25,pqi_8_heart_failure_observed_rate,pqi_8_heart_failure_observed_rate,float,,False,,,,,
pqi,26,pqi_8_heart_failure_risk_adjusted_rate,pqi_8_heart_failure_risk_adjusted_rate,float,,False,,,,,
pqi,27,pqi_10_dehydration_cases,pqi_10_dehydration_cases,int,,False,,,,,
pqi,28,pqi_10_dehydration_population,pqi_10_dehydration_population,int,,False,,,,,
pqi,29,pqi_10_dehydration_observed_rate,pqi_10_dehydration_observed_rate,float,,False,,,,,
pqi,30,pqi_10_dehydration_risk_adjusted_rate,pqi_10_dehydration_risk_adjusted_rate,float,,False,,,,,
pqi,31,pqi_11_bacterial_pneumonia_cases,pqi_11_bacterial_pneumonia_cases,int,,False,,,,,
pqi,32,pqi_11_bacterial_pneumonia_population,pqi_11_bacterial_pneumonia_population,int,,False,,,,,
