table,sequence_id,column,datatype,size,width
,,,,,
mup,1,id,int,,
mup,2,objectid,int,2,9
mup,3,uid,int,7,9
mup,4,census_key,str,11,11
mup,5,mua_mup_id,str,5,10
mup,6,site_num,int,4,4
mup,7,cnty_fips,str,3,3
mup,8,county,str,14,50
mup,9,name,str,60,100
mup,10,alias,str,60,100
mup,11,mssacomp,str,7,12
mup,12,mfw,int,1,4
mup,13,hmls,int,1,4
mup,14,lowinc,int,1,4
mup,15,designatio,str,2,5
mup,16,mssa_id,str,7,20
mup,17,score,float,,19
mup,18,designat_1,date,,10
mup,19,designat_2,str,10,10
mup,20,type,str,3,3
mup,21,geog_type,int,1,4
mup,22,geog_check,int,1,9
mup,23,shape_leng,float,,19
mup,24,shape_area,float,,19
,,,,,
mua,1,id,int,,
mua,2,objectid,int,3,9
mua,3,uid,int,7,9
mua,4,census_key,str,11,11
mua,5,mua_mup_id,str,5,10
mua,6,site_num,int,4,4
mua,7,cnty_fips,str,3,3
mua,8,county,str,15,50
mua,9,name,str,51,100
mua,10,alias,str,53,100
mua,11,mssacomp,str,7,12
mua,12,mfw,int,,4
mua,13,hmls,int,,4
mua,14,lowinc,int,,4
mua,15,designatio,str,2,5
mua,16,mssa_id,str,8,20
mua,17,score,float,,19
mua,18,designat_1,date,,10
mua,19,designat_2,str,10,10
mua,20,type,str,3,3
mua,21,geog_type,int,1,4
mua,22,geog_check,int,2,9
mua,23,shape_leng,float,,19
mua,24,shape_area,float,,19
