table,sequence_id,column,datatype,size,description
,,,,,
hosp_util,1,id,int,,Hospital Utilization
hosp_util,2,oshpd_id,str,12,OSHPD_ID 1.2.1
hosp_util,3,year,int,4,Year
hosp_util,4,fac_name_1_1_1,str,77,FAC_NAME 1.1.1
hosp_util,5,surg_ip_5_1_1,int,5,SURG_IP 5.1.1
hosp_util,6,op_rm_min_ip_5_1_2,int,7,OP_RM_MIN_IP 5.1.2
hosp_util,7,surg_op_5_2_1,int,5,SURG_OP 5.2.1
hosp_util,8,op_rm_min_op_5_2_2,int,7,OP_RM_MIN_OP 5.2.2
hosp_util,9,op_rm_ip_only_5_7_1,int,2,OP_RM_IP_ONLY 5.7.1
hosp_util,10,op_rm_op_only_5_8_1,int,2,OP_RM_OP_ONLY 5.8.1
hosp_util,11,op_rm_ip_and_op_5_9_1,int,2,OP_RM_IP_AND_OP 5.9.1
hosp_util,12,op_rm_totl_5_10_1,int,2,OP_RM_TOTL 5.10.1
hosp_util,13,amb_surg_prog_5_15_1,str,3,AMB_SURG_PROG 5.15.1
hosp_util,14,births_live_totl_5_20_1,int,4,BIRTHS_LIVE_TOTL 5.20.1
hosp_util,15,births_live_5lbs_8oz_5_21_1,int,3,BIRTHS_LIVE_<5LBS_8OZ 5.21.1
hosp_util,16,births_live_3lbs_5oz_5_22_1,int,3,BIRTHS_LIVE_<3LBS_5OZ 5.22.1
hosp_util,17,abc_op_prog_5_31_1,str,3,ABC_OP_PROG 5.31.1
hosp_util,18,abc_ldr_5_32_1,str,3,ABC_LDR 5.32.1
hosp_util,19,abc_ldrp_5_33_1,str,3,ABC_LDRP 5.33.1
hosp_util,20,births_live_abc_5_36_1,int,4,BIRTHS_LIVE_ABC 5.36.1
hosp_util,21,births_live_c_sec_5_37_1,int,4,BIRTHS_LIVE_C_SEC 5.37.1
hosp_util,22,licensure_cvsurg_svcs_5_41_1,str,8,LICENSURE_CVSURG_SVCS 5.41.1
hosp_util,23,cvsurg_lic_op_rm_5_42_1,int,2,CVSURG_LIC_OP_RM 5.42.1
hosp_util,24,cvsurg_with_ecbpass_ped_5_43_1,int,3,CVSURG_WITH_ECBPASS_PED 5.43.1
hosp_util,25,cvsurg_without_ecbpass_ped_5_43_2,int,3,CVSURG_WITHOUT_ECBPASS_PED 5.43.2
hosp_util,26,cvsurg_with_ecbpass_adlt_5_44_1,int,4,CVSURG_WITH_ECBPASS_ADLT 5.44.1
hosp_util,27,cvsurg_without_ecbpass_adlt_5_44_2,int,3,CVSURG_WITHOUT_ECBPASS_ADLT 5.44.2
hosp_util,28,cvsurg_with_ecbpass_totl_5_45_1,int,4,CVSURG_WITH_ECBPASS_TOTL 5.45.1
hosp_util,29,cvsurg_without_ecbpass_totl_5_45_2,int,3,CVSURG_WITHOUT_ECBPASS_TOTL 5.45.2
hosp_util,30,cvsurg_cabg_totl_5_50_1,int,3,CVSURG_CABG_TOTL 5.50.1
hosp_util,31,cath_card_rm_5_55_1,int,1,CATH_CARD_RM 5.55.1
hosp_util,32,cath_ip_ped_dx_vis_5_56_1,int,3,CATH_IP_PED_DX_VIS 5.56.1
hosp_util,33,cath_ip_ped_ther_vis_5_56_2,int,3,CATH_IP_PED_THER_VIS 5.56.2
