table,sequence_id,column,datatype,size,width
,,,,,
zcta_tracts,1,id,int,,
zcta_tracts,2,objectid,int,4,9
zcta_tracts,3,tract,str,7,7
zcta_tracts,4,state_fips,str,2,2
zcta_tracts,5,cnty_fips,str,3,3
zcta_tracts,6,tract_code,str,6,6
zcta_tracts,7,census_key,str,11,12
zcta_tracts,8,county,str,15,20
zcta_tracts,9,tract_id,str,7,8
zcta_tracts,10,mssa_id,str,8,10
zcta_tracts,11,mssa_name,str,153,160
zcta_tracts,12,area_sqmi,float,,19
zcta_tracts,13,pop,int,5,9
zcta_tracts,14,pop_civ,int,5,9
zcta_tracts,15,pop100pov,int,4,9
zcta_tracts,16,pct100pov,float,,19
zcta_tracts,17,pop200pov,int,5,9
zcta_tracts,18,pct200pov,float,,19
zcta_tracts,19,white,int,5,9
zcta_tracts,20,pct_white,float,,19
zcta_tracts,21,nhs_white,int,5,9
zcta_tracts,22,pct_nhs_wh,float,,19
zcta_tracts,23,black,int,4,9
zcta_tracts,24,pct_black,float,,19
zcta_tracts,25,nhs_black,int,4,9
zcta_tracts,26,pct_nhs_bl,float,,19
zcta_tracts,27,asian,int,5,9
zcta_tracts,28,pct_asian,float,,19
zcta_tracts,29,nhs_asian,int,4,9
zcta_tracts,30,pct_nhs_as,float,,19
zcta_tracts,31,amind_esk,int,4,9
zcta_tracts,32,pct_amind,float,,19
zcta_tracts,33,nhs_amind,int,4,9
zcta_tracts,34,pct_nhs_am,float,,19
zcta_tracts,35,islander,int,4,9
zcta_tracts,36,pct_island,float,,19
zcta_tracts,37,nhs_island,int,4,9
zcta_tracts,38,pct_nhs_is,float,,19
zcta_tracts,39,other_race,int,4,9
zcta_tracts,40,pct_other,float,,19
zcta_tracts,41,nhs_other,int,3,9
zcta_tracts,42,pct_nhs_ot,float,,19
zcta_tracts,43,multi_race,int,4,9
zcta_tracts,44,pct_multi,float,,19
zcta_tracts,45,nhs_multi,int,4,9
zcta_tracts,46,pct_nhs_mu,float,,19
zcta_tracts,47,hispanic,int,5,9
zcta_tracts,48,pct_hspnc,float,,19
