table,position,source_header,dest_header,datatype,valuetype,has_codes,start,width,size,summary,description
hdi,1,censustract,censustract,int,,False,,,,,CensusTract
hdi,2,pop2010,pop2010,int,,False,,,,,pop2010
hdi,3,pct2010gq,pct2010gq,float,,True,,,,,pct2010gq
hdi,4,city,city,str,,False,,,,,City
hdi,5,zip,zip,int,,True,,,,,ZIP
hdi,6,county_fips,county_fips,int,,False,,,,,County_FIPS
hdi,7,county_name,county_name,str,,False,,,,,County_Name
hdi,8,urbantype,urbantype,str,,False,,,,,UrbanType
hdi,9,hdi_total,hdi_total,float,,True,,,,,hdi_total
hdi,10,hdi_pctile,hdi_pctile,float,,True,,,,,hdi_pctile
hdi,11,quintiles,quintiles,str,,False,,,,,quintiles
hdi,12,quartiles,quartiles,str,,False,,,,,quartiles
hdi,13,hdi_top25pct,hdi_top25pct,str,,False,,,,,hdi_top25pct
hdi,14,economic,economic,float,,True,,,,,economic
hdi,15,economic_pctile,economic_pctile,float,,True,,,,,economic_pctile
hdi,16,education,education,float,,True,,,,,education
hdi,17,education_pctile,education_pctile,float,,True,,,,,education_pctile
hdi,18,environment,environment,float,,True,,,,,environment
hdi,19,environment_pctile,environment_pctile,float,,True,,,,,environment_pctile
hdi,20,health,health,float,,True,,,,,health
hdi,21,health_pctile,health_pctile,float,,True,,,,,health_pctile
hdi,22,neighborhood,neighborhood,float,,True,,,,,neighborhood
hdi,23,neighborhood_pctile,neighborhood_pctile,float,,True,,,,,neighborhood_pctile
hdi,24,social,social,float,,True,,,,,social
hdi,25,social_pctile,social_pctile,float,,True,,,,,social_pctile
hdi,26,asthma,asthma,float,,True,,,,,asthma
hdi,27,asthma_pctile,asthma_pctile,float,,True,,,,,asthma_pctile
hdi,28,costburden,costburden,float,,True,,,,,costburden
hdi,29,costburden_pctile,costburden_pctile,float,,True,,,,,costburden_pctile
hdi,30,crowded,crowded,float,,True,,,,,crowded
hdi,31,crowded_pctile,crowded_pctile,float,,True,,,,,crowded_pctile
hdi,32,disability,disability,float,,True,,,,,disability
hdi,33,disability_pctile,disability_pctile,float,,True,,,,,disability_pctile
hdi,34,income,income,float,,True,,,,,income
hdi,35,income_pctile,income_pctile,float,,True,,,,,income_pctile
hdi,36,lbw,lbw,float,,True,,,,,lbw
hdi,37,lbw_pctile,lbw_pctile,float,,True,,,,,lbw_pctile
hdi,38,noauto,noauto,float,,True,,,,,noauto
hdi,39,noauto_pctile,noauto_pctile,float,,True,,,,,noauto_pctile
hdi,40,noenglish,noenglish,float,,True,,,,,noenglish
hdi,41,noenglish_pctile,noenglish_pctile,float,,True,,,,,noenglish_pctile
hdi,42,nohighschl,nohighschl,float,,True,,,,,nohighschl
hdi,43,nohighschl_pctile,nohighschl_pctile,float,,True,,,,,nohighschl_pctile
hdi,44,nokitchen,nokitchen,float,,True,,,,,nokitchen
hdi,45,nokitchen_pctile,nokitchen_pctile,float,,True,,,,,nokitchen_pctile
hdi,46,notinhiscl,notinhiscl,float,,True,,,,,notinhiscl
hdi,47,notinhiscl_pctile,notinhiscl_pctile,float,,True,,,,,notinhiscl_pctile
hdi,48,notinprscl,notinprscl,float,,True,,,,,notinprscl
hdi,49,notinprscl_pctile,notinprscl_pctile,float,,True,,,,,notinprscl_pctile
hdi,50,novoter10,novoter10,float,,True,,,,,novoter10
hdi,51,novoter10_pctile,novoter10_pctile,float,,True,,,,,novoter10_pctile
hdi,52,novoter12,novoter12,float,,True,,,,,novoter12
hdi,53,novoter12_pctile,novoter12_pctile,float,,True,,,,,novoter12_pctile
hdi,54,nowork,nowork,float,,True,,,,,nowork
hdi,55,nowork_pctile,nowork_pctile,float,,True,,,,,nowork_pctile
hdi,56,poverty,poverty,float,,True,,,,,poverty
hdi,57,poverty_pctile,poverty_pctile,float,,True,,,,,poverty_pctile
hdi,58,poverty_top25pct,poverty_top25pct,str,,False,,,,,poverty_top25pct
hdi,59,parks,parks,float,,True,,,,,parks
hdi,60,parks_pctile,parks_pctile,float,,True,,,,,parks_pctile
hdi,61,pedshurt,pedshurt,float,,True,,,,,pedshurt
hdi,62,pedshurt_pctile,pedshurt_pctile,float,,True,,,,,pedshurt_pctile
hdi,63,pm25,pm25,float,,True,,,,,pm25
hdi,64,pm25_pctile,pm25_pctile,float,,True,,,,,pm25_pctile
hdi,65,renters,renters,float,,True,,,,,renters
hdi,66,renters_pctile,renters_pctile,float,,True,,,,,renters_pctile
hdi,67,retail,retail,float,,True,,,,,retail
hdi,68,retail_pctile,retail_pctile,float,,True,,,,,retail_pctile
hdi,69,singlparnt,singlparnt,float,,True,,,,,singlparnt
hdi,70,singlparnt_pctile,singlparnt_pctile,float,,True,,,,,singlparnt_pctile
hdi,71,supermrkt,supermrkt,float,,True,,,,,supermrkt
hdi,72,supermrkt_pctile,supermrkt_pctile,float,,True,,,,,supermrkt_pctile
hdi,73,traffic,traffic,float,,True,,,,,traffic
hdi,74,traffic_pctile,traffic_pctile,float,,True,,,,,traffic_pctile
hdi,75,treecanopy,treecanopy,float,,True,,,,,treecanopy
hdi,76,treecanopy_pctile,treecanopy_pctile,float,,True,,,,,treecanopy_pctile
hdi,77,uninsured,uninsured,float,,True,,,,,uninsured
hdi,78,uninsured_pctile,uninsured_pctile,float,,True,,,,,uninsured_pctile
hdi,79,yll,yll,float,,True,,,,,yll
hdi,80,yll_pctile,yll_pctile,float,,True,,,,,yll_pctile
hdi,81,asian_pct,asian_pct,float,,False,,,,,asian_pct
hdi,82,black_pct,black_pct,float,,False,,,,,black_pct
hdi,83,latino_pct,latino_pct,float,,False,,,,,latino_pct
hdi,84,multiple_pct,multiple_pct,float,,False,,,,,multiple_pct
hdi,85,nativeam_pct,nativeam_pct,float,,False,,,,,NativeAm_pct
hdi,86,other_pct,other_pct,float,,False,,,,,other_pct
hdi,87,pacificisl_pct,pacificisl_pct,float,,False,,,,,PacificIsl_pct
hdi,88,white_pct,white_pct,float,,False,,,,,white_pct
hdi,89,ces2score,ces2score,float,,True,,,,,CES2Score
hdi,90,ces2percentilerange,ces2percentilerange,str,,False,,,,,CES2PercentileRange
hdi,91,ces2_pctile,ces2_pctile,float,,True,,,,,ces2_pctile
hdi,92,quintiles_ces2,quintiles_ces2,str,,False,,,,,quintiles_ces2
hdi,93,ces2_top25pct,ces2_top25pct,str,,False,,,,,ces2_top25pct
hdi,94,hdi11_ces2,hdi11_ces2,str,,False,,,,,hdi11_CES2
hdi,95,version,version,datetime,,False,,,,,version
dictionary,1,variable_name,variable_name,str,,False,,,,,Variable Name
dictionary,2,definition,definition,str,,False,,,,,Definition
dictionary,3,code_comments,code_comments,str,,False,,,,,Code/Comments
definitions,1,shorttitle,shorttitle,str,,False,,,,,ShortTitle
definitions,2,longtitle,longtitle,str,,False,,,,,LongTitle
definitions,3,year,year,str,,False,,,,,Year
definitions,4,data_source,data_source,str,,False,,,,,Data Source
definitions,5,url,url,str,,False,,,,,URL
