table,position,source_header,dest_header,datatype,valuetype,has_codes,start,width,size,summary,description
crimeb,1,reportingyear,reportingyear,int,,False,,,,,reportingYear
crimeb,2,reportingmonth,reportingmonth,int,,False,,,,,reportingMonth
crimeb,3,agency,agency,str,,False,,,,,agency
crimeb,4,activitystatus,activitystatus,str,,False,,,,,activityStatus
crimeb,5,activitydate,activitydate,datetime,,False,,,,,activitydate
crimeb,6,numberactualreported,numberactualreported,int,,False,,,,,numberActualReported
crimeb,7,block_address,block_address,str,,False,,,,,BLOCK_ADDRESS
crimeb,8,city,city,str,,False,,,,,city
crimeb,9,zipcode,zipcode,int,,False,,,,,zipCode
crimeb,10,censustract,censustract,int,,False,,,,,censusTract
crimeb,11,censusblock,censusblock,int,,False,,,,,censusBlock
crimeb,12,crimecategory,crimecategory,str,,False,,,,,CrimeCategory
crimeb,13,crimedescription,crimedescription,str,,False,,,,,CrimeDescription
crimea,1,activitytype,activitytype,str,,False,,,,,activityType
crimea,2,agency,agency,str,,False,,,,,AGENCY
crimea,3,activitydate,activitydate,datetime,,False,,,,,activityDate
crimea,4,legend,legend,str,,False,,,,,LEGEND
crimea,5,charge_description,charge_description,str,,False,,,,,Charge_Description
crimea,6,block_address,block_address,str,,False,,,,,BLOCK_ADDRESS
crimea,7,city_name,city_name,str,,False,,,,,City_Name
crimea,8,zipcode,zipcode,int,,False,,,,,ZipCode
