"sos_code","fips_code","county"
1,1,"Alameda "
2,3,"Alpine "
3,5,"Amador "
4,7,"Butte "
5,9,"Calaveras "
6,11,"Colusa "
7,13,"Contra Costa "
8,15,"Del Norte "
9,17,"El Dorado "
10,19,"Fresno "
11,21,"Glenn "
12,23,"Humboldt "
13,25,"Imperial "
14,27,"Inyo "
15,29,"Kern "
16,31,"Kings "
17,33,"Lake "
18,35,"Lassen "
19,37,"Los Angeles "
20,39,"Madera "
21,41,"Marin "
22,43,"Mariposa "
23,45,"Mendocino "
24,47,"Merced "
25,49,"Modoc "
26,51,"Mono "
27,53,"Monterey "
28,55,"Napa "
29,57,"Nevada "
30,59,"Orange "
31,61,"Placer "
32,63,"Plumas "
33,65,"Riverside "
34,67,"Sacramento "
35,69,"San Benito "
36,71,"San Bernardino "
37,73,"San Diego "
38,75,"San Francisco "
39,77,"San Joaquin "
40,79,"San Luis Obispo "
41,81,"San Mateo "
42,83,"Santa Barbara "
43,85,"Santa Clara "
44,87,"Santa Cruz "
45,89,"Shasta "
46,91,"Sierra "
47,93,"Siskiyou "
48,95,"Solano "
49,97,"Sonoma "
50,99,"Stanislaus "
51,101,"Sutter "
52,103,"Tehama "
53,105,"Trinity "
54,107,"Tulare "
55,109,"Tuolumne "
56,111,"Ventura "
57,113,"Yolo "
58,115,"Yuba "
