Sutter County, California,101
Santa Cruz County, California,87
Riverside County, California,65
Mono County, California,51
Mendocino County, California,45
Kings County, California,31
Calaveras County, California,9
Trinity County, California,105
Sierra County, California,91
Santa Clara County, California,85
San Bernardino County, California,71
Modoc County, California,49
Lassen County, California,35
Kern County, California,29
Del Norte County, California,15
Ventura County, California,111
Shasta County, California,89
San Francisco County, California,75
San Benito County, California,69
Napa County, California,55
Lake County, California,33
Fresno County, California,19
Contra Costa County, California,13
Yuba County, California,115
Tuolumne County, California,109
Solano County, California,95
San Diego County, California,73
Orange County, California,59
Monterey County, California,53
Madera County, California,39
El Dorado County, California,17
Alpine County, California,3
Yolo County, California,113
California,0
Stanislaus County, California,99
Siskiyou County, California,93
San Luis Obispo County, California,79
Nevada County, California,57
Mariposa County, California,43
Los Angeles County, California,37
Humboldt County, California,23
Alameda County, California,1
Sonoma County, California,97
Santa Barbara County, California,83
San Joaquin County, California,77
Plumas County, California,63
Marin County, California,41
Inyo County, California,27
Glenn County, California,21
Butte County, California,7
Tehama County, California,103
San Mateo County, California,81
Sacramento County, California,67
Placer County, California,61
Merced County, California,47
Imperial County, California,25
Colusa County, California,11
Amador County, California,5
Tulare County, California,107
RETURN: 
