topic,geovariablemetadataid,name,sourcevariable,label,responselabel,datasetid,year,agegroup,description
Socio-Demographics,3044,ASIANA,-,Race,Asian only (18+),11,2008-2012,18+,"Adults ages 18+ who are Asian alone, having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent. For more information, visit: http://bit.ly/B01001D"
Socio-Demographics,3045,ASIANTC,-,Race,Asian only (0-17),11,2008-2012,0-17,"Children and teens ages 0-17 who are Asian alone, having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent. For more information, visit: http://bit.ly/B01001D"
Health Topic,3046,ASTHMAA,AB17,Asthma,Ever diagnosed with asthma (18+),11,2011-2012,18+,Adult respondents ages 18+ who were ever diagnosed with asthma by a doctor.
Health Topic,3047,ASTHMATC,"CA12, TB5",Asthma,Ever diagnosed with asthma (1-17),11,2011-2012,17-Jan,Child and teen respondents ages 1-17 who were ever diagnosed with asthma by a doctor.
Socio-Demographics,3048,BLACKA,-,Race,Black only (18+),11,2008-2012,18+,"Adults ages 18+ who are Black alone, having origins in any of the Black racial groups of Africa. For more information, visit: http://bit.ly/B01001B"
Socio-Demographics,3049,BLACKTC,-,Race,Black only (0-17),11,2008-2012,0-17,"Children and teens ages 0-17 who are Black alone, having origins in any of the Black racial groups of Africa. For more information, visit: http://bit.ly/B01001B"
Socio-Demographics,3050,BORNCITZA,-,Nativity / Citizenship,Born U.S. citizen (18+),11,2008-2012,18+,"Adults ages 18+ who were U.S. citizens at birth. For more information, visit: http://bit.ly/0B05003"
Socio-Demographics,3051,BORNCITZTC,-,Nativity / Citizenship,Born U.S. citizen (0-17),11,2008-2012,0-17,"Children and teens ages 0-17 who were U.S. citizens at birth. For more information, visit: http://bit.ly/0B05003"
Health Topic,3052,DENTC,CC5,Dental visits,Visited dentist (2-11),11,2011-2012,11-Feb,Dental visits in the past year for children ages 2-11 who have teeth.
Health Topic,3053,DIABA,AB22,Diabetes,Ever diagnosed with diabetes (18+),11,2011-2012,18+,Adult respondents ages 18+ who were ever diagnosed with diabetes by a doctor.
Health Topic,3054,DLYCAREA,"AH16, AH22",Delay in receiving care,Delayed prescriptions/medical services (18+),11,2011-2012,18+,Adults ages 18+ delayed or not getting needed prescription drugs or medical services past 12 months.
Health Topic,3055,DLYCARETC,"CE1, CE7;    TI18, TF9",Delay in receiving care,Delayed prescriptions/medical services (0-17),11,2011-2012,0-17,Childrens or teens ages 0-17 delayed or not getting needed prescription drugs or medical services past 12 months.
Health Topic,3056,DSTRSA,DSTRS12,Mental health,Serious psychological distress (18+),11,2011-2012,18+,Constructed using the Kessler 6 series for adults ages 18+ who reported serious psychological distress in the past 12 months (K6 score &ge; 13).
Socio-Demographics,3057,ENGONLYA,-,Language at Home,English only (18+),11,2008-2012,18+,"Adults ages 18+ who only speak English (and no other language) at home. For more information, visit: http://bit.ly/B16007"
Socio-Demographics,3058,FEMALEA,-,Gender,Female (18+),11,2008-2012,18+,Adults ages 18+ who are female.
Socio-Demographics,3059,FEMALETC,-,Gender,Female (0-17),11,2008-2012,0-17,Children and teens ages 0-17 who are female.
Health Topic,3060,FLUSHOTC,CD30,Flu vaccine,Received flu vaccine (6m-11),11,2011-2012,6m-11,Children ages 6m-11 years who had a flu vaccine in the past 12 months.
Health Topic,3061,FLUSHOTE,AE30,Flu vaccine,Received flu vaccine (65+),11,2011-2012,65+,Older respondents ages 65+ who had a flu vaccine in the past 12 months.
Health Topic,3062,FPHEALTHA,AB1,Health status,Fair or poor health (18-64),11,2011-2012,18-64,Adult respondents ages 18-64 with fair or poor health.
Health Topic,3063,FPHEALTHE,AB1,Health status,Fair or poor health (65+),11,2011-2012,65+,Older respondents ages 65+ with fair or poor health.
Health Topic,3064,FPHEALTHTC,CA6; TB1,Health status,Fair or poor health (0-17),11,2011-2012,0-17,Child and teen respondents ages 0-17 with fair or poor health.
Health Topic,3065,FSLEVALLA,FSLEVCB,Food insecurity,Low-income food insecurity (18+),11,2011-2012,18+,Provides information on whether the respondent has consistent ability to afford enough food. Asked of adults ages 18+ with an income &lt; 200% FPL. Those not asked are considered to be food secure.
Health Topic,3066,HEARTDA,AB34,Heart disease,Ever diagnosed with heart disease (18+),11,2011-2012,18+,Adult respondents ages 18+ who were ever diagnosed with heart disease by a doctor.
Socio-Demographics,3067,LATINOA,-,Ethnicity,Hispanic or Latino (18+),11,2008-2012,18+,"Adults ages 18+  who identify their origin as Hispanic, Latino, or Spanish, may be of any race. For more information, visit: http://bit.ly/B01001I"
