table,sequence_id,column,datatype,transform,description
,,,,,
regwlka,1,id,int,,Physical activity: Walked at least 150 minutes (18+)
regwlka,2,geoname,str,,Common name of geographic region
regwlka,3,geotype,str,,Name of the type of geographic region
regwlka,4,geoid,str,,Identification number for the geographic region
regwlka,5,supressed,str,,"If True, estimates for this region have been supressed"
regwlka,6,suppresed_reason,str,,The reason that a estimate is supressed
regwlka,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
regwlka,8,estimate,float,,Measurement estimate
regwlka,9,se,float,,Standard error in the measure estimate
regwlka,10,ci_lb95,float,,Lower bound on the 95% confidence interval
regwlka,11,ci_ub95,float,,Upper bound on the 95% confidence interval
regwlka,12,cv,float,,Coefficient of variation of the measurement estimate.
regwlka,13,mse,float,,Mean Squared Error
,,,,,
povertytc,1,id,int,,Poverty: Living In poverty (&lt;100%FPL) (0-17)
povertytc,2,geoname,str,,Common name of geographic region
povertytc,3,geotype,str,,Name of the type of geographic region
povertytc,4,geoid,str,,Identification number for the geographic region
povertytc,5,supressed,str,,"If True, estimates for this region have been supressed"
povertytc,6,suppresed_reason,str,,The reason that a estimate is supressed
povertytc,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
povertytc,8,estimate,float,,Measurement estimate
povertytc,9,se,float,,Standard error in the measure estimate
povertytc,10,ci_lb95,float,,Lower bound on the 95% confidence interval
povertytc,11,ci_ub95,float,,Upper bound on the 95% confidence interval
povertytc,12,cv,float,,Coefficient of variation of the measurement estimate.
povertytc,13,mse,float,,Mean Squared Error
,,,,,
nhwhitea,1,id,int,,Ethnicity: Non-Hispanic White only (18+)
nhwhitea,2,geoname,str,,Common name of geographic region
nhwhitea,3,geotype,str,,Name of the type of geographic region
nhwhitea,4,geoid,str,,Identification number for the geographic region
nhwhitea,5,supressed,str,,"If True, estimates for this region have been supressed"
nhwhitea,6,suppresed_reason,str,,The reason that a estimate is supressed
nhwhitea,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
nhwhitea,8,estimate,float,,Measurement estimate
nhwhitea,9,se,float,,Standard error in the measure estimate
nhwhitea,10,ci_lb95,float,,Lower bound on the 95% confidence interval
nhwhitea,11,ci_ub95,float,,Upper bound on the 95% confidence interval
nhwhitea,12,cv,float,,Coefficient of variation of the measurement estimate.
nhwhitea,13,mse,float,,Mean Squared Error
,,,,,
variables,1,id,int,,
variables,2,topic,str,,topic
variables,3,geovariablemetadataid,int,,geoVariableMetadataId
variables,4,name,str,,name
variables,5,sourcevariable,str,,sourceVariable
variables,6,label,str,,label
variables,7,responselabel,str,,responseLabel
variables,8,datasetid,int,,dataSetId
variables,9,year,str,,year
variables,10,agegroup,str,,ageGroup
variables,11,description,str,,description
,,,,,
notworka,1,id,int,,Work Status: Not working (18+)
notworka,2,geoname,str,,Common name of geographic region
notworka,3,geotype,str,,Name of the type of geographic region
notworka,4,geoid,str,,Identification number for the geographic region
notworka,5,supressed,str,,"If True, estimates for this region have been supressed"
notworka,6,suppresed_reason,str,,The reason that a estimate is supressed
notworka,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
notworka,8,estimate,float,,Measurement estimate
notworka,9,se,float,,Standard error in the measure estimate
notworka,10,ci_lb95,float,,Lower bound on the 95% confidence interval
notworka,11,ci_ub95,float,,Upper bound on the 95% confidence interval
notworka,12,cv,float,,Coefficient of variation of the measurement estimate.
notworka,13,mse,float,,Mean Squared Error
,,,,,
noncitza,1,id,int,,Nativity / Citizenship: Non-citizen (18+)
noncitza,2,geoname,str,,Common name of geographic region
noncitza,3,geotype,str,,Name of the type of geographic region
noncitza,4,geoid,str,,Identification number for the geographic region
noncitza,5,supressed,str,,"If True, estimates for this region have been supressed"
noncitza,6,suppresed_reason,str,,The reason that a estimate is supressed
noncitza,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
noncitza,8,estimate,float,,Measurement estimate
noncitza,9,se,float,,Standard error in the measure estimate
noncitza,10,ci_lb95,float,,Lower bound on the 95% confidence interval
noncitza,11,ci_ub95,float,,Upper bound on the 95% confidence interval
noncitza,12,cv,float,,Coefficient of variation of the measurement estimate.
noncitza,13,mse,float,,Mean Squared Error
,,,,,
femaletc,1,id,int,,Gender: Female (0-17)
femaletc,2,geoname,str,,Common name of geographic region
femaletc,3,geotype,str,,Name of the type of geographic region
femaletc,4,geoid,str,,Identification number for the geographic region
femaletc,5,supressed,str,,"If True, estimates for this region have been supressed"
femaletc,6,suppresed_reason,str,,The reason that a estimate is supressed
femaletc,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
femaletc,8,estimate,float,,Measurement estimate
femaletc,9,se,float,,Standard error in the measure estimate
femaletc,10,ci_lb95,float,,Lower bound on the 95% confidence interval
femaletc,11,ci_ub95,float,,Upper bound on the 95% confidence interval
femaletc,12,cv,float,,Coefficient of variation of the measurement estimate.
femaletc,13,mse,float,,Mean Squared Error
,,,,,
othermixa,1,id,int,,Race: Other only/Mixed (18+)
othermixa,2,geoname,str,,Common name of geographic region
othermixa,3,geotype,str,,Name of the type of geographic region
othermixa,4,geoid,str,,Identification number for the geographic region
othermixa,5,supressed,str,,"If True, estimates for this region have been supressed"
othermixa,6,suppresed_reason,str,,The reason that a estimate is supressed
othermixa,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
othermixa,8,estimate,float,,Measurement estimate
othermixa,9,se,float,,Standard error in the measure estimate
othermixa,10,ci_lb95,float,,Lower bound on the 95% confidence interval
othermixa,11,ci_ub95,float,,Upper bound on the 95% confidence interval
othermixa,12,cv,float,,Coefficient of variation of the measurement estimate.
othermixa,13,mse,float,,Mean Squared Error
,,,,,
natrlcitza,1,id,int,,Nativity / Citizenship: Naturalized U.S. citizen (18+)
natrlcitza,2,geoname,str,,Common name of geographic region
natrlcitza,3,geotype,str,,Name of the type of geographic region
natrlcitza,4,geoid,str,,Identification number for the geographic region
natrlcitza,5,supressed,str,,"If True, estimates for this region have been supressed"
natrlcitza,6,suppresed_reason,str,,The reason that a estimate is supressed
natrlcitza,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
natrlcitza,8,estimate,float,,Measurement estimate
natrlcitza,9,se,float,,Standard error in the measure estimate
natrlcitza,10,ci_lb95,float,,Lower bound on the 95% confidence interval
natrlcitza,11,ci_ub95,float,,Upper bound on the 95% confidence interval
natrlcitza,12,cv,float,,Coefficient of variation of the measurement estimate.
natrlcitza,13,mse,float,,Mean Squared Error
,,,,,
asthmaa,1,id,int,,Asthma: Ever diagnosed with asthma (18+)
asthmaa,2,geoname,str,,Common name of geographic region
asthmaa,3,geotype,str,,Name of the type of geographic region
asthmaa,4,geoid,str,,Identification number for the geographic region
asthmaa,5,supressed,str,,"If True, estimates for this region have been supressed"
asthmaa,6,suppresed_reason,str,,The reason that a estimate is supressed
asthmaa,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
asthmaa,8,estimate,float,,Measurement estimate
asthmaa,9,se,float,,Standard error in the measure estimate
asthmaa,10,ci_lb95,float,,Lower bound on the 95% confidence interval
asthmaa,11,ci_ub95,float,,Upper bound on the 95% confidence interval
asthmaa,12,cv,float,,Coefficient of variation of the measurement estimate.
asthmaa,13,mse,float,,Mean Squared Error
,,,,,
obesea,1,id,int,,Obese/Overweight: Obese (BMI &ge; 30) (18+)
obesea,2,geoname,str,,Common name of geographic region
obesea,3,geotype,str,,Name of the type of geographic region
obesea,4,geoid,str,,Identification number for the geographic region
obesea,5,supressed,str,,"If True, estimates for this region have been supressed"
obesea,6,suppresed_reason,str,,The reason that a estimate is supressed
obesea,7,population,int,^cvt_pop_str,Population estimate for the geographic region. A value of 0 indicates a population less than 500
